,region,galaxy,class,log_O_H,log_O_H_err,T_e,T_e_err,ICF_C_O,ICF_C_O_err,log_C_O,log_C_O_err,study,id,eps_O,eps_O_err,C_O,C_O_err,O_H,O_H_err,eps_o,eps_o_err,log_c_o,log_c_o_err,eps_c,eps_c_err,C_H,C_H_err
0,30 Dor,LMC,magellanic,-3.7,0.1,10400.0,400.0,1.06,0.14,-0.48,0.26,garnett+1995,,8.3,0.1,-0.2696297898192562,0.26,-0.5137890187797041,0.1,,,,,,,,
1,SMC N88A,SMC,magellanic,-3.91,0.04,14000.0,500.0,1.33,0.48,-0.72,0.17,garnett+1995,,8.09,0.04,-0.5096297898192562,0.17,-0.7237890187797049,0.04,,,,,,,,
2,NGC 2363,NGC 2363,magellanic,-4.08,0.04,14800.0,500.0,1.31,0.45,-0.63,0.15,garnett+1995,,7.92,0.04,-0.41962978981925625,0.15,-0.8937890187797048,0.04,,,,,,,,
4,Tol 1214-277,Tol 1214-277,dwarf,-4.41,0.05,17800.0,800.0,1.32,0.45,-0.8,0.28,garnett+1995,,7.59,0.05,-0.5896297898192563,0.28,-1.223789018779705,0.05,,,,,,,,
6,centre,SDSS J094401.87-003832.1,dwarf,,,,,,,-1.36,0.06,senchyna+17,SB2,7.81,0.07,-1.1496297898192562,0.06,-1.003789018779706,0.07,,,,,,,,
7,centre,SDSS J102429.25+052450.9,,,,,,,,-0.81,0.2,senchyna+17,SB36,7.92,0.04,-0.5996297898192563,0.2,-0.8937890187797048,0.04,,,,,,,,
8,"SDSS J094256.74+092816.2,",UGC 5189,,,,,,,,-0.74,0.45,senchyna+17,SB80,8.24,0.06,-0.5296297898192562,0.45,-0.5737890187797046,0.06,,,,,,,,
9,Mrk 193,Mrk 193,dwarf,,,,,,,-0.52,0.04,senchyna+17,SB82,7.91,0.04,-0.30962978981925626,0.04,-0.9037890187797046,0.04,,,,,,,,
10,centre,SDSS J094252.78+354726.0,dwarf,,,,,,,-0.68,0.3,senchyna+17,SB110,8.17,0.08,-0.4696297898192563,0.3,-0.6437890187797048,0.08,,,,,,,,
11,centre,LEDA 41360,dwarf,,,,,,,-1.02,0.15,senchyna+17,SB111,7.81,0.08,-0.8096297898192563,0.15,-1.003789018779706,0.08,,,,,,,,
