,galaxy,class,region,eps_C,eps_C_err,eps_N,eps_N_err,eps_O,eps_O_err,eps_Fe,eps_Fe_err,study,C_O,C_O_err,O_H,O_H_err,eps_c,eps_c_err,eps_o,eps_o_err,eps_o_cel,eps_o_cel_err,R_g,R_g_err,C_H,[c/n],[n/o],[c/n]_err,[n/o]_err,log_c_o,log_c_o_err,log_c_o_cel,log_c_o_cel_err,C_O_2,C_O_2_err,c_err,eps_n,n_err,o_err,eps_fe,fe_err,C_H_err
5,NGC 6822,dwarf,region V,8.01,0.12,6.85,0.15,8.37,0.09,,,peimbert+05,-0.1496297898192557,0.21,-0.44378901877970556,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MW,MW,Sh 2-311,,,,,,,,,mendez-delgado+22,-0.0996297898192573,0.13,-0.2437890187797045,0.04,8.26,0.09,8.57,0.04,8.58,0.05,11.6,0.44,-0.3434188085989618,,,,,,,,,,,,,,,,,
1,MW,MW,NGC 2579,,,,,,,,,mendez-delgado+22,-0.149629789819258,0.09,-0.2537890187797043,0.03,8.2,0.06,8.56,0.03,8.61,0.06,10.82,0.44,-0.4034188085989623,,,,,,,,,,,,,,,,,
2,MW,MW,NGC 3576,,,,,,,,,mendez-delgado+22,-0.029629789819257013,0.1,-0.07378901877970456,0.06,8.5,0.04,8.74,0.06,8.79,0.04,7.66,0.1,-0.10341880859896158,,,,,,,,,,,,,,,,,
3,MW,MW,NGC 3603,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.12000000000000001,-0.09378901877970414,0.05,8.54,0.07,8.72,0.05,8.7,0.05,8.61,0.11,-0.06341880859896243,,,,,,,,,,,,,,,,,
4,MW,MW,M8,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.1,-0.10378901877970392,0.04,8.53,0.06,8.71,0.04,8.69,0.05,6.99,0.14,-0.07341880859896222,,,,,,,,,,,,,,,,,
5,MW,MW,M16,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.16,-0.013789018779704065,0.06,8.62,0.1,8.8,0.06,8.79,0.06,6.58,0.27,0.016581191401037643,,,,,,,,,,,,,,,,,
6,MW,MW,M17,,,,,,,,,mendez-delgado+22,0.2503702101807441,0.08,-0.05378901877970499,0.04,8.8,0.04,8.76,0.04,8.83,0.05,6.46,0.25,0.19658119140103913,,,,,,,,,,,,,,,,,
7,MW,MW,M20,,,,,,,,,mendez-delgado+22,0.02037021018074192,0.26,-0.10378901877970392,0.07,8.52,0.19,8.71,0.07,8.76,0.05,6.79,0.18,-0.083418808598962,,,,,,,,,,,,,,,,,
8,MW,MW,M42,,,,,,,,,mendez-delgado+22,0.030370210180743484,0.08,-0.16378901877970442,0.03,8.47,0.05,8.65,0.03,8.78,0.05,8.54,0.11,-0.13341880859896094,,,,,,,,,,,,,,,,,
0,M101,spiral,H1013,,,,,,,,,skillman+20,0.17037021018074375,0.07,-0.2437890187797045,0.02,,,,,,,,,,0.34006748695803607,-0.16969727677729232,0.06857142857142857,0.15000000000000002,,,,,,,,,,,,,
1,M101,spiral,H1052,,,,,,,,,skillman+20,0.1303702101807437,0.04,-0.2437890187797045,0.01,,,,,,,,,,0.3500674869580361,-0.21969727677729237,0.042857142857142864,0.09,,,,,,,,,,,,,
2,M101,spiral,NGC 5461,,,,,,,,,skillman+20,-0.09962978981925627,0.12,-0.33378901877970435,0.02,,,,,,,,,,0.11006748695803599,-0.20969727677729227,0.11142857142857143,0.25,,,,,,,,,,,,,
3,M101,spiral,NGC 5462,,,,,,,,,skillman+20,-0.17962978981925629,0.19,-0.3637890187797055,0.05,,,,,,,,,,0.23006748695803608,-0.4096972767772924,0.18,0.4,,,,,,,,,,,,,
