,Star,Pop,Nplanet,Maxmass,Teff,logg,vmic,[Fe/H]3L,e_[Fe/H]3L,[Fe/H]1L,e_[Fe/H]1L,[C/H]3N,e_[C/H]3N,[C/H]1N,e_[C/H]1N,[C/H]3L,e_[C/H]3L,[C/H]1L,e_[C/H]1L,[O/H]3N,e_[O/H]3N,[O/H]1N,e_[O/H]1N,[O/H]3L,e_[O/H]3L,[O/H]1L,e_[O/H]1L,SimbadName,_RA,_DE,FE_H,FE_H_err,O_H,O_H_err,C_H,C_H_err,C_O,C_O_err,O_FE,O_FE_err
0,hd230409  ,high-alpha,0,0.0,5386,4.61,1.01,-0.8739,0.0247,-0.8755,0.0213,-0.7085,0.0986,-0.7022,0.0923,-0.7106,0.1181,-0.703,0.0926,-0.2682,0.0314,-0.2857,0.0318,-0.4024,0.0424,-0.3967,0.041,HD230409         ,285.18056,19.07456,-0.8739,0.0247,-0.2682,0.0314,-0.7085,0.0986,-0.4403,0.13,0.6057,0.0561
1,hd222766  ,high-alpha,0,0.0,5423,4.38,0.75,-0.731,0.0155,-0.7229,0.0148,-0.4241,0.0682,-0.4153,0.0652,-0.4243,0.0687,-0.4155,0.0655,-0.0837,0.0235,-0.0853,0.0231,-0.1706,0.0209,-0.1617,0.0206,HD222766         ,355.89549,-7.92334,-0.731,0.0155,-0.0837,0.0235,-0.4241,0.0682,-0.3404,0.0917,0.6473,0.039
2,cd-436810  ,high-alpha,0,0.0,6059,4.32,1.24,-0.4408,0.0104,-0.4499,0.0094,-0.2477,0.0167,-0.2419,0.0163,-0.2394,0.0172,-0.2365,0.0165,-0.049,0.0045,-0.0778,0.0027,0.0479,0.0111,0.007,0.0085,CD-436810        ,167.16707,-44.25939,-0.4408,0.0104,-0.049,0.0045,-0.2477,0.0167,-0.1987,0.0212,0.39180000000000004,0.0149
3,g05-36  ,high-alpha,0,0.0,6139,4.22,1.29,-1.2416,0.0157,-1.2578,0.0158,-1.148,0.0986,-1.1319,0.0923,-1.1206,0.1181,-1.112,0.0926,-0.6698,0.0222,-0.685,0.0244,-0.6405,0.0219,-0.6687,0.0251,G05-36           ,51.74905,23.77665,-1.2416,0.0157,-0.6698,0.0222,-1.148,0.0986,-0.47819999999999996,0.12079999999999999,0.5718000000000001,0.0379
4,g05-40  ,high-alpha,0,0.0,5892,4.2,1.12,-0.8325,0.0129,-0.8364,0.0132,-0.6427,0.0044,-0.628,0.002,-0.6306,0.0049,-0.6195,0.0025,-0.2873,0.0084,-0.2928,0.0099,-0.246,0.0061,-0.271,0.008,G05-40           ,51.91439,21.04305,-0.8325,0.0129,-0.2873,0.0084,-0.6427,0.0044,-0.35540000000000005,0.012799999999999999,0.5452,0.0213
5,g15-23  ,high-alpha,0,0.0,5373,4.63,0.9,-1.1243,0.0169,-1.137,0.0135,-0.8752,0.0986,-0.8662,0.0923,-0.8767,0.1181,-0.866,0.0926,-0.3799,0.0247,-0.3959,0.0254,-0.5238,0.0355,-0.514,0.0345,G15-23           ,232.382,6.14719,-1.1243,0.0169,-0.3799,0.0247,-0.8752,0.0986,-0.49529999999999996,0.12329999999999999,0.7444000000000001,0.0416
6,g18-28  ,high-alpha,0,0.0,5443,4.49,0.88,-0.8632,0.0108,-0.8653,0.0133,-0.5989,0.0986,-0.5889,0.0923,-0.5995,0.1181,-0.589,0.0926,-0.2111,0.0261,-0.2201,0.0263,-0.3167,0.04,-0.312,0.039,G18-28           ,331.41958,12.37673,-0.8632,0.0108,-0.2111,0.0261,-0.5989,0.0986,-0.3878,0.12469999999999999,0.6520999999999999,0.0369
7,g24-13  ,high-alpha,0,0.0,5764,4.38,0.86,-0.7303,0.0198,-0.7281,0.0199,-0.6134,0.0215,-0.597,0.0185,-0.6065,0.0221,-0.592,0.019,-0.1111,0.0163,-0.1188,0.0161,-0.1256,0.0178,-0.1363,0.0177,G24-13           ,305.10234,6.03134,-0.7303,0.0198,-0.1111,0.0163,-0.6134,0.0215,-0.5023,0.0378,0.6192,0.0361
8,g31-55  ,high-alpha,0,0.0,5731,4.35,1.26,-1.116,0.0273,-1.1408,0.0287,-0.9496,0.0523,-0.9295,0.0478,-0.9397,0.0534,-0.9215,0.0485,-0.5066,0.011,-0.5136,0.0082,-0.5683,0.0085,-0.5787,0.0049,G31-55           ,7.36109,-2.34918,-1.116,0.0273,-0.5066,0.011,-0.9496,0.0523,-0.44299999999999995,0.0633,0.6094,0.0383
9,g49-19  ,high-alpha,0,0.0,5863,4.32,1.12,-0.571,0.0112,-0.5759,0.0108,-0.3845,0.0254,-0.3714,0.0258,-0.3784,0.0251,-0.3675,0.0255,,,,,,,,,G49-19           ,144.71088,28.40238,-0.571,0.0112,,,-0.3845,0.0254,,,,
10,g57-07  ,high-alpha,0,0.0,5755,4.33,0.99,-0.5109,0.0125,-0.5066,0.0147,-0.343,0.0057,-0.3296,0.0042,-0.3394,0.006,-0.3275,0.0045,,,,,,,,,G57-07           ,173.14219,10.90314,-0.5109,0.0125,,,-0.343,0.0057,,,,
11,g63-26  ,high-alpha,0,0.0,6175,4.17,1.65,-1.581,0.0376,-1.6023,0.0367,-1.4071,0.0328,-1.3956,0.037,-1.358,0.0293,-1.3615,0.0345,,,,,,,,,G63-26           ,201.1275,20.45614,-1.581,0.0376,,,-1.4071,0.0328,,,,
12,g74-32  ,high-alpha,0,0.0,5864,4.41,1.04,-0.7604,0.0123,-0.7658,0.0147,-0.5558,0.0096,-0.5417,0.0116,-0.5477,0.0089,-0.536,0.011,,,,,,,,,G74-32           ,38.55506,33.00141,-0.7604,0.0123,,,-0.5558,0.0096,,,,
13,g81-02  ,high-alpha,0,0.0,5967,4.24,1.21,-0.6988,0.0224,-0.7067,0.0225,-0.588,0.0152,-0.5765,0.0171,-0.5752,0.0147,-0.5675,0.0165,,,,,,,,,G81-02           ,60.98024,39.73867,-0.6988,0.0224,,,-0.588,0.0152,,,,
14,g85-13  ,high-alpha,0,0.0,5709,4.46,0.87,-0.611,0.0185,-0.6101,0.0182,-0.4732,0.0231,-0.4621,0.0207,-0.4701,0.0234,-0.46,0.021,-0.0987,0.0186,-0.1088,0.0189,-0.1407,0.0227,-0.1473,0.0227,G85-13           ,71.17525,25.936,-0.611,0.0185,-0.0987,0.0186,-0.4732,0.0231,-0.3745,0.0417,0.5123,0.037099999999999994
15,g96-20  ,high-alpha,0,0.0,6445,4.46,1.42,-0.9063,0.0194,-0.915,0.0194,-0.6226,0.0041,-0.6333,0.0026,-0.6032,0.0045,-0.618,0.003,,,,,,,,,G96-20           ,76.36962,40.25732,-0.9063,0.0194,,,-0.6226,0.0041,,,,
16,g99-21  ,high-alpha,0,0.0,5559,4.46,0.79,-0.6936,0.0132,-0.6907,0.014,-0.4154,0.0131,-0.4084,0.0115,-0.4148,0.0138,-0.408,0.012,-0.0881,0.0215,-0.0966,0.0212,-0.1622,0.0246,-0.1613,0.024,G99-21           ,84.86431,3.95075,-0.6936,0.0132,-0.0881,0.0215,-0.4154,0.0131,-0.3273,0.0346,0.6055,0.034699999999999995
17,g127-26  ,high-alpha,0,0.0,5886,4.2,1.11,-0.5431,0.0066,-0.5394,0.0069,-0.3969,0.0015,-0.3791,0.0031,-0.3889,0.0016,-0.374,0.003,,,,,,,,,G127-26          ,335.95453,24.39254,-0.5431,0.0066,,,-0.3969,0.0015,,,,
18,g159-50  ,high-alpha,0,0.0,5713,4.44,1.03,-0.956,0.0127,-0.9696,0.0137,-0.7237,0.0002,-0.707,0.0033,-0.7179,0.0009,-0.7025,0.0025,-0.4119,0.0011,-0.4164,0.0018,-0.4786,0.0057,-0.4825,0.0095,G159-50          ,33.66791,-1.20142,-0.956,0.0127,-0.4119,0.0011,-0.7237,0.0002,-0.3118,0.0013000000000000002,0.5441,0.0138
19,g180-24  ,high-alpha,0,0.0,6137,4.2,1.45,-1.3995,0.0156,-1.4182,0.0151,-1.2087,0.0448,-1.1974,0.0398,-1.1713,0.0463,-1.171,0.041,-0.7871,0.0208,-0.8089,0.0255,-0.7868,0.0242,-0.8137,0.0286,G180-24          ,240.80541,42.24629,-1.3995,0.0156,-0.7871,0.0208,-1.2087,0.0448,-0.4216000000000001,0.06559999999999999,0.6123999999999999,0.0364
20,g187-18  ,high-alpha,0,0.0,5691,4.46,1.05,-0.6657,0.0206,-0.6746,0.0215,-0.455,0.0211,-0.4455,0.0192,-0.4521,0.0216,-0.4435,0.0195,,,,,,,,,G187-18          ,315.77554,29.48228,-0.6657,0.0206,,,-0.455,0.0211,,,,
