,name,log_c_o,log_c_o_err,eps_o,eps_o_err,C_O,O_H,C_O_err,O_H_err
0,J082555,-0.29,0.06,7.37,0.01,-0.07962978981925625,-1.4431769052436962,0.06,0.01
1,J104457,-0.71,0.06,7.45,0.02,-0.4996297898192562,-1.3631769052436962,0.06,0.02
2,J120122,-0.45,0.11,7.45,0.03,-0.23962978981925628,-1.3631769052436962,0.11,0.03
3,J124159,-0.82,0.16,7.73,0.04,-0.6096297898192562,-1.083176905243695,0.16,0.04
4,J122622,-0.77,0.05,7.9,0.01,-0.5596297898192563,-0.9131769052436969,0.05,0.01
5,J122436,-0.59,0.07,7.84,0.02,-0.3796297898192562,-0.9731769052436956,0.07,0.02
6,J124827,-0.63,0.17,7.81,0.03,-0.41962978981925625,-1.0031769052436967,0.17,0.03
7,J223831,-0.661,0.095,7.587,0.022,-0.4506297898192563,-1.2261769052436957,0.095,0.022
8,J141851,-0.883,0.065,7.542,0.022,-0.6726297898192563,-1.2711769052436974,0.065,0.022
9,J120202,-0.797,0.093,7.63,0.023,-0.5866297898192563,-1.1831769052436965,0.093,0.023
10,J121402,-0.49,0.102,7.668,0.021,-0.27962978981925624,-1.1451769052436962,0.102,0.021
11,J084236,-0.949,0.114,7.614,0.022,-0.7386297898192562,-1.1991769052436965,0.114,0.022
12,J171236,-0.768,0.102,7.698,0.02,-0.5576297898192563,-1.115176905243695,0.102,0.02
13,J113116,-0.787,0.142,7.648,0.021,-0.5766297898192563,-1.1651769052436958,0.142,0.021
14,J133126,-0.723,0.075,7.694,0.02,-0.5126297898192562,-1.1191769052436964,0.075,0.02
15,J132853,-1.042,0.116,7.727,0.021,-0.8316297898192563,-1.0861769052436951,0.116,0.021
16,J095430,-0.601,0.111,7.699,0.022,-0.3906297898192562,-1.1141769052436974,0.111,0.022
17,J132347,-1.029,0.079,7.584,0.023,-0.8186297898192562,-1.2291769052436958,0.079,0.023
18,J094718,-0.384,0.118,7.727,0.023,-0.17362978981925628,-1.0861769052436951,0.118,0.023
19,J150934,-0.791,0.087,7.708,0.02,-0.5806297898192563,-1.105176905243697,0.087,0.02
20,J100348,-0.553,0.129,7.744,0.022,-0.3426297898192563,-1.0691769052436957,0.129,0.022
21,J025346,-0.607,0.111,7.911,0.022,-0.39662978981925623,-0.9021769052436976,0.111,0.022
22,J015809,-0.526,0.143,7.75,0.022,-0.31562978981925627,-1.0631769052436955,0.143,0.022
23,J104654,-0.794,0.102,7.91,0.02,-0.5836297898192563,-0.9031769052436953,0.102,0.02
24,J093006,-0.895,0.101,8.019,0.02,-0.6846297898192563,-0.7941769052436971,0.101,0.02
25,J092055,-0.651,0.121,7.865,0.018,-0.44062978981925627,-0.948176905243697,0.121,0.018
