 &age       &O-16      
 &7.609E+06 &2.937E-03
 &8.895E+06 &6.336E-03
 &1.040E+07 &3.201E-02
 &1.215E+07 &4.649E-02
 &1.421E+07 &5.045E-02
 &1.661E+07 &4.855E-02
 &1.941E+07 &4.417E-02
 &2.270E+07 &4.057E-02
 &2.653E+07 &3.769E-02
 &3.101E+07 &3.530E-02
 &3.625E+07 &3.328E-02
 &4.238E+07 &3.155E-02
 &4.954E+07 &2.937E-02
 &5.790E+07 &2.775E-02
 &6.769E+07 &2.637E-02
 &7.912E+07 &2.519E-02
 &9.249E+07 &2.415E-02
 &1.081E+08 &2.322E-02
 &1.264E+08 &2.243E-02
 &1.477E+08 &2.172E-02
 &1.727E+08 &2.108E-02
 &2.019E+08 &2.052E-02
 &2.360E+08 &2.005E-02
 &2.759E+08 &1.962E-02
 &3.225E+08 &1.924E-02
 &3.769E+08 &1.889E-02
 &4.406E+08 &1.859E-02
 &5.151E+08 &1.832E-02
 &6.021E+08 &1.806E-02
 &7.038E+08 &1.781E-02
 &8.227E+08 &1.758E-02
 &9.617E+08 &1.737E-02
 &1.124E+09 &1.717E-02
 &1.314E+09 &1.697E-02
 &1.536E+09 &1.667E-02
 &1.796E+09 &1.635E-02
 &2.099E+09 &1.611E-02
 &2.454E+09 &1.592E-02
 &2.868E+09 &1.573E-02
 &3.353E+09 &1.555E-02
 &3.919E+09 &1.538E-02
 &4.582E+09 &1.521E-02
 &5.356E+09 &1.505E-02
 &6.261E+09 &1.490E-02
 &7.318E+09 &1.476E-02
 &8.555E+09 &1.462E-02
 &1.000E+10 &1.450E-02
