H Mass Fractions
H Battino+ 2021, MDPI Universe
H Z=0.001, 0.002
 & specie & m2z1m3-bigpoc & m3z1m3-bigpoc & m2z2m3-bigpoc & \\ 
 & H   1  & 7.058E-01     & 7.201E-01     & 6.120E-01     & \\ 
 & H   2  & 2.404E-06     & 2.274E-07     & 2.272E-06     & \\ 
 & HE  3  & 2.110E-04     & 1.273E-04     & 1.980E-04     & \\ 
 & HE  4  & 2.829E-01     & 2.750E-01     & 2.996E-01     & \\ 
 & LI  7  & 7.124E-08     & 3.301E-08     & 2.517E-07     & \\ 
 & B  11  & 2.857E-11     & 2.858E-11     & 5.717E-11     & \\ 
 & C  12  & 7.468E-03     & 2.768E-03     & 3.812E-02     & \\ 
 & C  13  & 7.343E-04     & 2.895E-04     & 3.149E-03     & \\ 
 & N  14  & 6.379E-04     & 3.970E-04     & 2.077E-03     & \\ 
 & N  15  & 5.203E-08     & 2.261E-08     & 3.392E-07     & \\ 
 & O  16  & 1.284E-03     & 1.001E-03     & 3.727E-02     & \\ 
 & O  17  & 5.271E-06     & 2.448E-06     & 1.820E-05     & \\ 
 & O  18  & 1.366E-07     & 1.359E-07     & 1.115E-06     & \\ 
 & F  19  & 8.852E-07     & 5.421E-07     & 8.849E-06     & \\ 
 & NE 20  & 5.895E-05     & 5.925E-05     & 2.248E-04     & \\ 
 & NE 21  & 9.577E-08     & 1.451E-07     & 1.744E-06     & \\ 
 & NE 22  & 2.832E-04     & 1.038E-04     & 6.941E-03     & \\ 
 & NA 23  & 2.554E-06     & 1.221E-06     & 1.809E-04     & \\ 
 & MG 24  & 1.613E-05     & 1.545E-05     & 4.267E-05     & \\ 
 & MG 25  & 1.246E-06     & 1.250E-06     & 1.679E-05     & \\ 
 & MG 26  & 1.829E-06     & 1.996E-06     & 2.798E-05     & \\ 
 & AL 27  & 7.212E-07     & 8.866E-07     & 1.469E-06     & \\ 
 & SI 28  & 1.513E-05     & 1.543E-05     & 3.011E-05     & \\ 
 & SI 29  & 4.018E-07     & 4.109E-07     & 8.854E-07     & \\ 
 & SI 30  & 3.060E-07     & 3.023E-07     & 9.143E-07     & \\ 
 & P  31  & 9.981E-08     & 1.161E-07     & 2.608E-07     & \\ 
 & PB206  & 1.079E-09     & 1.639E-09     & 1.395E-08     & \\ 
 & PB207  & 1.851E-09     & 2.652E-09     & 1.632E-08     & \\ 
 & S  32  & 1.088E-05     & 1.091E-05     & 2.141E-05     & \\ 
 & S  33  & 3.756E-08     & 3.614E-08     & 1.078E-07     & \\ 
 & S  34  & 2.002E-07     & 1.975E-07     & 4.350E-07     & \\ 
 & S  36  & 1.996E-09     & 2.250E-09     & 8.060E-09     & \\ 
 & CL 35  & 6.752E-08     & 6.791E-08     & 1.301E-07     & \\ 
 & CL 37  & 3.005E-08     & 2.650E-08     & 1.510E-07     & \\ 
 & AR 36  & 1.619E-06     & 1.628E-06     & 3.120E-06     & \\ 
 & AR 38  & 1.634E-07     & 1.606E-07     & 3.734E-07     & \\ 
 & AR 40  & 9.259E-10     & 8.920E-10     & 3.578E-09     & \\ 
 & K  39  & 3.988E-08     & 3.940E-08     & 8.630E-08     & \\ 
 & K  40  & 2.155E-10     & 1.062E-10     & 2.090E-09     & \\ 
 & K  41  & 3.633E-09     & 3.311E-09     & 1.436E-08     & \\ 
 & CA 40  & 1.194E-06     & 1.200E-06     & 2.323E-06     & \\ 
 & CA 42  & 5.596E-09     & 5.391E-09     & 1.669E-08     & \\ 
 & CA 43  & 1.189E-09     & 1.154E-09     & 3.552E-09     & \\ 
 & CA 44  & 1.739E-08     & 1.732E-08     & 3.807E-08     & \\ 
 & CA 46  & 9.216E-11     & 5.099E-11     & 1.130E-10     & \\ 
 & CA 48  & 1.669E-09     & 1.671E-09     & 3.320E-09     & \\ 
 & SC 45  & 6.285E-10     & 6.118E-10     & 1.941E-09     & \\ 
 & TI 46  & 3.329E-09     & 3.300E-09     & 7.794E-09     & \\ 
 & TI 47  & 2.960E-09     & 2.980E-09     & 5.900E-09     & \\ 
 & TI 48  & 5.278E-08     & 5.322E-08     & 9.936E-08     & \\ 
 & TI 49  & 2.781E-09     & 2.645E-09     & 9.546E-09     & \\ 
 & TI 50  & 3.562E-09     & 3.325E-09     & 1.684E-08     & \\ 
 & V  50  & 9.927E-12     & 1.003E-11     & 1.825E-11     & \\ 
 & V  51  & 4.148E-09     & 4.171E-09     & 8.396E-09     & \\ 
 & CR 50  & 8.078E-09     & 8.159E-09     & 1.484E-08     & \\ 
 & CR 52  & 1.647E-07     & 1.653E-07     & 3.218E-07     & \\ 
 & CR 53  & 1.898E-08     & 1.911E-08     & 3.674E-08     & \\ 
 & CR 54  & 6.017E-09     & 5.565E-09     & 2.078E-08     & \\ 
 & MN 55  & 1.116E-07     & 1.108E-07     & 2.370E-07     & \\ 
 & FE 54  & 7.957E-07     & 8.029E-07     & 1.480E-06     & \\ 
 & FE 56  & 1.310E-05     & 1.315E-05     & 2.533E-05     & \\ 
 & FE 57  & 3.392E-07     & 3.315E-07     & 8.855E-07     & \\ 
 & FE 58  & 9.194E-08     & 7.024E-08     & 5.827E-07     & \\ 
 & CO 59  & 5.301E-08     & 4.602E-08     & 2.087E-07     & \\ 
 & NI 58  & 5.604E-07     & 5.651E-07     & 1.047E-06     & \\ 
 & NI 60  & 2.422E-07     & 2.308E-07     & 5.526E-07     & \\ 
 & NI 61  & 1.460E-08     & 1.215E-08     & 6.886E-08     & \\ 
 & NI 62  & 4.015E-08     & 3.622E-08     & 1.597E-07     & \\ 
 & NI 64  & 1.580E-08     & 1.199E-08     & 7.327E-08     & \\ 
 & CU 63  & 9.978E-09     & 7.859E-09     & 5.607E-08     & \\ 
 & CU 65  & 5.273E-09     & 4.108E-09     & 3.748E-08     & \\ 
 & ZN 64  & 1.211E-08     & 1.142E-08     & 3.716E-08     & \\ 
 & ZN 66  & 8.016E-09     & 7.584E-09     & 3.287E-08     & \\ 
 & ZN 67  & 1.279E-09     & 1.201E-09     & 6.127E-09     & \\ 
 & ZN 68  & 5.890E-09     & 5.777E-09     & 2.740E-08     & \\ 
 & ZN 70  & 1.568E-10     & 1.576E-10     & 3.002E-10     & \\ 
 & GA 69  & 6.477E-10     & 6.207E-10     & 3.528E-09     & \\ 
 & GA 71  & 4.803E-10     & 4.296E-10     & 2.670E-09     & \\ 
 & GE 70  & 8.165E-10     & 7.779E-10     & 4.704E-09     & \\ 
 & GE 72  & 9.741E-10     & 9.955E-10     & 4.469E-09     & \\ 
 & GE 73  & 2.739E-10     & 2.869E-10     & 1.220E-09     & \\ 
 & GE 74  & 1.373E-09     & 1.500E-09     & 5.812E-09     & \\ 
 & GE 76  & 1.941E-10     & 1.963E-10     & 3.653E-10     & \\ 
 & AS 75  & 1.864E-10     & 2.007E-10     & 6.572E-10     & \\ 
 & SE 74  & 1.162E-11     & 1.179E-11     & 2.062E-11     & \\ 
 & SE 76  & 2.339E-10     & 2.629E-10     & 1.111E-09     & \\ 
 & SE 77  & 1.469E-10     & 1.589E-10     & 5.290E-10     & \\ 
 & SE 78  & 6.004E-10     & 6.878E-10     & 2.482E-09     & \\ 
 & SE 80  & 9.574E-10     & 1.125E-09     & 2.241E-09     & \\ 
 & SE 82  & 1.291E-10     & 1.299E-10     & 2.484E-10     & \\ 
 & BR 79  & 1.861E-10     & 2.116E-10     & 5.227E-10     & \\ 
 & BR 81  & 1.886E-10     & 2.131E-10     & 5.419E-10     & \\ 
 & KR 78  & 3.782E-12     & 3.840E-12     & 6.719E-12     & \\ 
 & KR 80  & 3.777E-11     & 3.292E-11     & 2.271E-10     & \\ 
 & KR 82  & 2.953E-10     & 3.371E-10     & 1.237E-09     & \\ 
 & KR 83  & 1.873E-10     & 2.072E-10     & 5.711E-10     & \\ 
 & KR 84  & 9.899E-10     & 1.210E-09     & 3.052E-09     & \\ 
 & KR 86  & 3.651E-10     & 1.122E-09     & 1.101E-09     & \\ 
