# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e


r/R _e	x/R _e	sigma	t	[Z/H]	IMF	[O/Fe]	[Mg/Fe]	[Si/Fe]	[Ca/Fe]	[Ti/Fe]	[Fe/H]	[Na/Fe]	[C/Fe]	[N/Fe]	
		(km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC 4552		
M89	
0.021	0.005	${282}_{-2}^{+2}$	${11.2}_{-1.0}^{+1.1}$	${0.16}_{-0.02}^{+0.02}$	${2.7}_{-0.3}^{+0.3}$	${0.39}_{-0.06}^{+0.06}$	${0.30}_{-0.04}^{+0.04}$	${0.18}_{-0.04}^{+0.04}$	${0.01}_{-0.05}^{+0.05}$	${0.11}_{-0.05}^{+0.05}$	$-{0.04}_{-0.03}^{+0.04}$	${0.67}_{-0.04}^{+0.07}$	${0.25}_{-0.04}^{+0.04}$	${0.21}_{-0.06}^{+0.06}$	
0.030	0.022	${262}_{-2}^{+2}$	${11.5}_{-0.7}^{+0.7}$	${0.16}_{-0.01}^{+0.01}$	${2.8}_{-0.2}^{+0.1}$	${0.38}_{-0.04}^{+0.04}$	${0.28}_{-0.04}^{+0.04}$	${0.17}_{-0.04}^{+0.04}$	${0.02}_{-0.05}^{+0.05}$	${0.07}_{-0.04}^{+0.04}$	$-{0.04}_{-0.03}^{+0.03}$	${0.64}_{-0.04}^{+0.04}$	${0.25}_{-0.03}^{+0.03}$	${0.20}_{-0.05}^{+0.05}$	
0.046	0.042	${255}_{-2}^{+2}$	${12.5}_{-0.6}^{+0.5}$	${0.12}_{-0.01}^{+0.01}$	${2.7}_{-0.1}^{+0.1}$	${0.38}_{-0.04}^{+0.04}$	${0.28}_{-0.03}^{+0.03}$	${0.17}_{-0.04}^{+0.04}$	$-{0.01}_{-0.04}^{+0.04}$	${0.09}_{-0.04}^{+0.04}$	$-{0.03}_{-0.03}^{+0.03}$	${0.62}_{-0.03}^{+0.03}$	${0.25}_{-0.03}^{+0.03}$	${0.17}_{-0.05}^{+0.05}$	
0.062	0.058	${252}_{-2}^{+2}$	${12.9}_{-0.7}^{+0.6}$	${0.08}_{-0.02}^{+0.02}$	${2.5}_{-0.2}^{+0.2}$	${0.38}_{-0.04}^{+0.04}$	${0.28}_{-0.04}^{+0.04}$	${0.14}_{-0.04}^{+0.04}$	${0.00}_{-0.05}^{+0.05}$	${0.06}_{-0.05}^{+0.05}$	$-{0.02}_{-0.03}^{+0.03}$	${0.59}_{-0.04}^{+0.04}$	${0.24}_{-0.04}^{+0.04}$	${0.19}_{-0.05}^{+0.05}$	
0.086	0.084	${248}_{-2}^{+2}$	${12.5}_{-0.8}^{+0.7}$	${0.05}_{-0.02}^{+0.02}$	${2.7}_{-0.2}^{+0.2}$	${0.39}_{-0.05}^{+0.05}$	${0.28}_{-0.04}^{+0.04}$	${0.16}_{-0.05}^{+0.04}$	${0.02}_{-0.05}^{+0.05}$	${0.07}_{-0.05}^{+0.05}$	$-{0.04}_{-0.03}^{+0.03}$	${0.59}_{-0.05}^{+0.05}$	${0.26}_{-0.04}^{+0.04}$	${0.21}_{-0.06}^{+0.06}$	
0.151	0.150	${241}_{-3}^{+3}$	${11.7}_{-1.6}^{+1.6}$	${0.01}_{-0.05}^{+0.05}$	${2.8}_{-0.3}^{+0.3}$	${0.36}_{-0.07}^{+0.07}$	${0.27}_{-0.05}^{+0.05}$	${0.14}_{-0.05}^{+0.05}$	${0.01}_{-0.05}^{+0.05}$	${0.06}_{-0.06}^{+0.05}$	$-{0.03}_{-0.04}^{+0.04}$	${0.52}_{-0.09}^{+0.09}$	${0.24}_{-0.05}^{+0.05}$	${0.17}_{-0.07}^{+0.07}$	
0.268	0.267	${224}_{-3}^{+3}$	${11.0}_{-1.3}^{+1.3}$	$-{0.09}_{-0.04}^{+0.04}$	${2.8}_{-0.4}^{+0.4}$	${0.37}_{-0.06}^{+0.06}$	${0.28}_{-0.03}^{+0.03}$	${0.10}_{-0.04}^{+0.04}$	$-{0.00}_{-0.03}^{+0.03}$	${0.04}_{-0.05}^{+0.04}$	$-{0.03}_{-0.02}^{+0.02}$	${0.50}_{-0.07}^{+0.07}$	${0.24}_{-0.03}^{+0.03}$	${0.19}_{-0.06}^{+0.06}$	
