,zone,R,cdf
0,0,0.05,0.0
1,1,0.15,0.0
2,2,0.25,0.0
3,3,0.35,0.0
4,4,0.45,0.0
5,5,0.55,0.0
6,6,0.65,0.0
7,7,0.75,0.0
8,8,0.85,0.0
9,9,0.95,0.0
10,10,1.05,0.0
11,11,1.15,0.0
12,12,1.25,0.0
13,13,1.35,0.0
14,14,1.45,0.0
15,15,1.55,0.0
16,16,1.65,0.0
17,17,1.75,0.0
18,18,1.85,0.0
19,19,1.95,0.0
20,20,2.05,0.0
21,21,2.15,0.0
22,22,2.25,0.0
23,23,2.35,0.0
24,24,2.45,0.0
25,25,2.55,0.0
26,26,2.65,0.0
27,27,2.75,0.0
28,28,2.85,0.0
29,29,2.95,0.0
30,30,3.05,0.0
31,31,3.15,0.0
32,32,3.25,0.0
33,33,3.35,0.0
34,34,3.45,0.0
35,35,3.55,0.0
36,36,3.65,0.0
37,37,3.75,0.0
38,38,3.85,0.0
39,39,3.95,0.0
40,40,4.05,0.0
41,41,4.15,0.0
42,42,4.25,6.236357966947304e-05
43,43,4.35,6.236357966947304e-05
44,44,4.45,6.236357966947304e-05
45,45,4.55,0.00012472715933894608
46,46,4.65,0.00012472715933894608
47,47,4.75,0.00012472715933894608
48,48,4.85,0.00012472715933894608
49,49,4.95,0.00018709073900841907
50,50,5.05,0.00024945431867789215
51,51,5.15,0.00024945431867789215
52,52,5.25,0.0003741814780168382
53,53,5.35,0.00043654505768631123
54,54,5.45,0.0006236357966947302
55,55,5.55,0.0006236357966947302
56,56,5.65,0.0008107265357031494
57,57,5.75,0.0008730901153726225
58,58,5.85,0.0011849080137199875
59,59,5.95,0.001621453071406299
60,60,6.05,0.0019956345494231372
61,61,6.15,0.002619270346117868
62,62,6.25,0.003429996881821017
63,63,6.35,0.004053632678515747
64,64,6.45,0.005862176488930465
65,65,6.55,0.008356719675709388
66,66,6.65,0.010227627065793578
67,67,6.75,0.014655441222326163
68,68,6.85,0.02020579981290926
69,69,6.95,0.026005612722170255
70,70,7.05,0.03130651699407547
71,71,7.15,0.037979420018709076
72,72,7.25,0.04571250389772373
73,73,7.35,0.05587776738384784
74,74,7.45,0.06835048331774243
75,75,7.55,0.09024009978172748
76,76,7.65,0.11998752728406613
77,77,7.75,0.16545057686311193
78,78,7.85,0.22045525413158715
79,79,7.95,0.30639226691612104
80,80,8.05,0.42519488618646717
81,81,8.15,0.5517929529154973
82,82,8.25,0.6251948861864671
83,83,8.35,0.6856251948861866
84,84,8.45,0.7439975054568132
85,85,8.55,0.7951980043654506
86,86,8.65,0.8419706891175555
87,87,8.75,0.8783910196445276
88,88,8.85,0.9063299033364516
89,89,8.95,0.930901153726224
90,90,9.05,0.9492984097287185
91,91,9.15,0.9615216713439352
92,92,9.25,0.9724352977860931
93,93,9.35,0.9796694730277519
94,94,9.45,0.9853445587776738
95,95,9.55,0.9886498285001559
96,96,9.65,0.9912690988462738
97,97,9.75,0.9933270969753665
98,98,9.85,0.9956969130028064
99,99,9.95,0.9968194574368568
100,100,10.05,0.99763018397256
101,101,10.15,0.9983161833489242
102,102,10.25,0.9988774555659495
103,103,10.35,0.999189273464297
104,104,10.45,0.9995010913626442
105,105,10.55,0.9995634549423138
106,106,10.65,0.9996258185219832
107,107,10.75,0.9997505456813222
108,108,10.85,0.9998129092609916
109,109,10.95,0.9998752728406611
110,110,11.05,0.9998752728406611
111,111,11.15,0.9998752728406611
112,112,11.25,0.9999376364203306
113,113,11.35,0.9999376364203306
114,114,11.45,0.9999376364203306
115,115,11.55,0.9999376364203306
116,116,11.65,0.9999376364203306
117,117,11.75,0.9999376364203306
118,118,11.85,0.9999376364203306
119,119,11.95,0.9999376364203306
120,120,12.05,0.9999376364203306
121,121,12.15,0.9999376364203306
122,122,12.25,0.9999376364203306
123,123,12.35,0.9999376364203306
124,124,12.45,0.9999376364203306
125,125,12.55,0.9999376364203306
126,126,12.65,0.9999376364203306
127,127,12.75,0.9999376364203306
128,128,12.85,0.9999376364203306
129,129,12.95,0.9999376364203306
130,130,13.05,0.9999376364203306
131,131,13.15,0.9999376364203306
132,132,13.25,0.9999376364203306
133,133,13.35,0.9999376364203306
134,134,13.45,0.9999376364203306
135,135,13.55,0.9999376364203306
136,136,13.65,0.9999376364203306
137,137,13.75,0.9999376364203306
138,138,13.85,0.9999376364203306
139,139,13.95,0.9999376364203306
140,140,14.05,0.9999376364203306
141,141,14.15,0.9999376364203306
142,142,14.25,0.9999376364203306
143,143,14.35,0.9999376364203306
144,144,14.45,0.9999376364203306
145,145,14.55,0.9999376364203306
146,146,14.65,0.9999376364203306
147,147,14.75,0.9999376364203306
148,148,14.85,0.9999376364203306
149,149,14.95,0.9999376364203306
150,150,15.05,0.9999376364203306
151,151,15.15,0.9999376364203306
152,152,15.25,0.9999376364203306
153,153,15.35,0.9999376364203306
154,154,15.45,0.9999376364203306
155,155,15.55,0.9999376364203306
156,156,15.65,0.9999376364203306
