#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-22T23:00:34 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-22T23:00:34	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/A+A/655/A117&tab:{J/A+A/655/A117/table2}&key:source=J/A+A/655/A117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A117/table2
#-order=I
#-out=Name
#-out=Num
#-out=[C/H]
#-out=[O/H]
#-out=e_[C/H]
#-out=e_[O/H]
#-out=e_[C/O]
#-out=e_[C/Fe]
#-out=e_[O/Fe]
#-out=AO7772
#-out=AO7774
#-out=AO7775
#-out=AC9061
#-out=AC9063
#-out=AC9078
#-out=AC9089
#-out=AC9094
#-out=AC9111
#-out=Flag1
#-out=Flag2
#-out=Flag3
#-out=Flag4
#-out=Flag5
#-out=Flag6
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=1000	

#RESOURCE=yCat_36550117
#Name: J/A+A/655/A117
#Title: Carbon and oxygen in microlensed bulge dwarfs (Bensby+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a117	
#INFO	publisher=CDS	
#INFO	creator=Bensby T.	
#INFO	related_resource=bibcode:2021A&A...655A.117B	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A117	
#INFO	publication_id=doi:10.26093/cds/vizier.36550117	
#INFO	publication_date=2022-10-10	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A117_table2:
#Name: J/A+A/655/A117/table2
#Title: C and O abundances and uncertainties.
#Column	Name	(A19)	Name of microlensing source star	[ucd=meta.id;meta.main]
#Column	Num	(I6)	Internal numbering of star	[ucd=meta.id]
#Column	[C/H]	(F5.2)	? [C/H] abundance normalised to Sun	[ucd=phys.abund]
#Column	[O/H]	(F5.2)	? [O/H] abundance normalised to Sun	[ucd=phys.abund]
#Column	e_[C/H]	(F5.2)	? Error on [C/H]	[ucd=stat.error;phys.abund]
#Column	e_[O/H]	(F5.2)	? Error on [O/H]	[ucd=stat.error;phys.abund]
#Column	e_[C/O]	(F5.2)	? Error on [C/O]	[ucd=stat.error;phys.abund]
#Column	e_[C/Fe]	(F5.2)	? Error on [C/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[O/Fe]	(F5.2)	? Error on [O/Fe]	[ucd=stat.error;phys.abund]
#Column	AO7772	(F5.2)	? Absolute abundance for O 7772 line	[ucd=phys.abund]
#Column	AO7774	(F5.2)	? Absolute abundance for O 7774 line	[ucd=phys.abund]
#Column	AO7775	(F5.2)	? Absolute abundance for O 7775 line	[ucd=phys.abund]
#Column	AC9061	(F5.2)	? Absolute abundance for C 9061 line	[ucd=phys.abund]
#Column	AC9063	(F5.2)	? Absolute abundance for C 9063 line	[ucd=phys.abund]
#Column	AC9078	(F5.2)	? Absolute abundance for C 9078 line	[ucd=phys.abund]
#Column	AC9089	(F5.2)	? Absolute abundance for C 9089 line	[ucd=phys.abund]
#Column	AC9094	(F5.2)	? Absolute abundance for C 9094 line	[ucd=phys.abund]
#Column	AC9111	(F5.2)	? Absolute abundance for C 9111 line	[ucd=phys.abund]
#Column	Flag1	(I1)	[0/2]? Flag on C 9061 line (1)	[ucd=meta.code.error]
#Column	Flag2	(I1)	[0/2]? Flag on C 9063 line (1)	[ucd=meta.code.error]
#Column	Flag3	(I1)	[0/2]? Flag on C 9078 line (1)	[ucd=meta.code.error]
#Column	Flag4	(I1)	[0/2]? Flag on C 9089 line (1)	[ucd=meta.code.error]
#Column	Flag5	(I1)	[0/2]? Flag on C 9094 line (1)	[ucd=meta.code.error]
#Column	Flag6	(I1)	[0/2]? Flag on C 9111 line (1)	[ucd=meta.code.error]
#Column	SimbadName	(A17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	Num	[C/H]	[O/H]	e_[C/H]	e_[O/H]	e_[C/O]	e_[C/Fe]	e_[O/Fe]	AO7772	AO7774	AO7775	AC9061	AC9063	AC9078	AC9089	AC9094	AC9111	Flag1	Flag2	Flag3	Flag4	Flag5	Flag6	SimbadName	_RA	_DE
MOA-2009-BLG-174S  	909174	     	 0.16	     	 0.24	     	     	 0.25	 8.73	 8.86	 8.78	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2009-BLG-174 	270.53208	-31.42400
MOA-2009-BLG-259S  	909259	     	 0.32	     	 0.24	     	     	 0.31	 8.59	 9.13	 9.13	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2009-BLG-259 	269.48962	-29.19428
MOA-2010-BLG-167S  	910167	     	-0.10	     	 0.19	     	     	 0.19	 8.49	 8.54	 8.54	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2010-BLG-167 	272.86417	-29.68411
MOA-2010-BLG-311S  	910311	 0.40	 0.19	 0.23	 0.16	 0.07	 0.30	 0.25	 8.68	 8.88	 8.88	 8.73	 8.83	 8.93	     	 8.81	 8.81	2	0	2	2	0	1	MOA 2010-BLG-311 	272.20825	-25.95119
MOA-2010-BLG-446S  	910446	-0.48	-0.19	 0.14	 0.09	 0.24	 0.16	 0.12	 8.43	 8.46	 8.43	 7.99	 7.91	 7.89	     	 8.04	 7.92	2	0	1	0	0	0	MOA 2010-BLG-446 	271.76764	-28.06620
MOA-2010-BLG-523S  	910523	 0.03	 0.44	 0.10	 0.16	 0.07	 0.17	 0.21	 9.10	 9.09	 9.01	 8.40	 8.48	 8.41	     	 8.54	 8.46	0	0	0	2	2	1	MOA 2010-BLG-523 	269.28696	-29.74956
OGLE-2011-BLG-0950S	910950	 0.20	 0.07	 0.46	 0.43	 0.02	 0.47	 0.45	 8.66	 8.72	 8.72	 8.48	 8.59	 8.73	     	 8.74	 8.60	0	0	0	0	2	0	EWS 2011-BLG-0950	269.31925	-32.66587
OGLE-2011-BLG-0969S	910969	-1.64	-0.88	 1.04	 0.34	 0.71	 1.07	 0.42	 7.78	 7.67	 7.79	 6.69	 6.64	 6.61	 6.92	 6.92	 6.89	2	1	0	0	2	0	EWS 2011-BLG-0969	272.42137	-31.18464
MOA-2011-BLG-034S  	911034	 0.10	 0.08	 0.58	 0.53	 0.10	 0.59	 0.55	 8.62	 8.69	 8.82	 8.55	 8.59	 8.41	     	 8.54	 8.52	0	0	2	0	0	0	MOA 2011-BLG-034 	272.55113	-27.53405
MOA-2011-BLG-058S  	911058	 0.34	 0.28	 0.16	 0.19	 0.08	 0.30	 0.32	     	 8.82	 9.02	 8.73	 8.68	     	     	 8.71	 8.91	0	0	1	0	2	1	MOA 2011-BLG-058 	272.25137	-29.23686
OGLE-2011-BLG-1072S	911072	 0.25	 0.11	 0.06	 0.07	 0.04	 0.13	 0.14	 8.62	 8.85	 8.73	 8.63	 8.62	 8.66	     	 8.78	 8.67	2	0	0	2	2	0	EWS 2011-BLG-1072	269.22475	-28.84814
MOA-2011-BLG-090S  	911090	-0.34	-0.06	 0.06	 0.10	 0.11	 0.08	 0.11	 8.54	 8.65	 8.50	 8.07	 8.16	 8.14	     	 8.03	 8.01	0	0	2	0	2	0	MOA 2011-BLG-090 	272.62437	-26.64529
MOA-2011-BLG-104S  	911104	-0.79	-0.41	 0.10	 0.13	 0.06	 0.18	 0.20	 8.34	 8.21	 8.09	 7.54	 7.63	 7.69	 7.53	 7.67	 7.76	0	0	0	2	0	1	MOA 2011-BLG-104 	268.59367	-29.83380
OGLE-2011-BLG-1105S	911105	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	     	 	 	 	 	 	 	EWS 2011-BLG-1105	268.70142	-31.43272
MOA-2011-BLG-174S  	911174	-0.18	-0.10	 0.17	 0.17	 0.01	 0.19	 0.19	 8.66	 8.43	 8.50	 8.05	 8.25	 8.34	 8.36	 8.24	 8.22	2	0	0	0	2	0	MOA 2011-BLG-174 	269.33592	-30.37988
MOA-2011-BLG-191S  	911191	     	 0.21	     	 0.19	     	     	 0.23	 8.77	 8.89	 8.85	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2011-BLG-191 	267.91729	-29.89060
MOA-2011-BLG-234S  	911234	     	-0.07	     	 0.26	     	     	 0.27	 8.60	 8.52	 8.54	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2011-BLG-234 	272.73679	-26.56347
MOA-2011-BLG-278S  	911278	     	 0.36	     	 0.33	     	     	 0.51	 8.86	 9.08	 9.01	     	     	     	     	     	     	 	 	 	 	 	 	MOA 2011-BLG-278 	268.54717	-30.08932
OGLE-2011-BLG-1410S	911410	 0.03	 0.10	 0.13	 0.21	 0.13	 0.39	 0.42	 8.29	 8.82	 9.08	 8.50	     	 8.42	     	 8.59	 8.33	0	0	0	2	0	0	EWS 2011-BLG-1410	263.20671	-29.38628
