MASS         METALLICITY  IRV          13C_Pocket   TP           DTIP         DMTDU        TMAX_CS       
1.30         0.000020     00           STANDARD     09           1.024E+05    0.000E+00    2.763E+08    
1.30         0.000050     00           STANDARD     17           5.759E+04    0.000E+00    2.891E+08    
1.30         0.000100     00           STANDARD     15           6.025E+04    0.000E+00    2.868E+08    
1.30         0.000300     00           STANDARD     11           9.423E+04    0.000E+00    2.861E+08    
1.30         0.001000     00           STANDARD     10           1.075E+05    0.000E+00    1.940E+08    
1.30         0.002000     00           STANDARD     11           1.081E+05    0.000E+00    2.852E+08    
1.30         0.003000     00           STANDARD     10           1.112E+05    0.000E+00    2.844E+08    
1.30         0.006000     00           STANDARD     09           1.384E+05    0.000E+00    2.777E+08    
1.30         0.008000     00           STANDARD     10           1.269E+05    0.000E+00    2.777E+08    
1.30         0.010000     00           STANDARD     10           1.319E+05    0.000E+00    2.744E+08    
1.30         0.014000     00           STANDARD     10           1.265E+05    0.000E+00    2.704E+08    
1.30         0.020000     00           STANDARD     11           1.226E+05    0.000E+00    2.661E+08    
1.50         0.000020     00           STANDARD     10           9.155E+04    0.000E+00    2.796E+08    
1.50         0.000050     00           STANDARD     15           6.465E+04    6.070E-04    2.920E+08    
1.50         0.000100     00           STANDARD     12           8.561E+04    2.064E-03    2.978E+08    
1.50         0.000300     00           STANDARD     13           7.670E+04    0.000E+00    2.926E+08    
1.50         0.001000     00           STANDARD     11           9.659E+04    0.000E+00    2.919E+08    
1.50         0.002000     00           STANDARD     11           1.044E+05    0.000E+00    2.900E+08    
1.50         0.003000     00           STANDARD     11           1.136E+05    0.000E+00    2.884E+08    
1.50         0.006000     00           STANDARD     10           1.274E+05    3.210E-04    2.834E+08    
1.50         0.008000     00           STANDARD     12           1.012E+05    0.000E+00    2.812E+08    
1.50         0.010000     00           STANDARD     09           1.573E+05    2.961E-03    2.761E+08    
1.50         0.014000     00           STANDARD     11           1.261E+05    2.610E-04    2.771E+08    
1.50         0.020000     00           STANDARD     13           9.827E+04    0.000E+00    2.729E+08    
2.00         0.000020     00           STANDARD     10           5.489E+04    2.980E-04    3.141E+08    
2.00         0.000050     00           STANDARD     15           4.222E+04    0.000E+00    3.140E+08    
2.00         0.000100     00           STANDARD     14           6.549E+04    2.654E-03    3.214E+08    
2.00         0.000300     00           STANDARD     15           5.937E+04    2.380E-04    3.098E+08    
2.00         0.001000     00           STANDARD     14           7.839E+04    1.590E-03    3.101E+08    
2.00         0.002000     00           STANDARD     14           9.912E+04    1.603E-03    3.034E+08    
2.00         0.003000     00           STANDARD     13           1.025E+05    1.407E-03    3.000E+08    
2.00         0.006000     00           STANDARD     13           1.198E+05    4.662E-03    2.979E+08    
2.00         0.008000     00           STANDARD     13           1.105E+05    7.480E-04    2.945E+08    
2.00         0.010000     00           STANDARD     13           1.221E+05    4.605E-03    2.937E+08    
2.00         0.014000     00           STANDARD     13           1.160E+05    3.560E-03    2.907E+08    
2.00         0.020000     00           STANDARD     13           1.161E+05    4.218E-03    2.868E+08    
2.50         0.000100     00           STANDARD     15           3.729E+04    1.790E-03    3.474E+08    
2.50         0.000300     00           STANDARD     12           4.241E+04    1.023E-03    3.289E+08    
2.50         0.001000     00           STANDARD     11           6.913E+04    6.041E-03    3.348E+08    
2.50         0.002000     00           STANDARD     12           8.031E+04    5.284E-03    3.257E+08    
2.50         0.003000     00           STANDARD     13           9.133E+04    4.926E-03    3.156E+08    
2.50         0.006000     00           STANDARD     16           1.048E+05    4.555E-03    3.017E+08    
2.50         0.008000     00           STANDARD     17           1.018E+05    3.087E-03    2.989E+08    
2.50         0.010000     00           STANDARD     17           1.064E+05    4.025E-03    2.954E+08    
2.50         0.014000     00           STANDARD     16           1.003E+05    3.147E-03    2.932E+08    
2.50         0.020000     00           STANDARD     17           9.733E+04    3.765E-03    2.902E+08    
3.00         0.000100     00           STANDARD     17           2.213E+04    2.592E-03    3.621E+08    
3.00         0.000300     00           STANDARD     13           2.017E+04    1.232E-03    3.456E+08    
3.00         0.001000     00           STANDARD     12           2.931E+04    2.568E-03    3.495E+08    
3.00         0.002000     00           STANDARD     11           3.747E+04    2.902E-03    3.414E+08    
3.00         0.003000     00           STANDARD     10           4.188E+04    2.440E-03    3.321E+08    
3.00         0.006000     00           STANDARD     11           7.442E+04    3.298E-03    3.270E+08    
3.00         0.008000     00           STANDARD     13           7.717E+04    4.475E-03    3.163E+08    
3.00         0.010000     00           STANDARD     15           8.505E+04    4.764E-03    3.097E+08    
3.00         0.014000     00           STANDARD     17           7.394E+04    1.784E-03    3.041E+08    
3.00         0.020000     00           STANDARD     18           8.826E+04    4.474E-03    2.999E+08    
4.00         0.000100     00           STANDARD     26           1.124E+04    1.443E-03    3.734E+08    
4.00         0.000300     00           STANDARD     20           1.010E+04    1.111E-03    3.579E+08    
4.00         0.001000     00           STANDARD     16           1.046E+04    4.410E-04    3.481E+08    
4.00         0.002000     00           STANDARD     16           1.106E+04    4.080E-04    3.468E+08    
4.00         0.003000     00           STANDARD     13           1.141E+04    7.350E-04    3.382E+08    
4.00         0.006000     00           STANDARD     10           1.443E+04    4.600E-04    3.280E+08    
4.00         0.008000     00           STANDARD     10           1.387E+04    1.490E-04    3.213E+08    
4.00         0.010000     00           STANDARD     10           1.523E+04    0.000E+00    3.171E+08    
4.00         0.014000     00           STANDARD     09           1.658E+04    2.630E-04    3.118E+08    
4.00         0.020000     00           STANDARD     10           2.724E+04    6.060E-04    3.078E+08    
5.00         0.000100     00           STANDARD     47           4.431E+03    5.260E-04    3.764E+08    
5.00         0.000300     00           STANDARD     33           4.499E+03    3.010E-04    3.620E+08    
5.00         0.001000     00           STANDARD     24           5.423E+03    5.500E-04    3.624E+08    
5.00         0.002000     00           STANDARD     23           5.508E+03    5.840E-04    3.572E+08    
5.00         0.003000     00           STANDARD     20           5.568E+03    3.610E-04    3.471E+08    
5.00         0.006000     00           STANDARD     13           8.364E+03    5.110E-04    3.372E+08    
5.00         0.008000     00           STANDARD     12           9.597E+03    6.060E-04    3.344E+08    
5.00         0.010000     00           STANDARD     13           8.302E+03    9.600E-05    3.245E+08    
5.00         0.014000     00           STANDARD     11           9.343E+03    5.000E-06    3.211E+08    
5.00         0.020000     00           STANDARD     10           1.075E+04    0.000E+00    3.120E+08    
6.00         0.000100     00           STANDARD     84           1.210E+03    5.000E-05    3.606E+08    
6.00         0.000300     00           STANDARD     67           1.472E+03    8.000E-05    3.659E+08    
6.00         0.001000     00           STANDARD     58           1.689E+03    9.000E-05    3.648E+08    
6.00         0.002000     00           STANDARD     42           1.918E+03    7.000E-05    3.573E+08    
6.00         0.003000     00           STANDARD     34           1.868E+03    3.000E-05    3.463E+08    
6.00         0.006000     00           STANDARD     24           2.998E+03    2.100E-05    3.433E+08    
6.00         0.008000     00           STANDARD     20           3.833E+03    8.200E-05    3.397E+08    
6.00         0.010000     00           STANDARD     17           4.849E+03    2.330E-04    3.363E+08    
6.00         0.014000     00           STANDARD     18           4.094E+03    3.000E-06    3.291E+08    
6.00         0.020000     00           STANDARD     14           5.068E+03    0.000E+00    3.187E+08
