f_preferred_name,Fe,Fe_err,C,C_err,O,O_err,Mg,Mg_err,Si,Si_err,S,S_err,Ca,Ca_err,Ti,Ti_err,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 32768 ,0.02 ,0.04 ,-0.14 ,0.09 ,-0.06 ,0.09 ,0.21 ,0.07 ,0.27 ,0.05 ,0.67 ,0.09 ,0.10 ,0.06 ,0.00 ,0.05 ,102.4840090 ,-50.6145395 ,-7.650 ,34.551 ,-43.104 ,55.77 ,thin ,K1III ,2.94 ,1.207 ,12.70 ,-36.20 ,-8.70 ,4710.0 ,1.74 ,,,
HIP 65536 ,-1.00 ,0.04 ,-0.72 ,0.09 ,-0.35 ,0.09 ,-0.60 ,0.07 ,-0.80 ,0.05 ,,,-0.69 ,0.06 ,-0.72 ,0.05 ,201.5336068 ,72.3914739 ,-100.324 ,-39.587 ,339.815 ,356.52 ,thin ,M1IIIab ,5.82 ,1.652 ,56.70 ,-18.30 ,-30.40 ,3959.5 ,,,72.25 ,
HIP 98314 ,-0.34 ,0.04 ,-0.45 ,0.14 ,-0.24 ,0.14 ,-0.12 ,0.06 ,-0.22 ,0.04 ,-0.10 ,0.01 ,-0.24 ,0.08 ,-0.25 ,0.08 ,299.6359047 ,7.9206772 ,42.825 ,-75.276 ,12.049 ,87.44 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,4983.0 ,3.02 ,,5.74 ,
HIP 98316 ,-0.07 ,0.06 ,-0.07 ,0.09 ,,,0.02 ,0.10 ,-0.02 ,0.02 ,,,0.04 ,0.06 ,0.20 ,0.12 ,299.6374343 ,-54.9368910 ,6.327 ,-11.120 ,-18.228 ,22.27 ,N/A ,K3+V ,8.54 ,1.050 ,,,,4746.9 ,4.49 ,0.76 ,0.75 ,
HIP 65550 ,-0.04 ,0.04 ,-0.26 ,0.04 ,-0.07 ,0.06 ,-0.06 ,0.07 ,0.06 ,0.05 ,0.30 ,0.09 ,0.00 ,0.06 ,-0.04 ,0.02 ,201.5691764 ,46.0280569 ,-81.292 ,-32.135 ,90.608 ,125.90 ,thin ,K0III: ,5.88 ,0.985 ,20.70 ,4.40 ,6.10 ,4881.0 ,2.54 ,,10.68 ,
HIP 98329 ,-0.05 ,0.02 ,-0.11 ,0.09 ,,,-0.05 ,0.07 ,-0.03 ,0.05 ,,,0.00 ,0.06 ,0.08 ,0.05 ,299.6662801 ,-19.9356408 ,24.167 ,-42.427 ,-17.710 ,51.94 ,N/A ,K1V ,9.37 ,0.866 ,,,,5044.5 ,4.36 ,0.85 ,0.81 ,
HIP 98333 ,-0.18 ,0.04 ,-0.23 ,0.09 ,-0.19 ,0.09 ,-0.15 ,0.07 ,-0.23 ,0.05 ,,,-0.10 ,0.06 ,-0.23 ,0.05 ,299.6743737 ,70.3669517 ,22.937 ,-40.254 ,129.874 ,137.89 ,thin ,G8III ,6.32 ,0.868 ,-42.60 ,-18.30 ,-11.10 ,5098.0 ,,,10.15 ,
HD 163489 ,0.34 ,0.03 ,-0.10 ,0.09 ,0.04 ,0.14 ,0.06 ,0.07 ,0.01 ,0.04 ,,,0.23 ,0.06 ,0.19 ,0.05 ,269.0496040 ,4.8335767 ,-3.206 ,-193.246 ,16.344 ,193.96 ,N/A ,,,,,,,4814.0 ,3.13 ,,8.41 ,
HIP 98337 ,-0.17 ,0.01 ,,,,,0.15 ,0.07 ,0.11 ,0.05 ,,,-0.28 ,0.06 ,-0.30 ,0.05 ,299.6892843 ,19.4921465 ,36.989 ,-64.876 ,26.434 ,79.22 ,thin ,M0-III ,3.51 ,1.571 ,-35.80 ,-19.40 ,-13.70 ,4543.5 ,0.94 ,,,
2MASS 19154511-1623157 ,0.03 ,0.04 ,,,,,0.02 ,0.07 ,0.02 ,0.05 ,,,0.04 ,0.06 ,-0.04 ,0.05 ,288.9379823 ,-16.3877121 ,96.581 ,-281.482 ,-87.516 ,310.19 ,N/A ,,,,,,,5758.0 ,4.25 ,1.05 ,1.27 ,
HIP 65574 ,-0.18 ,0.02 ,-0.08 ,0.13 ,-0.01 ,0.09 ,-0.16 ,0.04 ,-0.15 ,0.04 ,0.43 ,0.09 ,-0.12 ,0.02 ,-0.02 ,0.06 ,201.6648221 ,-24.2933733 ,-25.573 ,-10.159 ,-12.420 ,30.19 ,thin ,K2.5V(k) ,8.77 ,0.920 ,-42.20 ,-26.90 ,-8.20 ,4985.9 ,4.54 ,0.81 ,0.74 ,
HIP 32812 ,0.03 ,0.02 ,0.02 ,0.09 ,,,-0.20 ,0.07 ,0.04 ,0.05 ,,,0.05 ,0.06 ,0.23 ,0.05 ,102.6001977 ,-51.0456522 ,-7.017 ,31.390 ,-39.784 ,51.16 ,N/A ,K0 ,9.94 ,0.942 ,,,,4924.7 ,4.41 ,0.82 ,0.78 ,
HIP 32813 ,-0.15 ,0.04 ,,,,,-0.04 ,0.07 ,-0.01 ,0.05 ,,,-0.05 ,0.06 ,-0.04 ,0.05 ,102.6052809 ,-69.9862470 ,-11.132 ,49.779 ,-140.040 ,149.04 ,N/A ,K0III ,6.80 ,0.997 ,,,,4923.7 ,2.70 ,,10.95 ,
HIP 65583 ,-0.10 ,0.04 ,0.06 ,0.08 ,0.13 ,0.16 ,-0.01 ,0.02 ,-0.04 ,0.04 ,-0.02 ,0.04 ,-0.04 ,0.07 ,-0.07 ,0.07 ,201.6851049 ,16.9486647 ,-65.572 ,-26.074 ,21.505 ,73.77 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6171.6 ,4.23 ,1.15 ,1.56 ,
HIP 98353 ,-0.20 ,0.06 ,,,,,-0.07 ,0.07 ,0.03 ,0.05 ,,,-0.03 ,0.06 ,-0.03 ,0.05 ,299.7383424 ,-26.1957625 ,42.720 ,-74.780 ,-42.369 ,95.98 ,thin ,G6IIIa:Ba0.3 ,4.84 ,0.882 ,-52.90 ,2.00 ,12.90 ,4996.5 ,,,16.26 ,
2MASS 19085844+4235134 ,-0.08 ,0.04 ,-0.11 ,0.09 ,-0.17 ,0.09 ,-0.07 ,0.07 ,-0.05 ,0.05 ,,,0.02 ,0.06 ,0.01 ,0.05 ,287.2435239 ,42.5870520 ,86.726 ,-279.416 ,268.906 ,397.37 ,N/A ,,,,,,,5183.3 ,,,,
HIP 98355 ,-0.52 ,0.14 ,-0.43 ,0.04 ,-0.22 ,0.15 ,-0.39 ,0.06 ,-0.49 ,0.08 ,-0.51 ,0.01 ,-0.49 ,0.09 ,-0.50 ,0.09 ,299.7439217 ,-46.0880446 ,17.965 ,-31.440 ,-37.612 ,52.21 ,thin ,F8Vm-2 ,7.47 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6231.5 ,4.27 ,1.21 ,1.29 ,
