# berg 2019
galaxy	eps_o	eps_o_err	log_c_o	log_c_o_err
J223831	7.587	0.022		-0.661	0.095
J141851	7.542	0.022		-0.883	0.065
J120202	7.630	0.023		-0.797	0.093
J121402	7.668	0.021		-0.490	0.102
J084236	7.614	0.022		-0.949	0.114
J171236	7.698	0.020		-0.768	0.102
J113116	7.648	0.021		-0.787	0.142
J133126	7.694	0.020		-0.723	0.075
J132853	7.727	0.021		-1.042	0.116
J095430	7.699	0.022		-0.601	0.111
J132347	7.584	0.023		-1.029	0.079
J094718	7.727	0.023		-0.384	0.118
J150934	7.708	0.020		-0.791	0.087
J100348	7.744	0.022		-0.553	0.129
J025346	7.911	0.022		-0.607	0.111
J015809	7.750	0.022		-0.526	0.143
J104654	7.910	0.020		-0.794	0.102
J093006	8.019	0.020		-0.895	0.101
J092055	7.865	0.018		-0.651	0.121
J084956	7.982	0.010		-0.848	0.313
