# peña-guerreno et al. 2017
galaxy		eps_c	eps_c_err	eps_o	eps_o_err
Mrk 960		7.49	0.20		8.11	0.19
SBS 0218+003	6.82	0.19		7.99	0.06
Mrk 1087	8.60	0.19		8.41	0.16
NGC 1087	7.83	0.20		8.25	0.10
Mrk 5		6.97	0.19		7.96	0.10
Mrk 1199	8.91	0.23		8.33	0.22
IRAS 08208+2816	7.54	0.15		8.43	0.11
IRAS 08339+6517	8.27	0.19		8.42	0.07
SBS 0926+606A	7.29	0.15		7.98	0.09
ARP 252		7.98	0.19		8.13	0.15
SBS 0948+532	7.33	0.15		8.03	0.09
Tol 9		8.54	0.21		8.58	0.15
SBS 1054+365	7.48	0.11		8.11	0.09
POX 4		7.36	0.08		8.05	0.05
SBS 1319+579	7.66	0.17		8.19	0.09
SBS 1415+437	5.92	0.21		7.56	0.09
Tol 1457-262	6.40	0.30		7.83	0.16
III Zw 107	7.05	0.18		8.22	0.10
