# Table 6 from https://ui.adsabs.harvard.edu/abs/2021ApJ...923...65F/abstract
# These are derived from emission lines (?) of early type (elliptical?) galaxies
# Stellar Population Results as a Function of Galaxy Radius r/R _e, where We Take the Slit Width into Account, and Distance from the Galaxy Center along the Slit x/R _e
#
# 
name    r	x 	sigma	sigma_err t   t_err	[Z/H]   [Z/H]_err	IMF	IMF_err   [O/Fe]    [O/Fe]_err	[Mg/Fe]     [Mg/Fe]_err	[Si/Fe]     [Si/Fe]_err		[Ca/Fe]     [Ca/Fe]_err		[Ti/Fe]     [Ti/Fe]_err		[Fe/H]      [Fe/H]_err		[Na/Fe]     [Na/Fe]_err		[C/Fe]      [C/Fe]_err		[N/Fe]      [N/Fe]_err		
# (km s^-1)	(Gyr)	(dex)		(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	(dex)	
NGC4522    0.021	0.005	282 +2	11.2 +1.1	0.16 +0.02	2.7 +0.3	0.39 +0.06	0.30 +0.04	0.18 +0.04	0.01 +0.05	0.11 +0.05	-0.04 +0.04	0.67 +0.07	0.25 +0.04	0.21 +0.06	
NGC4522    0.030	0.022	262 +2	11.5 +0.7	0.16 +0.01	2.8 +0.1	0.38 +0.04	0.28 +0.04	0.17 +0.04	0.02 +0.05	0.07 +0.04	-0.04 +0.03	0.64 +0.04	0.25 +0.03	0.20 +0.05	
NGC4522    0.046	0.042	255 +2	12.5 +0.5	0.12 +0.01	2.7 +0.1	0.38 +0.04	0.28 +0.03	0.17 +0.04	-0.01 +0.04	0.09 +0.04	-0.03 +0.03	0.62 +0.03	0.25 +0.03	0.17 +0.05	
NGC4522    0.062	0.058	252 +2	12.9 +0.6	0.08 +0.02	2.5 +0.2	0.38 +0.04	0.28 +0.04	0.14 +0.04	0.00 +0.05	0.06 +0.05	-0.02 +0.03	0.59 +0.04	0.24 +0.04	0.19 +0.05	
NGC4522    0.086	0.084	248 +2	12.5 +0.7	0.05 +0.02	2.7 +0.2	0.39 +0.05	0.28 +0.04	0.16 +0.04	0.02 +0.05	0.07 +0.05	-0.04 +0.03	0.59 +0.05	0.26 +0.04	0.21 +0.06	
NGC4522    0.151	0.150	241 +3	11.7 +1.6	0.01 +0.05	2.8 +0.3	0.36 +0.07	0.27 +0.05	0.14 +0.05	0.01 +0.05	0.06 +0.05	-0.03 +0.04	0.52 +0.09	0.24 +0.05	0.17 +0.07	
NGC4522    0.268	0.267	224 +3	11.0 +1.3	-0.09 +0.04	2.8 +0.4	0.37 +0.06	0.28 +0.03	0.10 +0.04	-0.00 +0.03	0.04 +0.04	-0.03 +0.02	0.50 +0.07	0.24 +0.03	0.19 +0.06	
NGC4522    0.417	0.417	213 +3	12.3 +0.9	-0.28 +0.02	2.4 +0.2	0.45 +0.03	0.28 +0.03	0.13 +0.04	-0.04 +0.04	-0.07 +0.04	-0.03 +0.02	0.49 +0.07	0.26 +0.02	0.29 +0.04	
NGC4522    0.625	0.625	216 +5	10.9 +1.8	-0.39 +0.03	2.3 +0.1	0.55 +0.02	0.31 +0.04	0.15 +0.06	-0.02 +0.04	-0.03 +0.06	-0.11 +0.02	0.65 +0.05	0.32 +0.02	0.41 +0.05	
NGC1404     0.026	0.005	238 +2	12.7 +0.6	0.12 +0.02	2.0 +0.3	0.41 +0.04	0.26 +0.04	0.16 +0.04	0.04 +0.04	0.11 +0.04	-0.04 +0.03	0.53 +0.07	0.25 +0.04	0.17 +0.06	
