Table 6.
Comparison between the yields in solar masses for m3z2m2 and the yields from Karakas (2010) (Ka10), Cristallo et al. (2011) (Cr11), and RI18 for their model with same initial mass and metallicity.
From B+2019

Isotope	m3z2m2	m3z2m2-hCBM	RI18	Cr11	Ka10
C 12	3.4035341E-02	3.43558877e-02	4.448E-02	1.86110E-02	2.0739544E-02
C 13	2.2231664E-04	2.18517069e-04	2.252E-04	2.20200E-04	1.9436399E-04
N 14	7.0151267E-03	6.90119758e-03	7.685E-03	6.64840E-03	5.6565693E-03
N 15	4.4046608e-06	4.25324193e-06	4.207E-06	4.29400E-06	5.0818235E-06
O 16	3.1633632E-02	3.22309748e-02	3.828E-02	1.94360E-02	2.1144016E-02
O 17	6.2956708e-05	6.20965699e-05	5.194E-05	7.91850E-05	5.5763638E-05
O 18	3.4374702e-05	3.34363411e-05	3.364E-05	3.12110E-05	3.6596495E-05
F 19	4.9649986e-06	4.92340864e-06	7.655E-06	3.68770E-06	4.3487280E-06
NE 20	4.2225594E-03	4.13259733e-03	4.356E-03	3.63520E-03	3.7571993E-03
NE 21	1.2744558e-05	1.24662448e-05	1.270E-05	9.90460E-06	1.0039988E-05
NE 22	2.7187524E-03	2.82343479e-03	3.937E-03	2.32210E-03	2.1113991E-03
NA 23	1.4976682E-04	1.49833381e-04	1.772E-04	1.87730E-04	1.2845088E-04
MG 24	1.3712457E-03	1.34172081e-03	1.421E-03	1.84710E-03	1.1949923E-03
MG 25	2.9955618E-04	2.92761999e-04	2.915E-04	2.43210E-04	1.6784266E-04
MG 26	4.5746367E-04	4.54130815e-04	4.726E-04	2.88120E-04	1.9374024E-04
AL 27	1.5420979E-04	1.50610193e-04	1.585E-04	2.08100E-04	1.3861095E-04
SI 28	1.7175335E-03	1.67961680e-03	1.770E-03	2.36270E-03	1.5164100E-03
SI 29	9.2162458e-05	9.01472831e-05	9.501E-05	1.24570E-04	7.9920115E-05
SI 30	6.7840128e-05	6.65214218e-05	6.975E-05	8.60130E-05	5.5390818E-05
P 31	1.7451779e-05	1.71499494e-05	1.771E-05	2.28230E-05	1.9017965E-05
S 33	7.9125730e-06	7.74800508e-06	8.331E-06	1.04160E-05	7.6937777E-06
S 34	4.5194069e-05	4.42301243e-05	4.601E-05	5.91400E-05	4.3391171E-04
FE 54	1.8268714E-04	1.78490960e-04	1.874E-04	2.49280E-04	1.6390771E-04
FE 56	3.0096567E-03	2.94198314e-03	3.100E-03	4.08090E-03	2.7071363E-03
FE 57	8.1660429e-05	8.00810684e-05	8.781E-05	1.02140E-04	7.2351380E-05
FE 58	2.9018441e-05	2.90010573e-05	3.211E-05	1.76610E-05	1.1919641E-05
CO 59	1.3762730e-05	1.36096972e-05	1.441E-05	1.33220E-05	8.5931824E-06
NI 58	1.2853806E-04	1.25593342e-04	1.317E-04	1.71330E-04	1.1363259E-04
NI 60	5.5129775e-05	5.40953096e-05	5.698E-05	6.93570E-05	4.5602490E-05
NI 61	3.9916327e-06	3.97199615e-06	4.122E-06	3.46150E-06	8.8770785E-06
NI 62	1.0936648e-05	1.08258788e-05	1.056E-05	1.04870E-05	5.0042019E-08
NI 64	4.0636092e-06	4.02730786e-06	3.165E-06	3.32430E-06	–
SR 88	3.3440015e-07	3.80870156e-07	1.978E-07	1.63060E-06	–
Y 89	9.2306586e-08	1.06181661e-07	5.072E-08	3.17410E-07	–
ZR 90	9.6840845e-08	1.11106954e-07	5.726E-08	3.24600E-07	–
BA136	2.1123224e-08	2.61090422e-08	9.317E-09	2.79920E-08	–
BA138	1.9605483e-07	2.43881700e-07	7.581E-08	1.68590E-07	–
LA139	2.2851196e-08	2.82865328e-08	9.138E-09	2.00170E-08	–
PB208	3.2787968e-08	3.75103148e-08	2.243E-08	4.82470E-08	–
