galaxy          eps_o   eps_o_err   eps_c   eps_c_err
Mrk960          8.11    0.19        7.49    0.20
SBS0218+003     7.99    0.06        6.82    0.19
Mrk1087         8.41    0.14        8.60    0.19
NGC1741         8.25    0.10        7.83    0.20
Mrk5            7.98    0.10        6.97    0.19
Mrk1199         8.33    0.22        8.91    0.23
IRAS08208+2816  8.43    0.11        7.54    0.15
IRAS08339+6517  8.42    0.07        8.27    0.19
SBS0926+606A    7.98    0.09        7.29    0.15
Arp252          8.13    0.15        7.98    0.19
SBS0948+532     8.03    0.09        7.33    0.15
Tol9            8.58    0.15        8.54    0.21
SBS1054+365     8.11    0.09        7.48    0.11
POX4            8.06    0.05        7.36    0.09
SBS1319+579     8.19    0.09        7.66    0.17
SBS1415+437     7.56    0.07        5.93    0.17
Tol1457-262     7.83    0.16        6.40    0.30
IIIZw107        8.22    0.10        7.50    0.18
