JINA_ID,Ref,Name,Simbad_Identifier,NLTE,I_mag,Teff,logg,Mg/H,C/Mg
37,ROE10,CS22876-040,2MASS_J00045244-3413372,*,,6280,3.7,'-2.07,<0.43
38,ROE14b,CS22876-040,2MASS_J00045244-3413372,*,,6090,3.8,'-2.15,<0.07
39,AOK07a,CS29503-010,2MASS_J00045537-2424193,*,13.128,6500,4.5,'-0.77,0.74
44,ALL12,CS31070-073,2MASS_J00085182+0526171,*,13.903,6190,3.86,'-2.02,0.81
45,COH04,HE0007-1832,2MASS_J00095277-1816124,*,,6515,3.8,'-1.95,1.81
46,COH13,HE0007-1832,2MASS_J00095277-1816124,*,,6500,3.8,'-2.24,2.23
50,COH06,HE0012-1441,2MASS_J00152706-1424376,*,,5730,3.5,'-1.67,0.9
51,COH13,HE0012-1441,2MASS_J00152706-1424376,*,,5750,3.5,'-1.69,0.88
54,ROE14b,CS30339-015,2MASS_J00165810-3348175,*,,5840,3.6,'-2.56,0.04
62,BON09,BS17570-063,2MASS_J00203619+2347376,*,,6242,4.75,'-2.86,0.46
65,BAR05,HE0018-1349,2MASS_J00205238-1332296,*,14.995,5719,4.62,'-1.98,0.04
66,ROE14b,CS22882-006,2MASS_J00215986-2929265,*,,5800,3.6,'-2.48,'-0.27
71,BAR05,HE0023-4825,2MASS_J00255030-4808270,*,13.161,5816,3.63,'-1.86,0.07
74,LUC03,HE0024-2523,2MASS_J00272766-2506281,*,,6625,4.3,'-2.01,1.98
79,BON09,CS30339-069,2MASS_J00301595-3556512,*,,6242,4,'-2.92,0.52
80,ROE14b,CS30339-069,2MASS_J00301595-3556512,*,,5900,3.55,'-3.04,<0.61
83,ROE14b,CS22882-012,2MASS_J00302250-2735272,*,,6290,3.8,'-2.39,0.74
91,AOK08,SDSS0036-10,2MASS_J00360218-1043362,*,,6500,4.5,'-2.23,2.1
95,BAR05,HE0043-2845,2MASS_J00455594-2829172,*,14.555,5517,4.42,'-2.63,'-0.12
97,BAR05,HE0044-4023,2MASS_J00462937-4007226,*,15.502,5694,3.26,'-2.34,0.14
101,BAR05,HE0049-5700,2MASS_J00520684-5644374,*,15.299,5952,4.08,'-2.05,0.0
102,YON13,HE0049-3948,2MASS_J00521335-3932368,*,,6466,3.78,'-3.39,<1.52
106,BAR05,HE0054-0657,2MASS_J00572078-0640593,*,14.716,5908,4.4,'-1.79,0.04
123,COH06,HE0058-0244,2MASS_J01005303-0228200,*,12.942,5620,3.4,'-2.27,1.6
124,COH13,CS22183-015,2MASS_J01005303-0228200,*,12.942,5620,3.4,'-2.26,1.55
138,YON13,HE0102-1213,2MASS_J01052796-1157310,*,,6100,3.65,'-3.22,<1.25
163,ROE14b,CS29514-037,2MASS_J01214169-2703312,*,,5970,3.7,'-2.38,'-0.05
171,AOK08,SDSS0126+06,2MASS_J01261795+0607248,*,,6600,4.1,'-2.57,2.34
