#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-10T16:41:16 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-05-10T16:41:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJ/833/225/table3&-order=I&-out=Name&-out=Teff&-out=logg&-out=[Fe/H]&-out=xi&-out=Pop&-out=Z&-out=Species&-out=N&-out=[X/H]LTE&-out=e_[X/H]LTE&-out=[X/Fe]LTE&-out=[X/H]NLTE&-out=e_[X/H]NLTE&-out=[X/Fe]NLTE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18330225
#Name: J/ApJ/833/225
#Title: -2.6<=[Fe/H]<=0.2 F and G dwarfs. II. Abundances (Zhao+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/833/225	    IVOID of underlying data collection
#INFO	creator=Zhao G.	    First author or institution
#INFO	cites=bibcode:2016ApJ...833..225Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/833/225	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18330225	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_833_225_table3:
#Name: J/ApJ/833/225/table3
#Title: Summary of the obtained stellar abundances
#Column	Name	(A10)	Object, Simbad name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[4810/6600] Object effective temperature, derived (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[3/4.8] Object surface gravity, derived (1)	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	[-2.7/0.3] Object metallicity, derived (1)	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0.6/2] Microturbulence velocity, derived (1)	[ucd=phys.veloc.microTurb]
#Column	Pop	(a10)	Object Galactic population (Halo, Thick disk or Thin disk)	[ucd=src.class]
#Column	Z	(I2)	[3/63]? Atomic number	[ucd=meta.id]
#Column	Species	(A5)	Chemical species investigated	[ucd=meta.note]
#Column	N	(I2)	[0/29]? Number of lines fit	[ucd=meta.number]
#Column	[X/H]LTE	(F5.2)	[-3.6/2.8]? Abundance, relative to hydrogen, LTE case	[ucd=phys.abund]
#Column	e_[X/H]LTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]LTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]LTE	(F5.2)	[-1.1/0.7]? Abundance, relative to iron, LTE case	[ucd=phys.abund]
#Column	[X/H]NLTE	(F5.2)	[-3.3/2.7]? Abundance, relative to hydrogen, NLTE case	[ucd=phys.abund]
#Column	e_[X/H]NLTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]NLTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]NLTE	(F5.2)	[-0.8/0.7]? Abundance, relative to iron, NLTE case	[ucd=phys.abund]
Name	Teff	logg	[Fe/H]	xi	Pop	Z	Species	N	[X/H]LTE	e_[X/H]LTE	[X/Fe]LTE	[X/H]NLTE	e_[X/H]NLTE	[X/Fe]NLTE
#  	K	cm/s2	[Sun]	km/s	 	 	 	 	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]
# ----------	----	-----	-----	----	----------	--	-----	--	-----	-----	-----	-----	-----	-----
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	 3	Li I 	 1	 2.50	     	     	 2.47	     	
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	 6	C I  	 5	 0.00	 0.04	-0.10	-0.05	 0.05	-0.15
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	  	CH   	13	 0.10	 0.06	 0.00	     	     	
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	 8	O I  	 4	 0.01	 0.01	-0.09	-0.06	 0.04	-0.16
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	11	Na I 	 4	 0.27	 0.06	 0.17	 0.21	 0.04	 0.11
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	12	Mg I 	 5	 0.12	 0.02	 0.02	 0.11	 0.02	 0.01
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	13	Al I 	 2	 0.08	 0.02	-0.02	 0.10	 0.01	 0.00
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	14	Si I 	 9	 0.11	 0.03	 0.01	 0.11	 0.03	 0.01
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	14	Si II	 2	 0.03	 0.04	-0.07	 0.02	 0.04	-0.08
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	19	K I  	 1	 0.22	     	 0.12	 0.05	     	-0.05
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	20	Ca I 	18	 0.08	 0.05	-0.02	 0.04	 0.05	-0.06
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	21	Sc II	 9	 0.12	 0.03	 0.02	 0.11	 0.03	 0.01
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	22	Ti II	10	 0.07	 0.03	-0.03	 0.07	 0.03	-0.03
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	26	Fe I 	26	 0.16	 0.07	 0.06	 0.17	 0.07	 0.07
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	26	Fe II	15	 0.10	 0.05	 0.00	 0.10	 0.05	 0.00
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	29	Cu I 	 3	 0.18	 0.02	 0.08	 0.16	 0.02	 0.06
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	38	Sr II	 2	 0.04	 0.08	-0.06	 0.02	 0.05	-0.08
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	40	Zr II	 2	-0.06	 0.03	-0.16	-0.05	 0.03	-0.15
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	56	Ba II	 3	 0.04	 0.02	-0.06	 0.01	 0.04	-0.09
HD 19373  	6045	 4.24	 0.10	 1.2	Thin disk 	63	Eu II	 1	-0.10	     	-0.20	-0.09	     	-0.19
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	 3	Li I 	 1	 2.37	     	     	 2.33	     	
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	 6	C I  	 5	-0.07	 0.04	-0.08	-0.09	 0.04	-0.10
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	  	CH   	13	 0.07	 0.03	 0.06	     	     	
HD 22484  	6000	 4.07	 0.01	 1.1	Thin disk 	 8	O I  	 4	 0.01	 0.06	 0.00	-0.07	 0.05	-0.08
