Z	mass 	t_evo 	Np 	t_i 	Mc1PT 	M_c 	T_bce
3e-4	1.5 	1.06e9 	13 	1.5e5 	0.58 	0.68 	4e6 	
3e-4	2.0 	8.05e8 	21 	1.0e5 	0.59 	0.72 	1.1e7 	
3e-4	2.5	 	4.55e8 	22 	3.0e4 	0.72 	0.78 	3.8e7 	
3e-4	3.0 	2.94e8 	27 	1.3e4 	0.80 	0.84 	7.9e7 	
3e-4	3.5	 	2.07e8 	34 	8.5e3 	0.83 	0.87 	8.9e7 	
3e-4	4.0 	1.55e8 	41 	5.5e3 	0.86 	0.90 	9.8e7 	
3e-4	4.2 	1.38e8 	42 	5.1e3 	0.88 	0.91 	1.e8 	
3e-4	4.5 	1.20e8 	47 	3.6e3 	0.90 	0.93 	1.02e8 	
3e-4	4.7 	1.09e8 	49 	2.8e3 	0.91 	0.95 	1.07e8 	
3e-4	5.0 	9.60e7 	53 	2.1e3 	0.94 	0.97 	1.11e8 	
3e-4	5.5 	7.90e7 	54 	1.3e3 	0.98 	1.00 	1.17e8 	
3e-4	6.0 	6.70e7 	41 	1.0e3 	1.02 	1.05 	1.21e8 	
3e-4	6.5 	5.70e7 	39 	4.5e2 	1.14 	1.16 	1.24e8 	
3e-4	7.0 	4.95e7 	37 	3.2e2 	1.21 	1.25 	1.27e8 	
3e-4	7.2 	4.70e7 	35 	2.9e2 	1.25 	1.28 	1.31e8 	
3e-4	7.5 	4.35e7 	31 	2.6e2 	1.30 	1.34 	1.41e8 	
1e-3	2.0 	9.70e8 	20 	2.1e5 	0.53 	0.69 	7e6 	
1e-3	2.5 	5.35e8 	21 	6.7e4 	0.64 	0.74 	1.8e7 	
1e-3	3.0 	3.40e8 	26 	1.8e4 	0.77 	0.82 	6.5e7 	
1e-3	3.5 	2.35e8 	31 	1.2e4 	0.81 	0.85 	8.3e7 	
1e-3	4.0 	1.74e8 	34 	7.9e3 	0.84 	0.88 	8.9e7 	
1e-3	4.5 	1.33e8 	39 	5.3e3 	0.87 	0.91 	9.5e7 	
1e-3	5.0 	1.06e8 	40 	3.0e3 	0.91 	0.94 	1.01e8 	
1e-3	5.5 	8.48e7 	41 	2.0e3 	0.96 	0.98 	1.06e8 	
1e-3	6.0 	7.11e7 	34 	1.2e3 	1.00 	1.03 	1.12e8 	
1e-3	6.3 	6.50e7 	33 	7.9e2 	1.03 	1.06 	1.14e8 	
1e-3	6.5 	6.07e7 	32 	5.0e2 	1.10 	1.12 	1.16e8 	
1e-3	7.0 	5.26e7 	31 	4.1e2 	1.18 	1.20 	1.2e8 	
1e-3	7.5 	4.62e7 	29 	2.9e2 	1.25 	1.28 	1.27e8 	
1e-3	8.0 	4.18e7 	28 	2.1e2 	1.32 	1.34 	1.36e8 	
8e-3	1.5 	2.44e9 	14 	1.5e5 	0.54 	0.64 	4e6 	
8e-3	2.0 	1.06e9 	18 	1.3e5 	0.55 	0.70 	7e6 	
8e-3	2.5 	6.98e8 	28 	1.7e5 	0.51 	0.73 	1.7e7 	
8e-3	3.0 	4.13e8 	28 	7.0e4 	0.62 	0.76 	3.7e7 	
8e-3	3.5 	2.68e8 	32 	6.0e4 	0.76 	0.82 	7.7e7 	
8e-3	4.0 	1.89e8 	35 	9.0e3 	0.82 	0.86 	8.5e7 	
8e-3	4.5 	1.42e8 	33 	6.0e3 	0.85 	0.88 	8.9e7 	
8e-3	5.0 	1.11e8 	37 	4.0e3 	0.88 	0.91 	9.2e7 	
8e-3	5.5 	8.93e7 	40 	2.4e3 	0.92 	0.94 	9.5e7 	
8e-3	6.0 	7.38e7 	29 	1.5e3 	0.96 	0.98 	9.9e7 	
8e-3	6.5 	6.20e7 	39 	8.5e2 	1.02 	1.04 	1.03e8 	
8e-3	7.0 	5.32e7 	24 	6.0e2 	1.12 	1.14 	1.05e8 	
8e-3	7.5 	4.64e7 	21 	4.2e2 	1.20 	1.22 	1.08e8 	
8e-3	8.0 	4.09e7 	20 	2.9e2 	1.30 	1.32 	1.16e8 	
