#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
# K	[cm/s2]	 	 	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	[Sun]	 	 	 	deg	deg
# ----------	----	-----	-----	----	------	------	------	------	------	------	------	------	----	-----	----------	---------	---------
HD39194   	5205	 4.63	-0.61	 958	 0.341	 0.049	      	      	 0.362	 0.054	      	-0.021	nept	thick	HD39194   	086.13299	-70.14357
HD139536  	5209	 4.81	-0.04	 151	 0.006	 0.169	      	      	-0.195	 0.379	      	 0.201	non 	thin 	HD139536  	235.99630	-71.70487
HD8912    	5211	 4.53	-0.07	 218	-0.021	 0.050	      	      	 0.087	 0.153	      	-0.108	non 	thin 	HD8912    	021.86339	-25.93691
HD25565   	5212	 4.57	 0.03	 145	 0.007	 0.066	      	      	 0.052	 0.210	      	-0.045	non 	thin 	HD25565   	060.52545	-36.61693
HD116284  	5213	 3.97	-0.01	 141	-0.043	 0.059	      	      	-0.046	 0.172	      	 0.003	non 	thin 	HD116284  	201.16271	-70.43022
HD192031  	5215	 4.49	-0.84	  68	 0.343	 0.137	      	      	      	      	      	      	non 	thick	HD192031  	303.34410	-15.43211
HD68607   	5215	 4.51	 0.07	 775	 0.019	 0.055	-0.034	 0.152	-0.201	 0.078	 0.053	 0.220	non 	thin 	HD68607   	122.79035	-46.29740
HD174545  	5216	 4.50	 0.22	 303	 0.093	 0.069	 0.251	 0.154	      	      	-0.158	      	non 	thin 	HD174545  	283.48860	-54.90628
HD216215  	5220	 4.55	-0.20	 103	-0.090	 0.054	      	      	-0.176	 0.474	      	 0.086	non 	thin 	HD216215  	342.99867	-53.24535
HD10166   	5221	 4.58	-0.39	 118	 0.199	 0.036	      	      	 0.199	 0.305	      	 0.000	non 	thin 	HD10166   	024.74104	-27.25221
HD138799  	5224	 4.46	 0.02	  42	 0.058	 0.044	      	      	-0.056	 0.551	      	 0.114	non 	thin 	HD138799  	234.72498	-69.20908
HD66040   	5226	 4.44	 0.35	 143	 0.041	 0.107	      	      	      	      	      	      	non 	thin 	HD66040   	119.80835	-52.15154
HD80883   	5233	 4.54	-0.25	 533	 0.070	 0.040	      	      	-0.078	 0.127	      	 0.148	non 	thin 	HD80883   	139.93386	-59.47772
HIP15587  	5239	 4.55	-0.12	  68	 0.081	 0.125	      	      	      	      	      	      	non 	thin 	HIP15587  	050.19440	-62.27448
HD137388  	5240	 4.51	 0.18	 243	 0.107	 0.061	 0.420	 0.151	      	      	-0.313	      	jup 	thin 	HD137388  	233.91634	-80.20459
HD18719   	5241	 4.50	-0.08	 477	 0.042	 0.054	      	      	 0.051	 0.088	      	-0.009	non 	thin 	HD18719   	045.07138	-09.03991
HD25061   	5243	 4.51	 0.07	 182	 0.149	 0.050	      	      	-0.077	 0.201	      	 0.226	non 	thin 	HD25061   	059.10541	-52.93087
HD72673   	5243	 4.55	-0.41	2021	 0.165	 0.022	      	      	-0.013	 0.044	      	 0.178	non 	thin 	HD72673   	128.21457	-31.50085
HIP78242  	5244	 4.49	-0.01	 137	 0.065	 0.056	      	      	      	      	      	      	non 	thin 	HIP78242  	239.63602	-30.44678
HD117359  	5246	 4.52	-0.13	 130	 0.114	 0.051	      	      	-0.204	 0.384	      	 0.318	non 	thin 	HD117359  	202.93509	-67.41668
HD194717  	5247	 4.35	-0.28	  34	 0.205	 0.063	      	      	      	      	      	      	non 	thin 	HD194717  	308.98112	-78.46943
HD103197  	5250	 4.54	 0.22	 355	 0.020	 0.070	 0.101	 0.158	-0.030	 0.091	-0.081	 0.050	jup 	thin 	HD103197  	178.22074	-50.29282
HD122308  	5253	 4.53	-0.32	  97	 0.145	 0.045	      	      	      	      	      	      	non 	thin 	HD122308  	210.63570	-52.64486
HD137676  	5253	 4.02	-0.53	 147	 0.163	 0.042	      	      	 0.476	 0.126	      	-0.313	non 	thick	HD137676  	232.32930	-49.95308
HD19230   	5254	 4.72	-0.57	 262	-0.144	 0.106	      	      	 0.032	 0.290	      	-0.176	non 	thin 	HD19230   	045.98907	-45.43439
HD13060   	5255	 4.43	 0.02	 431	-0.074	 0.052	      	      	-0.271	 0.138	      	 0.197	non 	thin 	HD13060   	030.19671	-80.53271
HD15612   	5256	 4.58	-0.11	 244	 0.032	 0.080	      	      	-0.050	 0.192	      	 0.082	non 	thin 	HD15612   	037.37556	-41.36368
HD20781   	5256	 4.46	-0.11	 412	 0.020	 0.030	      	      	 0.056	 0.097	      	-0.036	nept	thin 	HD20781   	050.01226	-28.78383
HD23901   	5264	 4.02	-0.40	 194	 0.205	 0.058	      	      	      	      	      	      	non 	thick	HD23901   	057.15808	-04.42130
HD110557  	5267	 4.45	-0.06	 146	-0.044	 0.059	      	      	 0.010	 0.230	      	-0.054	non 	thin 	HD110557  	190.78710	-05.74024
HD176354  	5271	 3.93	 0.27	 504	 0.014	 0.044	 0.116	 0.085	      	      	-0.102	      	non 	hamr 	HD176354  	285.80096	-56.99667
HD222335  	5271	 4.58	-0.20	 332	 0.087	 0.067	      	      	 0.141	 0.123	      	-0.054	non 	thin 	HD222335  	354.96378	-32.74341
BD+062932 	5272	 4.52	-0.84	 119	 9.990	      	      	      	 0.673	 0.221	      	      	non 	halo 	BD+062932 	220.82488	+05.82771
HD18822   	5272	 4.52	-0.07	  73	 0.009	 0.054	      	      	 0.136	 0.333	      	-0.127	non 	thin 	HD18822   	044.85377	-54.25471
HD24558   	5274	 4.49	-0.47	 175	 0.054	 0.118	      	      	 0.302	 0.195	      	-0.248	non 	thin 	HD24558   	057.63221	-64.06850
HD33725   	5274	 4.50	-0.17	 333	 0.102	 0.030	      	      	 0.138	 0.112	      	-0.036	non 	thin 	HD33725   	077.97604	-09.11316
HD24633   	5276	 4.45	-0.04	 356	 0.163	 0.073	 0.089	 0.242	-0.068	 0.125	 0.074	 0.231	non 	hamr 	HD24633   	058.74206	-01.26325
HD16536   	5282	 4.47	-0.08	  67	-0.054	 0.039	      	      	      	      	      	      	non 	thin 	HD16536   	039.74435	-02.58734
HD8389A   	5283	 4.45	 0.34	 276	 0.038	 0.071	 0.302	 0.110	      	      	-0.264	      	non 	hamr 	HD8389A   	020.76099	-12.96607
HD66340   	5284	 4.44	 0.03	 293	 0.019	 0.040	      	      	-0.177	 0.164	      	 0.196	non 	thin 	HD66340   	119.94833	-59.21219
HD1171    	5293	 4.55	-0.53	  59	 0.171	 0.136	      	      	 0.370	 0.433	      	-0.199	non 	thin 	HD1171    	004.00062	-22.42160
HIP32127  	5302	 4.52	-0.64	 309	 0.307	 0.084	      	      	 0.357	 0.136	      	-0.050	non 	thick	HIP32127  	100.64548	-56.44510
HD10700   	5310	 4.52	-0.52	2034	 0.243	 0.033	      	      	 0.303	 0.039	      	-0.060	non 	thick	HD10700   	026.01701	-15.93748
HD89147   	5310	 4.53	-0.09	 111	 0.051	 0.120	      	      	 0.017	 0.306	      	 0.034	non 	thin 	HD89147   	154.23099	-08.91605
HD75530   	5311	 4.56	-0.54	 332	 0.303	 0.041	      	      	 0.385	 0.117	      	-0.082	non 	thick	HD75530   	132.58750	-05.53603
CD-452997 	5312	 4.47	-0.84	  93	 0.344	 0.105	      	      	      	      	      	      	non 	thick	CD-452997 	107.87101	-46.19878
