# Table 4 Comparison of ^12C/^13C Ratios from H_2CO, CN, and CO
Source	    R_gal	C12_C13   Error
W3IRS5	    10.3	60   11
Mol12	    9.71	47   8
NGC2024	7.22	52   6	
M-0.13	    0.06	11.10   0.08	
SgrA	    0.17	10.71   0.11	
SgrB2	    7.81	77   15	
sorce	    0.38	11.48   0.03	
M+1.6	    0.77	10.15   0.68	
G10.16-0.35	7.44	24   4	
source      6.24    42   3	
W31	        3.38	16   4	
source      5.0	    47   5	
G11.93-0.61	4.88	45   7	
W33	        5.32	23   1	
G13.88+0.28	4.41	35   6	
G12.91-0.26	5.69	49   3	
G19.62-0.23	5.23	28   3
G023.44-00.18 2.48	18   13	
source      3.59	30   3	
G23.43-0.21	3.9	    39   4	
G29.9-0.0	4.38	44   9
G31.41+0.31	4.51	32   2	
W43	        4.58	26   1	
G34.26+0.15	5.58	46   4	
G34.3+0.1	5.58	31   4
J185648.26	4.8	    48   5	
G37.76-0.20	5.62	34   23	
G35.20-1.74	5.77	43   6	
G35.2-1.8	6.16	53   11	
G043.16+00.01	7.6	39   14	
G43.17+0.00	7.56	40   13
G43.2+0.0	7.55	72   46
G45.45+0.06	6.39	30   4	
G49.21-0.35	6.15	99   24
J192311.17	6.31	18   9	
source      6.17	59   4	
G49.4-0.3	6.17	86   7
G49.5-0.4	6.18	45   16
J192345.73	6.18	19   8	
J203901.04	8.14	64   7	
DR21	    8.05	48   3
J205658.56	7.38	42   5	
J205703.98	7.37	26   8	
W3-OH	    9.58	63   6	
W51M	    6.18    45   2	
OrionA	    8.49	43   7
OrionBar	8.49	75   9	
NGC7538	9.42	56   10
S156	    10.34	78   44	
WB89391	14.25	134   43	
