#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-13T18:38:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a783cd26d7c	
#INFO	-out.max=9999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=9999
#-out.all=2
#-order=I
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/tablea1}&key:source=J/MNRAS/403/1413/tablea1&HTTPPRM:&&-ref=VIZ62a783cd26d7c&-out.max=1000&-out.form=ascii table&-out.all=2&-order=I&-oc.form=sexa&-out.src=J/MNRAS/403/1413/tablea1&-out=M0&-out=Z0&-out=Pulse&-out=Mcore&-out=Mcsh&-out=tcsh&-out=Ddredge&-out=lam&-out=lam.dup&-out=T(He-sh)&-out=Tbce&-out=T(H-sh)&-out=iPulse&-out=Mtot&-out=Lmax&-out=LHe.max&-out=Rmax&-out=Mbol&-out=Teff&-out=Yields&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/403/1413/tablea1
#-source=J/MNRAS/403/1413/tablea1
#-out=M0
#-out=Z0
#-out=Pulse
#-out=Mcore
#-out=Mcsh
#-out=tcsh
#-out=Ddredge
#-out=lam
#-out=lam.dup
#-out=T(He-sh)
#-out=Tbce
#-out=T(H-sh)
#-out=iPulse
#-out=Mtot
#-out=Lmax
#-out=LHe.max
#-out=Rmax
#-out=Mbol
#-out=Teff
#-out=Yields
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table	J_MNRAS_403_1413_tablea1:
#Name: J/MNRAS/403/1413/tablea1
#Title: Structural information from the new AGB models
#Column	M0	(F5.2)	[1/6] Initial mass	[ucd=phys.mass]
#Column	Z0	(F7.4)	Initial metallicity (0.0200, 0.0080, 0.0040, 0.0001)	[ucd=phys.abund.Z]
#Column	Pulse	(I4)	Pulse number	[ucd=meta.id]
#Column	Mcore	(F5.3)	Core mass	[ucd=phys.mass]
#Column	Mcsh	(E9.2)	Maximum mass of the intershell convection zone	[ucd=phys.mass]
#Column	tcsh	(F6.1)	Duration of intershell convection	[ucd=time.interval]
#Column	Ddredge	(E9.2)	Mass dredged into the envelope	[ucd=phys.mass]
#Column	lam	(E9.2)	Extent of the partial mixing zone, lambda	[ucd=stat.fit.param]
#Column	lam.dup	(D13.6)	{lambda}_dup_ defined by Goriely & Mowlavi (2000A&A...362..599G) (1)	[ucd=stat.fit.param]
#Column	T(He-sh)	(E9.2)	Maximum temperature in the He-shell	[ucd=phys.temperature]
#Column	Tbce	(E9.2)	Maximum temperature at the base of the convective envelope during the previous interpulse period	[ucd=phys.temperature]
#Column	T(H-sh)	(E9.2)	Maximum temperature in the H-shell during the previous interpulse period	[ucd=phys.temperature]
#Column	iPulse	(E9.2)	Interpulse period (note that the first entry is set to zero)	[ucd=time.period]
#Column	Mtot	(F5.3)	Total mass	[ucd=phys.mass]
#Column	Lmax	(E9.2)	Maximum radiated luminosity during the previous interpulse period	[ucd=phys.luminosity]
#Column	LHe.max	(E9.2)	Maximum He-luminosity during a thermal pulse	[ucd=phys.luminosity]
#Column	Rmax	(E9.2)	Maximum stellar radius during the previous interpulse period	[ucd=phys.size.radius;stat.max]
#Column	Mbol	(F6.2)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Teff	(F5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	Yields	(a6)	Yields for the various elements	[ucd=meta.ref.url]
M0	Z0	Pulse	Mcore	Mcsh	tcsh	Ddredge	lam	lam.dup	T(He-sh)	Tbce	T(H-sh)	iPulse	Mtot	Lmax	LHe.max	Rmax	Mbol	Teff	Yields
solMass	 	 	solMass	solMass	yr	solMass	 	 	K	K	K	yr	solMass	solLum	solLum	solRad	mag	K	
-----	-------	----	-----	---------	------	---------	---------	-------------	---------	---------	---------	---------	-----	---------	---------	---------	------	-----	------
 4.50	 0.0200	   1	0.840	 2.89e-03	  49.9	 0.00e+00	 0.00e+00	 0.000000e+00	 2.13e+08	 9.87e+06	 6.75e+07	 0.00e+00	4.476	 1.71e+04	 4.14e+04	 4.20e+02	 -5.86	 3337	Yields
 4.50	 0.0200	   2	0.841	 4.58e-03	  39.4	 0.00e+00	 0.00e+00	 0.000000e+00	 2.38e+08	 1.40e+07	 6.96e+07	 5.62e+03	4.476	 1.84e+04	 3.03e+05	 4.46e+02	 -5.94	 3312	Yields
 4.50	 0.0200	   3	0.842	 4.61e-03	  36.1	 1.93e-04	 1.43e-01	 4.183316e-02	 2.48e+08	 1.65e+07	 7.08e+07	 6.49e+03	4.476	 1.90e+04	 5.25e+05	 4.59e+02	 -5.98	 3299	Yields
 4.50	 0.0200	   4	0.843	 4.64e-03	  31.2	 5.90e-04	 3.79e-01	 1.272143e-01	 2.58e+08	 1.90e+07	 7.18e+07	 6.83e+03	4.476	 1.97e+04	 9.23e+05	 4.72e+02	 -6.02	 3287	Yields
 4.50	 0.0200	   5	0.845	 4.67e-03	  30.4	 9.60e-04	 5.35e-01	 2.054120e-01	 2.67e+08	 2.15e+07	 7.28e+07	 7.20e+03	4.476	 2.03e+04	 1.64e+06	 4.84e+02	 -6.05	 3272	Yields
 4.50	 0.0200	   6	0.846	 4.69e-03	  28.1	 1.49e-03	 7.36e-01	 3.168811e-01	 2.76e+08	 2.43e+07	 7.37e+07	 7.60e+03	4.475	 2.09e+04	 2.81e+06	 4.96e+02	 -6.08	 3229	Yields
 4.50	 0.0200	   7	0.847	 4.74e-03	  28.4	 1.85e-03	 8.02e-01	 3.896568e-01	 2.84e+08	 2.76e+07	 7.45e+07	 8.04e+03	4.474	 2.14e+04	 5.01e+06	 5.09e+02	 -6.11	 3199	Yields
 4.50	 0.0200	   8	0.847	 4.77e-03	  29.8	 2.16e-03	 8.55e-01	 4.518043e-01	 2.90e+08	 3.08e+07	 7.53e+07	 8.45e+03	4.472	 2.19e+04	 8.26e+06	 5.21e+02	 -6.13	 3169	Yields
 4.50	 0.0200	   9	0.848	 4.84e-03	  29.7	 2.42e-03	 8.79e-01	 4.995933e-01	 2.99e+08	 3.38e+07	 7.59e+07	 8.84e+03	4.470	 2.24e+04	 1.12e+07	 5.32e+02	 -6.15	 3146	Yields
 4.50	 0.0200	  10	0.848	 4.87e-03	  30.0	 2.66e-03	 9.09e-01	 5.448552e-01	 3.06e+08	 3.68e+07	 7.64e+07	 9.15e+03	4.465	 2.28e+04	 2.04e+07	 5.44e+02	 -6.17	 3127	Yields
 4.50	 0.0200	  11	0.849	 4.94e-03	  31.2	 2.79e-03	 8.91e-01	 5.650179e-01	 3.11e+08	 3.97e+07	 7.69e+07	 9.55e+03	4.457	 2.31e+04	 2.99e+07	 5.55e+02	 -6.19	 3109	Yields
 4.50	 0.0200	  12	0.849	 4.97e-03	  31.9	 2.99e-03	 9.21e-01	 6.011412e-01	 3.15e+08	 4.19e+07	 7.73e+07	 9.77e+03	4.443	 2.34e+04	 3.97e+07	 5.66e+02	 -6.21	 3085	Yields
 4.50	 0.0200	  13	0.850	 5.08e-03	  32.8	 3.20e-03	 9.28e-01	 6.294380e-01	 3.19e+08	 4.42e+07	 7.77e+07	 1.01e+04	4.418	 2.38e+04	 5.78e+07	 5.77e+02	 -6.22	 3070	Yields
 4.50	 0.0200	  14	0.850	 5.13e-03	  33.5	 3.32e-03	 9.20e-01	 6.475701e-01	 3.26e+08	 4.60e+07	 7.80e+07	 1.05e+04	4.372	 2.40e+04	 7.65e+07	 5.88e+02	 -6.23	 3051	Yields
