,MG_H,MG_FE,C_MG
177742,0.019480217565346413,0.07445807307988166,-0.056797132543512374
380866,0.38930520737789454,-0.02094808566620776,-0.11087599559109523
464555,0.003321915625183227,-0.01745967031907686,-0.07611559468212399
190936,0.04445197110057059,0.10523969277919595,-0.07834505493543809
98196,-0.2901166909050969,0.24101046217208583,-0.11915436717833972
475323,0.14711757398804426,-0.023501357034746706,-0.10438592859411532
292115,0.15268586287643895,0.027709505875624527,-0.07687176358288123
313307,0.19094826607782464,0.02953708033168473,-0.09016678449782534
173658,0.32258828101863324,0.05778363195456415,-0.07854767592309095
264102,0.1942638364274392,0.03687431226405341,-0.0804954828611882
312908,0.18318828445312932,0.02514152809109066,-0.08669893105158394
293361,-0.03482774890857476,0.048254975871368885,-0.06405694376667191
475776,-0.08486086251303893,-0.011880891731547993,-0.05829329685756274
364155,-0.0024772917175058693,0.018095393635650506,-0.06604415165029782
344571,-0.06793674687766685,0.009594088111870847,-0.044015190141572125
526578,-0.09011561380788337,-0.01950364469818998,-0.06467384377847686
302909,0.18019206681941152,0.029227017764799634,-0.08574018478373858
341792,-0.15672539402572078,0.027642500886254362,-0.029050719385200485
304541,0.05167862121783846,0.009870815553940218,-0.06579337848429818
119665,0.2439724462722932,0.11118524225830206,-0.09432494084936624
391795,-0.16192901811166951,0.0068729692069105786,-0.03808974545149629
381001,-0.18780081415394875,0.02416785901417154,-0.03738231966709013
363373,-0.07297610718879821,0.004826877713716746,-0.04340696225263099
378943,0.047006695706558785,-0.008463496851027236,-0.07349941134782026
352154,-0.002536398332451539,0.02418642457552777,-0.064262523254227
344129,0.1031236845128935,0.012455321612249062,-0.08009943856990204
254535,0.06596374283123355,0.04665258630428934,-0.07130235920458715
272946,0.020083717745680622,0.04980425131514503,-0.06741541057561412
266502,0.1952769547363608,0.03633994502841992,-0.08089754514745016
476981,-0.10065395701790114,-0.008560029629025148,-0.05746583964788618
256947,0.016305303677389145,0.06925210855275996,-0.0718416616041312
393771,-0.06492463263033425,0.0016222179580748092,-0.05453305171156379
189343,0.0225411273464044,0.07729780562471104,-0.06015914905299865
182949,-0.003155362524424273,0.1228209941411256,-0.07386223879304987
61732,-0.08586349107458108,0.3327048913195733,-0.15703012350957302
334978,-0.10029703560918993,0.017070160835817985,-0.03479159139592963
277721,0.1245661807276233,0.03580284162420107,-0.0797302242654679
34300,-1.4106369246401544,0.43051176282646053,-0.18382636573775302
464985,-0.11777996777243763,-0.003798496877100141,-0.051358812222312866
370177,-0.09002732786469182,0.011993293644915026,-0.04419062629281116
168554,-0.032817733340563815,0.08294075150983458,-0.06501775102234704
234496,0.21002089052516776,0.04939045660764774,-0.08041127694264977
304543,0.04122423568945818,0.020486940618823272,-0.06307158434033579
477373,-0.06749545815847727,-0.012047752630918993,-0.06457586792006995
443314,0.17700898858764313,0.001984012792347417,-0.1095347936946497
409694,0.2673608856120345,-0.026790267514082144,-0.09436349806448527
238896,0.21177428863542477,0.04635878858056641,-0.08038455823181001
293718,0.13780848647885416,0.024379755496380925,-0.07762012872904714
324981,-0.11114398900331596,0.02212313204310487,-0.03313234783991237
276105,0.18999543800874014,0.034181038470751546,-0.0812342532841576
106221,-0.39675377404384493,0.24499624147770238,-0.12512864848714167
368542,0.046947480810626684,-0.008279978273109369,-0.06950949576777357
210066,0.32292916103702907,0.024943136217829454,-0.07017133902731071
103794,-0.26817844928757373,0.21895552300454746,-0.11378263308015724
426943,0.05033999998240319,-0.011194591247489186,-0.08225258431172461
101012,-0.3684182386044973,0.25137416687509273,-0.12726672730670568
439768,-0.05366430159174336,-0.007765763995337904,-0.06482289729213762
284552,-0.0020932183831014043,0.04808613634580258,-0.06127335542937172
504927,0.12816741906470783,-0.038398302419984154,-0.10173578595349236
