,MG_H,MG_FE,C_MG
134120,-0.21248614550390135,0.14387307038669542,-0.1798165790773559
363714,-0.13038307738442004,0.042618186312928935,-0.09629574133073376
410535,-0.2791425977475335,0.05792695562364486,-0.12664713385283505
387322,-0.2118355859118419,0.04524049657366977,-0.10987448436067229
347718,-0.11709888308565317,0.047293269037286534,-0.0956349157541786
346539,-0.1582425947776305,0.049044756175294774,-0.100971668743664
383717,-0.18758453340591932,0.042979801073527,-0.10329612875226082
348570,-0.25658467287506576,0.04985442402475282,-0.11786175077077515
246932,-0.16230342537858372,0.08975786957200427,-0.12307595687636114
335717,-0.10248527392369608,0.042150030592064514,-0.08933609433862455
456584,-0.32001239371946383,0.0723217422828844,-0.15991950374672764
222117,-0.1446065580589546,0.08948686339333231,-0.11119762061248376
440140,-0.29065545445013025,0.06982886955951234,-0.14671023825280644
483738,-0.1318995048013904,0.05968757180253026,-0.13543351297781248
245311,-0.11901840485822578,0.07231393354505038,-0.09781988687278585
450535,-0.2656383269185734,0.07791416642448651,-0.15434718887747023
161723,-0.18236807062370883,0.12465896778854837,-0.15522708537129362
482162,-0.21225523812826863,0.06386716222673244,-0.13398583893972232
446622,-0.4707651127975365,0.07884922525653781,-0.19447649728445981
241320,-0.13758149154929633,0.07495775933010052,-0.1023111510684836
481345,-0.1491363229114337,0.059076336776735544,-0.13415383510439283
420173,-0.3033481060839489,0.06415709178434331,-0.1416345983586743
243305,-0.10696814407215752,0.07427499489099831,-0.09960493574606666
469419,-0.42605965005042934,0.08163723971520731,-0.19221188423219648
443029,-0.4959884985921086,0.07294397647330608,-0.195254607092198
345321,-0.11717236294958212,0.044295856724345814,-0.09197377575823272
324589,-0.32151950583001637,0.05250447984816736,-0.13648581064000903
28254,-1.8010586214618731,0.38284257950154355,-0.9144793857931421
381344,-0.19446171533733464,0.051054534579407534,-0.11109148599497443
402971,-0.28791775672090153,0.052301613337606245,-0.1294450305545629
504914,0.021919089909988435,0.056503334577594176,-0.12894442796281674
427820,-0.47583273643284857,0.08003952098916284,-0.18995894586830414
500146,-0.09119405625638138,0.0449833123502531,-0.11812219627629456
333365,-0.23546594944353433,0.056961035941779925,-0.12214457126702899
488916,-0.06459606518978347,0.06824073736045275,-0.14140028955525888
395350,-0.22505142988375132,0.05677478414189546,-0.12046896515322997
384525,-0.20885098052636616,0.04558857944530112,-0.10898596200630281
515313,0.07172008828525686,0.04968866770778986,-0.12105062988371289
390512,-0.20240938088617072,0.04721499597740145,-0.10933863747591921
484995,-0.31289515079209007,0.057109094609513134,-0.15657794120129298
483752,-0.15205596031554616,0.06418661198193965,-0.1378212938139954
464131,-0.21367580744370945,0.07796581993767249,-0.1535062962407262
236561,-0.267245181251856,0.13673034128537626,-0.18616986338717995
442175,-0.30106780826318785,0.07185672411512561,-0.15005792097684695
397696,-0.1780188018657501,0.03157879101812586,-0.10143684381513679
324525,-0.12128281031947671,0.05085482594070992,-0.09684989474727754
400534,-0.2513443332930143,0.05068757981234423,-0.11689169520663617
514142,-0.051679984636841425,0.022971540260034173,-0.10144348973740869
526958,-0.12929239617215862,0.009669810707489263,-0.09457794430618763
497762,-0.18755892372745378,0.050812959129169555,-0.12229119225093235
255778,-0.3163557340883167,0.06788182381723218,-0.1512726184631769
227285,-0.06746574740319358,0.05586296043000458,-0.08167212297881143
505301,0.055972163395086934,0.05211302964704872,-0.1177552914475723
484531,-0.11469651890478028,0.06450545424749207,-0.13949355069092095
442930,-0.2818503537317069,0.08301743305557824,-0.15474770806815513
409304,-0.23692284587814183,0.059803909484699325,-0.1236565129673482
393763,-0.25902233455456675,0.05964827355425917,-0.12847222164361477
474932,-0.16552360628750085,0.0701484131518609,-0.14550560628365017
204545,-0.22814499908860197,0.12176059894448038,-0.1578628076148078
408127,-0.2751673653768276,0.053209586853688484,-0.12545194011142968
477782,-0.2835098373330643,0.06686946146667122,-0.15077578122767832
220561,-0.2780797603164499,0.15383754663104682,-0.20628468145870837
149667,-0.11363530990339257,0.09489627334743153,-0.11613505985303968
149710,-0.1903530679586166,0.13904363022404023,-0.1516128869796922
394946,-0.2083252968770366,0.05057510369861784,-0.11457643129433032
388955,-0.23153098578774234,0.05725510831157554,-0.12131779264213216
298136,-0.15797259176236217,0.06566042548303583,-0.10709271710765123
507315,0.033392751423398,0.05337986174028274,-0.12626981960597145
449335,-0.26916409989100787,0.07791608196660721,-0.15425733718644474
244582,-0.34082707778127624,0.0822224350822211,-0.1695169653616418
438974,-0.3034287201111414,0.06996707482741249,-0.14864604572675955
344890,-0.03338630755426131,0.01583273857078899,-0.07422687449231642
484963,-0.20781580841993808,0.06088802771671625,-0.131346438463109
445332,-0.27874441405134215,0.08186879416483922,-0.15443338877345142
187730,-0.1961636606840023,0.16806815918621884,-0.18827692195656323
512967,-0.17734211086378104,0.0251570561526534,-0.10795633458392001
402965,-0.2697563114511079,0.06235597106239987,-0.1347554068782736
465842,-0.524399156481395,0.08600500588852023,-0.21097208536952672
286914,-0.10741838381448249,0.0604619704864047,-0.09563263721366705
462548,-0.23711849087886436,0.07762907420638024,-0.1503011577928284
432948,-0.2954355408109251,0.07623914318539021,-0.14380203270277242
390999,-0.37748129425990534,0.053533810823093775,-0.14215397920445455
263038,-0.5843636852968731,0.1743918542228584,-0.28701022557440414
269363,-0.2511651890382199,0.10391599886970587,-0.15948234675445305
342531,-0.13532517039476563,0.03968755072528288,-0.09632586936555312
375339,-0.1711727389006993,0.046165791508126997,-0.104729201138029
417696,-0.2226835943256841,0.044903568734969895,-0.11836488067421094
496978,-0.23970315472228038,0.052786480381440126,-0.13421039956699504
170490,-0.13517889633083038,0.09752811966703012,-0.11538777873979253
393003,-0.3940168630538812,0.056182698121494234,-0.14754209318943268
497366,-0.2006553529932142,0.04267416636061638,-0.12285990537494518
512122,0.03869024681514922,0.036831812465820145,-0.11343017445732023
427722,-0.2875768099747695,0.06897655820127613,-0.14392026992593576
