,MG_H,MG_FE,C_MG
311734,-0.15214529980007513,-0.7426662453818069,-0.06603362971252125
495821,-0.3895700939634101,-0.734721707348023,-0.1354204121758324
472674,-0.6532754226982296,-0.7172638624220614,-0.2675595869309245
271499,-0.8861072871859628,-0.699776026653982,-0.42499047534166934
344531,-0.13945385005981387,-0.7444827118268027,-0.06370850250510363
518553,-0.10853964436562871,-0.7489122109507472,-0.07014810574563843
418144,-0.2881736056940543,-0.7406840348029811,-0.09803485707445458
218201,-0.44107398430889877,-0.7247327695714909,-0.17724507889871965
210209,-0.49586100809222144,-0.7139056941295454,-0.22873314666627664
386906,-0.17952318212333815,-0.7444568426231014,-0.06512076507332337
468935,-0.19958769214898306,-0.7382283441395304,-0.10602315742051252
480989,-0.29991971334046214,-0.7358094918182505,-0.11354609448856301
217415,-0.5138428402370621,-0.7166214685155282,-0.22842460136590415
460194,-0.3536740916430243,-0.7333148772192662,-0.12708869118821076
432148,-0.29526288151329194,-0.738587373745011,-0.10520512677746308
462974,-0.28211544535789906,-0.7350745698539394,-0.1168389782246424
486523,-0.09124866701362812,-0.7408984852151954,-0.09715758442817306
57330,-0.5500921524835967,-0.6935151153997079,-0.40067388742499577
522175,-0.19324432220708257,-0.7459835428167914,-0.08204774254318384
423288,-0.20725197374909513,-0.7472627150987567,-0.06373157900372575
425356,-0.28187360090978625,-0.7377337573703127,-0.1017611795457789
323692,-0.038351105882885,-0.7492136074979335,-0.03512137366179734
494565,-0.20582051833452686,-0.7399976040226877,-0.0930075279763884
465009,-0.396823440658646,-0.7318348203997436,-0.14305051601087165
451386,-0.33635491069706847,-0.7330495044878305,-0.12125220009567905
480952,-0.16144161455459394,-0.7408068395944905,-0.09780808214858877
438935,-0.2949788624572016,-0.7374011398789071,-0.11295452557621477
428520,-0.28747111929520525,-0.7372284460693022,-0.11105406279466246
457340,-0.250560192717994,-0.7383456401115056,-0.11010951247774531
466980,-0.29580867131190725,-0.7350448853490238,-0.11395689249918994
377335,-0.16656221594356307,-0.7459099705235743,-0.06804961567187115
418576,-0.3180568600751168,-0.7374786129162488,-0.10642804321290544
386149,-0.20864531985934825,-0.7452625764993828,-0.07595372190426841
301378,-0.2964971341133997,-0.7367334684185853,-0.09340672980174047
482961,-0.202374170316872,-0.7390340890837274,-0.09408163007604892
412140,-0.277284982683204,-0.7426397011577867,-0.09029633308983237
472571,-0.2565467034746093,-0.7362461938520599,-0.10818301782643247
408150,-0.2449262985876591,-0.7421398725147584,-0.08881001683999598
518563,-0.16210785518991755,-0.7474223524159677,-0.07271596509551762
459728,-0.22986317845158427,-0.736483038452473,-0.11305016415716512
415313,-0.26920262414978163,-0.7383235885878205,-0.09628296108671203
196161,-0.29255102403884525,-0.7287144109963096,-0.11704367177189734
450932,-0.26513641435900703,-0.7370959320549114,-0.11455444224690847
280105,-0.08684590500203382,-0.7421833123469685,-0.05423831137291546
441383,-0.3298321885908161,-0.7348638811855898,-0.11532189072361992
478990,-0.3130577927039043,-0.7346524102488087,-0.11634460808261265
466576,-0.28462583434608757,-0.7355042362030723,-0.11352921252427073
388567,-0.26708351180583484,-0.7406639451348442,-0.09129913220179475
479356,-0.18162020544841928,-0.7396170170075609,-0.09679132092840959
404102,-0.21997578656158673,-0.7437096535500693,-0.0738150519199619
435815,-0.44918367514002666,-0.7304070123805018,-0.14829308909687722
479742,-0.15940899854692073,-0.7389227384528401,-0.10092347152166861
313719,-0.10706790873784233,-0.7457480538763038,-0.05655137739071697
496168,-0.21281135733112197,-0.7402933812976378,-0.09300485652160287
483748,-0.14544161869404756,-0.7407987954951815,-0.09758014425453115
391789,-0.3454702362757004,-0.7367209523029313,-0.10283559028288225
356160,-0.22939140457120424,-0.7419216076874315,-0.07761388559739749
28425,-0.5258329120047209,-0.6859266951386853,-0.40375131629772154
323367,-0.24651149016336177,-0.739147047188721,-0.08714070465228024
393747,-0.21208408685976488,-0.7440094461341062,-0.08096572375770478
305752,-0.2065748709451131,-0.7404879539849623,-0.072351930263482
68428,-0.27139850151269534,-0.7040019061732922,-0.2268389902165745
485295,-0.03194595711597681,-0.7462418543239652,-0.07094252214057675
430558,-0.2900798198228882,-0.7357678789287658,-0.10627290355052826
360525,-0.14845344349453518,-0.7454492370632718,-0.06406566881293599
481350,-0.15893667472510836,-0.7403151566754964,-0.10016595974768322
256218,-0.494690607163137,-0.7231206118377014,-0.173727956081208
220108,-0.1338034712393199,-0.7343297010441359,-0.07457515405188661
114544,-0.3658639124950771,-0.7043261200567699,-0.2423589565075761
398140,-0.2325007225710444,-0.7449465151312096,-0.07969418045635382
322560,-0.2291732118349146,-0.7390854802703802,-0.08000960512091013
376104,-0.14041047911288634,-0.7471135542825293,-0.05728755655141424
460953,-0.2462374081302971,-0.7373901038011437,-0.10864144202526638
468974,-0.2736421772450805,-0.7355549942994026,-0.11464855292132942
57332,-0.5642096313901966,-0.6925054342375385,-0.40137334360749666
428935,-0.3013249908935796,-0.7383481719189646,-0.10817057085097587
248086,-0.06307264240094217,-0.7432806411529119,-0.045248185115560904
4059,-1.681258245044961,-0.6813720220274515,-1.0377625381899258
409767,-0.2830837350446336,-0.7384945277337446,-0.09926450861728453
260071,-0.021373978022295872,-0.7455903877045625,-0.03525916726915099
411779,-0.3207641836427653,-0.7382989562306634,-0.10228839406240903
455756,-0.26583068459280246,-0.7353428606743371,-0.11094627099955268
188947,-0.25298402772409834,-0.7235695387537284,-0.12332730810983367
316902,-0.06744827665434,-0.7468618754442891,-0.04679867261638619
376221,-0.45691206726338407,-0.7341585296182562,-0.133083139401606
286892,-0.05423573278921768,-0.7458993770599014,-0.03967039456180348
37285,-0.4664741365288911,-0.699023299494477,-0.35688227312208115
197854,-0.7513580737957071,-0.6987697562764036,-0.3980543539637642
207326,-0.16994111487700678,-0.7280023836686386,-0.09893469374045713
519367,-0.17450295602790744,-0.7468854022603079,-0.07446565871242294
436533,-0.2949671821058321,-0.7371907934555488,-0.1140751461630462
407313,-0.2550855557576552,-0.7400032000709014,-0.0880454920421595
460603,-0.38114966278478923,-0.7323535611848352,-0.13608330635768429
386093,-0.13196256855159538,-0.7522613535560055,-0.04165072551483623
