,MG_H,MG_FE,C_MG
291698,0.22693731637894915,0.02959220937335183,-0.01652073001067253
384121,0.14813153116773348,0.013579856689996755,-0.04589599349206047
290501,0.21615713267425612,0.02722254763140991,-0.018681145115286374
501385,-0.1134725954330497,-0.003543378826961971,-0.13195071996313873
196497,0.20058907850961458,0.06128904694644366,-0.033510162903988644
372119,0.15527885056682345,0.01675413440561363,-0.042002456813797134
306933,0.08537248531622019,0.03910575490561039,-0.06717675695707492
238969,-0.07074510457325506,0.06433302303908883,-0.12428886856176055
128158,-0.06686983319059829,0.2850749989952795,-0.1947695720003223
517747,0.046826368362105006,-0.02487300399743174,-0.07581346124200708
388935,0.08620353271419584,0.010802577200297966,-0.06586999489117637
433340,0.06337548676218481,-0.0055779770642611776,-0.07080849033741929
522137,0.08721657103934759,-0.03124374953816504,-0.058385386003049274
202902,0.1775687355866206,0.07221700908052373,-0.0408861836218527
444539,0.07304840708237566,-0.012737062180572217,-0.06786116651394679
440166,-0.04196231841267957,0.0004118358063970942,-0.10892030600481332
396140,0.06037513568597469,0.008689667151490534,-0.07332536894794352
388997,-0.1674402871003126,0.011831067863492528,-0.14620373382635754
318132,0.08741279890335239,0.03408654727658382,-0.06589080840042406
340899,0.2397042561893257,0.011267089033218186,-0.007625354924080174
205334,0.0635625845982843,0.08526526045939027,-0.0815124272113294
382123,0.14066206449815116,0.013021951250211078,-0.0486538670002771
364104,0.21748652107540598,0.015524214207255638,-0.018059549368256933
326506,0.20222730985845894,0.017003267005682526,-0.023155070998556904
230535,0.06819306488520264,0.061888252482445706,-0.07538315110747242
258104,0.19016031740530503,0.04552143681900772,-0.030576429877451405
282057,0.40714240360848586,0.019333882845100736,0.05040401838391528
396982,-0.11114183148806869,0.022128950169005873,-0.1303096653071624
463034,-0.31861152354125005,0.01373089553156609,-0.19769700288884812
262866,0.35816223128319774,0.022332373019477325,0.03153719240920716
498993,-0.14387238339009165,-0.01987442888136634,-0.13912885881824624
474953,0.01835120225282948,-0.020265879517706437,-0.08685864007265692
380134,0.08344059695887401,0.015158926486211713,-0.06665186490156236
293352,0.0037469664166911816,0.03389996455483049,-0.09316755230256918
499397,-0.16004117352525307,-0.018736042220754423,-0.1437902040890975
393341,0.06073184049092681,0.009115719613165901,-0.0735203809372006
117291,0.16274060800200316,0.1402425440224005,-0.06861975299575138
416101,0.24383128875439736,-0.008492163627515814,-0.0035901239887317637
254524,0.11037577105346894,0.04030037179271963,-0.059731449548516
508552,0.01956572632371761,-0.02311782207550078,-0.08501036004139771
178471,0.29082390937533503,0.05422123407753493,-0.0012561181137629718
224524,0.10219416810538913,0.055033448799974426,-0.06427277819843405
309032,-0.3246457031688446,0.08652387276875306,-0.2217474474168501
430943,0.0572692745218444,-0.006069903965487601,-0.07320044919521752
404133,0.09591729082638867,0.00013480857915416922,-0.05831744059901445
253704,0.18847200229252875,0.046453314094624665,-0.031203011590467206
400952,0.012299367961248264,-0.000137926928326617,-0.08868087671311232
384512,0.18396546189030896,0.009960001594963408,-0.029269730326527604
395719,0.15993982596062442,0.009138420801642622,-0.04073078399172095
517774,-0.06984076100919445,-0.02036636834098164,-0.1164482382117002
504572,-0.06239330338871331,-0.0189120342630699,-0.1132704045299301
432475,0.37253124290685946,-0.024225470216182654,0.046101304078697
406629,-0.29729507315227505,0.02412528945440351,-0.1909942988030085
520572,-0.06154684604094465,-0.021885962357217743,-0.11282518035127226
418146,0.03909733494335795,-0.003736625552014497,-0.08060127630621614
385715,0.17498533700752789,0.011912761188801413,-0.03396507454762407
352933,0.09514428610990332,0.015294718608786853,-0.061826015923220505
486158,-0.007775025215698354,-0.018362233446834766,-0.09414667905032371
362498,0.2444060237863353,0.0023745106729331222,-0.004532051532205622
490579,-0.08827662506259253,-0.008581597750902434,-0.12373097030547033
458147,0.04229257503106399,-0.01466041045316438,-0.07842694489384094
416979,-0.0924026237395419,0.01017701930499526,-0.12476019932423428
488907,0.22221871414727665,0.006160475306601548,-0.015584104215558725
337329,0.10660374341888519,0.030741452359032306,-0.059524331071809426
286510,0.1713551542409994,0.04564950492296069,-0.036620120766649306
504550,0.028917542958999943,-0.028210511331932784,-0.08066168836436385
380968,-0.05368122653700238,0.014614586229373096,-0.11332706860942782
391338,0.06922130300009625,0.008774421808836308,-0.07073827524903553
218973,-0.08926312038402377,0.1040037114920677,-0.14383368623182102
491749,0.036440087072866785,-0.02470250532565938,-0.07929604663792304
169816,-0.29421491071865313,0.16673720877316212,-0.24770273700835
151688,0.20348230906641526,0.08632487676192474,-0.0417410907462476
404565,-0.036162658775746676,0.004807787741939122,-0.10627717591012811
369730,0.1043776261557784,0.016428184710088112,-0.05886188038303783
442155,0.007360145789985108,-0.008630555537338672,-0.09138559092812976
275743,0.04050731898537901,0.05178628284694599,-0.08374712023138312
349327,0.1179458139910553,0.024821796928919615,-0.05745652986263729
240907,0.1760294005879299,0.05577975549669818,-0.03679100018291506
300111,0.17439745131817144,0.03485003079523838,-0.03424428369336241
183315,0.12259430994909654,0.08501309841628193,-0.06375603786491554
163323,0.08250460582257595,0.10224678497650558,-0.07704069569499944
346142,0.04925361134105769,0.020178288160567184,-0.07886713451798741
252497,0.22346880113411913,0.03791895999184669,-0.01832524707608124
371035,-0.32584620126900316,0.05003166697820788,-0.2098710581068402
281452,-0.4113918036865321,0.12058402167866672,-0.27045763609024714
256988,-0.1494046347412696,0.05684687594700452,-0.15063717791165207
432914,0.1808612892477305,0.007718179031033889,-0.03137288162692059
366137,0.07361466908071289,0.016776860078588633,-0.06990008417522563
122152,-0.05782702448793791,0.30250437154794607,-0.18992198668288462
146876,0.24027783852963713,0.10109654509686208,-0.030185920092681368
154861,0.3053731693217876,0.07997892873212115,-0.0049530861898501866
233720,0.11766019675346626,0.05489490866671125,-0.05900468665949947
435379,-0.09183651853012995,0.0071747135868088785,-0.12505968578223317
377336,0.07574846841677126,0.008036782491546587,-0.06837178739773024
452200,-0.17890191345928094,-0.015885945287109043,-0.14850443246230785
363779,-0.09550652061301092,0.018385537474884334,-0.12458743836437107
456136,0.08198572148818219,-0.012129639818942925,-0.06334868369469052
275315,0.15288811663170535,0.03783442212043396,-0.043648292823148055
280918,0.13956795507663283,0.03535354120112372,-0.04994106193452606
355751,0.016453874112449397,0.011152619059435261,-0.08733035176867204
512154,0.011454506649035374,-0.023984540073239868,-0.08872641033998199
424589,-0.13206083456893522,0.00912647704148728,-0.1375583002703156
262971,-0.07399062025047559,0.07112315960413251,-0.1276903364737814
479788,-0.13017513193062363,-0.001611887911933202,-0.13639738002296814
382937,0.07609640441633747,0.004012161463978328,-0.06765629006355477
236912,0.15303439415144127,0.05363564537887357,-0.04574392186525747
344200,-0.1846950426138245,0.006665749575782254,-0.1501029091820044
468911,0.2018680374601381,0.009388107876628055,-0.024953993644009936
152571,-0.10662579626581023,0.13383401676269588,-0.1624161497679749
472215,-0.23684241194941927,0.005564785830012964,-0.1703118034178773
169753,-0.02170740545978685,0.12945851997303595,-0.13124225803632855
525351,0.031018419980452603,-0.03248890940170193,-0.08000563599061782
207718,0.11840389110178148,0.059946673522678975,-0.060528998579806426
308159,-0.018543199576363863,0.026987664116038715,-0.09911318784869871
225756,-0.023149457122302416,0.07443524612491959,-0.10584018186102147
495004,-0.19462427671583502,-0.0010034670527410416,-0.15684950303281567
261715,0.1498196403850791,0.04578773818911923,-0.04596361365474476
293735,0.07437408297748184,0.043195862869645836,-0.07070456699820926
384092,0.2797088127702918,-0.02349025952679873,0.011514751805799528
410957,-0.004760642523503352,0.004271351765638159,-0.09643750636929976
247434,-0.3440122645210141,0.17275039878357334,-0.2644084271443492
420947,0.03947471675838574,-0.0046291084306550115,-0.08045455838932761
148157,-0.04421867704071931,0.22747631252724582,-0.16449726090441186
408516,0.17032742711580678,0.004088520845445226,-0.03516700464482453
439374,-0.07455861976232592,0.0007979300980814202,-0.1186410591396817
170609,-0.2581250236201692,0.13291556117090236,-0.22390418834553477
182610,-0.26045213498796704,0.15193730136442124,-0.22870783652789667
212192,-0.17915737945998356,0.12775395891718783,-0.17202671979111706
209264,0.33773843814681265,0.03640706590702558,0.021316454878590074
350125,0.1259262404093155,0.024030304102330147,-0.053335075914479155
495309,0.21130177232765557,0.007438781179091525,-0.021203193046001323
410118,0.1621505349159441,0.003695236787116696,-0.03940651915487961
337311,0.18174692188956906,0.02414375255161691,-0.031166217359640563
470512,0.19170109631989163,0.003971214231261094,-0.02772994101868717
273084,-0.5550761220415661,0.27361476873924684,-0.3805487070160759
268073,0.32756004601509,0.0344389616299402,0.020606406318298964
233707,0.17358899692019747,0.05988759097325261,-0.03823826891137169
366239,-0.3428546845503249,0.0603254831567922,-0.2196667755671125
407448,-0.3785816592916975,0.04514557860125423,-0.23312066138985266
212167,-0.066855840275271,0.07420352776293657,-0.12699466563393969
306948,0.021749774418879552,0.031013509430734658,-0.08861287228061117
380909,0.20097598671193062,0.005163832450545636,-0.022195903423690932
512978,-0.08625513428847195,-0.012731985736454232,-0.12308436138350681
273399,-0.1850486831869766,0.04594780101305557,-0.1576223525806526
350526,0.11779492451787354,0.024626352896211776,-0.05735623396854752
452917,0.17587567806339124,-0.004484952322365898,-0.032203393923229656
388508,0.20058199800093257,0.0075102761250867844,-0.022264255901220775
37676,0.002880609739926817,0.3309190140005981,-0.21203091856788858
150494,0.1753763628528678,0.10980099030935604,-0.0519063569206846
259715,0.14919423419016892,0.04698183536581661,-0.04643127237850955
201761,-0.042190933314195295,0.09130462318400073,-0.1231599434697776
180914,0.12112576670818234,0.08525626298639735,-0.06423625089959512
385025,-0.282515569139576,0.03309825784466053,-0.18901140921881404
468938,0.07484858640931925,-0.016934756270423387,-0.06603106922076639
345358,-0.015401723646817446,0.024505255926932742,-0.10015238493407472
416534,0.08771634270266732,0.002661243003026545,-0.06427030950900425
330516,0.1592504406199505,0.019792874616416378,-0.040022099744492196
370881,0.33215373385481944,-0.017728009720455906,0.028570096716446447
347422,-0.27861330549846347,0.05073703434866622,-0.19146034844602605
219850,-0.42365502471395977,0.20138985132047071,-0.30741248726773096
512951,0.029360218819972254,-0.026807484467048132,-0.08060317502593849
263087,-0.5675249269327445,0.30429679525839526,-0.3910716812433025
211709,0.15752122350588643,0.07510550438757979,-0.0477641236965544
324467,0.38103141241673366,-0.0021165155455808993,0.045560963159574586
151409,-0.27145878603945284,0.1361241237428959,-0.23237200044398876
278525,0.11482185693589697,0.03355216149270429,-0.05599419162473382
242684,-0.5649584929794946,0.2824983697396136,-0.3918706218680721
284505,0.1985654379582974,0.038851620834053274,-0.02664967387144057
271744,0.030792005399092246,0.0635771914993323,-0.09014849558437212
162866,0.2918995395396977,0.06790080786219133,-0.004534562261492903
332143,0.04672683594859339,0.03123808911007113,-0.08022576032945113
163708,0.13337653120232243,0.0898671216055571,-0.0616829545032266
381350,0.017917191662180552,0.01438051640190471,-0.089471430351558
313259,0.4141742262333587,0.0007369592857826568,0.05518605190394782
386530,0.10492018461607092,0.011376340768889048,-0.05806439882159224
348995,-0.16159645793259136,0.0196880756082273,-0.14329860843855735
256941,0.044285869899243435,0.0736773841550636,-0.08574830540775938
195760,-0.04363902657008776,0.09541085862055987,-0.12538621820586074
446565,-0.03334473930198662,-0.0021352810858347206,-0.10519325009971112
330099,0.23734851976305069,0.016187307355280706,-0.009730201542292122
391774,-0.07638946430751571,0.006316763892793037,-0.11882360546283081
383745,0.0428405172641156,0.006107974436170102,-0.07960951653978256
461738,0.07400497903004787,-0.01563948299338974,-0.06688130312236408
301329,0.10180311352126939,0.03219667551258169,-0.06016892340100814
401738,0.06996161121709248,-0.002390897863611796,-0.06868691558066821
410962,-0.026793481670944298,-0.0015407384821415349,-0.10132426704664389
155812,-0.28560619190636827,0.15130963212566284,-0.24325512426657458
218960,-0.03830930850612001,0.07288679603311926,-0.11421423689218417
177014,-0.27954692771236067,0.17185932387414582,-0.2410103863343669
502937,0.0854397835385131,-0.029344410235054907,-0.05918549965575691
121350,-0.04724683351723175,0.291668619159109,-0.1851643542411815
146907,0.1287009456133882,0.10112000334080169,-0.06538206062865683
114898,0.13245724154959548,0.1408791871518081,-0.07849703440897893
414982,-0.11054363273250226,0.01933422454401898,-0.1309354594220855
311732,0.08576415312709865,0.03716669370414729,-0.06651140766829644
510983,-0.10505577813481604,-0.004408772153493862,-0.12981196928698097
161013,-0.2814736323817565,0.15494034086380892,-0.24061728897801893
340908,0.19348718641448875,0.01451960334170499,-0.025433132689477334
450146,0.041395584126337204,-0.01063765128707618,-0.07951015550290544
256892,0.24165343372210116,0.034288605100715436,-0.011050826139058334
522159,-0.00635978179570356,-0.023478573139745086,-0.09316361539774012
208574,-0.10035720367452325,0.11087356419809033,-0.14735111531354952
330168,-0.05739623123844187,0.025708099025421247,-0.11371213050622339
222467,0.33594194154226076,0.0323919466488074,0.022479083724915305
200902,0.17696029400197252,0.07339972725251762,-0.041522797098994646
379688,0.2981306102306837,-0.018450827114272872,0.017324876723785188
385734,0.08485658104347384,0.011986538748820746,-0.06608223264801208
319304,0.20843097292364185,0.028108792799468957,-0.022150352889579644
401746,0.03662296363347101,0.004128204684682973,-0.08206282384754451
204993,-0.18068275004673032,0.13266684941319437,-0.1766385779708877
514193,-0.14365671673852812,-0.019949046449079327,-0.13927638630759562
302129,0.10182287280453561,0.03223593803864194,-0.06022680611947031
225784,-0.1404362866625899,0.12402837569361141,-0.16148566410471848
387361,-0.021097871483685214,0.01927511667659714,-0.10297779623125133
255724,0.11070711426550595,0.03945352234013021,-0.05956996824147505
247662,0.3660838537672059,0.02146633367449935,0.03551782439870105
390929,0.11351386830255356,0.012380091240076802,-0.056075677638208504
158616,-0.30173105086113683,0.15364912913735052,-0.25088541662603714
200879,0.2714414932734249,0.05868523991590724,-0.006767812261050499
254284,-0.5609039824545374,0.28610173038137554,-0.3865421122168923
309439,-0.3494192646040339,0.10279553923887474,-0.23757685900012687
477702,0.24015097990211498,-0.001144475692458069,-0.006486444104505357
298908,0.1858682203252716,0.026909730597469927,-0.0295367687033469
384125,0.13252557172559826,0.00948419465544581,-0.049590575355638766
477742,0.06216718636380731,-0.022375839691258274,-0.07018558357606132
520158,-0.006617653048506508,-0.023142464016016023,-0.09313073997203311
457340,0.06633654830011879,-0.01697492078678843,-0.06890647450264764
275705,0.19672317176454357,0.04113435794244369,-0.028170759450961147
432193,-0.14838922145603395,0.0030045915327085726,-0.14069778546073597
286988,-0.14543493268272617,0.04975557564089722,-0.14605270545649068
218113,0.14634599593720102,0.05985096944667169,-0.04999857449759405
190113,0.13464484055105738,0.07876388106565896,-0.05856747441823901
425748,0.030675711686340618,-0.0046745855264493374,-0.08400055283522492
354566,-0.04761327549573488,0.01907408104708533,-0.10889950409214025
468163,-0.023503726488631593,-0.011246876635959899,-0.10048232549507773
216931,0.0740023537933123,0.0697439837800149,-0.07402057246091344
362103,0.2276324366477618,0.011092785087507662,-0.01345090322297876
407403,-0.19046865539475463,-0.007315473967197922,-0.151727883138398
302913,0.17108713450867466,0.03286867131950899,-0.037827598070596075
338924,0.12443433573040785,0.023955858307402378,-0.05396348685724631
407302,0.23528691866545853,-0.003799838645095671,-0.008686248971178256
370162,-0.02990471036808836,0.007893766872163498,-0.1024785115531422
199366,-0.0708906037497193,0.09888205640643367,-0.13567803451982458
28078,-0.05245737365498456,0.3649802851560521,-0.2811277744178989
293361,-0.029042733831300894,0.0443229308426365,-0.10638585386315831
444171,-0.058788203314249235,0.003470427679870533,-0.115572550517979
346525,0.1255082795901165,0.02199837605413975,-0.053439326356901545
65509,-1.0785859419111883,0.4501036945142811,-0.7217660084943949
463724,0.1412870921906457,-0.01224441081707045,-0.04127159382839972
296922,0.12612203713439563,0.026687405860531185,-0.053602343591127186
155704,0.14575345246767568,0.09564388959942671,-0.05770675560791222
342902,0.222919740529957,0.014739500923030946,-0.015234036814745167
402941,0.060646273900667715,0.005598803759026896,-0.07294422818175822
424113,0.1870751442714702,0.0141634893760815,-0.028575167801268647
224529,0.08601292372407218,0.06699103787176354,-0.07068265564040593
366962,-0.030115752167546122,0.008085079105763348,-0.10250241281315452
513751,0.029496374247733093,-0.027163294047453126,-0.08050871673262787
480582,-0.10634084175235378,0.00365819561883797,-0.1303374668894016
343775,-0.08180913039950742,0.020504972912129688,-0.11959961881484056
286982,-0.1189902442704479,0.05043386747381505,-0.1355998140297751
365319,0.1532646547095846,0.01697778757760232,-0.04209729653702181
168185,-0.15658512576770578,0.11238599143196043,-0.18027356377664727
172048,0.35866052876454135,0.08956209423691541,0.012590691419133382
467748,0.03591364295117387,-0.01930788687792099,-0.0810751034305497
187410,-0.2582774742734061,0.15274375215614217,-0.22746604363731315
322052,0.44495522139220756,0.00795037899553025,0.0660430782048268
256947,0.023287362420956765,0.07410167089636076,-0.09613131080845344
258554,-0.008692273216605106,0.05093797731099284,-0.0988329761407859
394562,-0.0275070737623345,0.0007518981595691157,-0.1017196438564962
198925,0.09272788147503974,0.07188917339253113,-0.06955845820435755
363753,0.009493833990913853,0.013847417458713774,-0.09049600970316983
394940,0.06061391794240629,0.008741086771593208,-0.07336967222832004
240577,-0.10411605984704084,0.10626245877520174,-0.1432928819167458
213730,0.07429602576137105,0.06917573076458797,-0.0744885565787983
442554,0.0073748515342747685,-0.008681392216799269,-0.09135206554777539
122554,-0.06514555062871366,0.3154367976806476,-0.19483417776976578
48479,0.044881496718927806,0.2966199512747275,-0.1673683737114205
431345,0.04782465645171659,-0.004230678440712732,-0.07663158666950244
505350,0.028797477668655556,-0.0278314591350902,-0.08066540369972679
457727,0.13374893703618804,-0.0202000990275929,-0.04414974078317403
452516,0.1759287984873058,-0.004562270715287586,-0.032215801602229144
384185,-0.11900232713587372,0.016929906166647635,-0.13212994982611131
308985,-0.12469412258161942,0.04263668358432633,-0.13596286817341113
435344,0.04832307715868958,-0.005449884460702145,-0.0764099068681034
265750,0.010001341793891413,0.05133413884249961,-0.09676912236332105
494982,-0.10540782633505758,-0.0007241351163742166,-0.13048034325734073
269695,0.23743827310388918,0.026935385230823866,-0.010224808758416915
491786,-0.12165208484336909,-0.004656289240782097,-0.1338427770604061
270965,-0.04842118294832537,0.04722524031055421,-0.11270199038721163
238576,-0.1038652455566928,0.1054724958639765,-0.1434103445461743
175345,0.007061593646204341,0.18999340585423805,-0.13010535225550834
492096,0.2761937723742755,-0.030900240618944363,0.01309476345988042
514157,0.002071087700716339,-0.025318664813313102,-0.09077779724430476
243752,-0.002770307270060002,0.060104621514939116,-0.09934411429683641
