,MG_H,MG_FE,C_MG
113666,0.2337158744866244,0.13141701424867552,-0.05045327111671896
489327,0.13391714345167988,-0.025159700807992513,-0.0687480749837031
181728,0.07045780675296254,0.09483829164033146,-0.07456524199353859
312101,0.22235123818984015,0.02822062427383526,-0.05820489027187151
340166,-0.05315917661260119,0.03521090497401911,-0.09984885235756821
437337,0.07992253278524847,-0.0030925975155347146,-0.07876436496314461
498531,0.111177941221458,-0.024529984666842586,-0.07329972433857625
437334,0.08678151089356853,-0.004838829407915621,-0.07718046957146105
474921,0.1601570037344159,-0.020699396661690073,-0.06698144497631456
368940,0.05777545758989967,0.009443881295265924,-0.08313713328149126
518950,0.02772201822700203,-0.020761038057557635,-0.08874989133612729
433752,0.01194052486689428,-0.0007165644501099695,-0.09025184551959609
311734,0.0769131301813115,0.035983143115148504,-0.07827113324623582
401399,-0.17770432946765205,0.007920244523750924,-0.12177674894295512
409761,-0.02430329593574538,0.01736954900890409,-0.098313399299198
211784,-0.14434521599396832,0.12872543510471213,-0.13610792043142134
312110,0.17940880452883515,0.025154965353086256,-0.06479994038346766
196469,0.3122147256238217,0.040698200943979135,-0.03925349882968343
248914,0.1473333617677464,0.04938954533099858,-0.06716962449639818
193372,-0.1004440746642476,0.13941455244920392,-0.1241963641473397
341735,0.07813017710402305,0.0286723487009532,-0.07914938783005032
44881,0.03109292288792788,0.2508806978582064,-0.1572848227509256
233339,0.04997038993786451,0.06989475652355853,-0.0806534111326704
401322,0.14141128810158132,0.0046236393873390624,-0.07122059176508334
408119,0.16172878696988358,-0.0028375433073057343,-0.06808499525802202
148852,0.32127933157045807,0.10633080234808467,-0.03832654463743146
163285,0.22568829240108815,0.06644482602182908,-0.04590628998826543
332106,0.200936742548572,0.017628708680500316,-0.06143733634235454
359311,0.1892035471104375,0.007585049715180592,-0.0626451189934949
348134,0.07905683677437658,0.02712156934974773,-0.07993274925038293
488580,-0.10051612953778856,-0.004422596500873011,-0.11594122323098636
219745,0.022106667814436338,0.10361793152037656,-0.0919565955110099
434565,-0.037010289515128296,0.007516388373891104,-0.09931356893481175
300143,0.04208581571902099,0.04372407099253621,-0.0841011106043465
396132,0.09195464186553706,0.0027845139475649594,-0.07729281629532936
444974,-0.07884842462961654,0.00799717845121184,-0.10966035352279589
505322,0.15935050933407546,-0.03497749888835147,-0.06682924397772616
284508,0.1803332921006009,0.038123109023433216,-0.06248923369836511
339303,0.22277284338990203,0.014308779500176588,-0.056563061186701014
216556,-0.027106771434089214,0.08676038739176313,-0.08737940161872729
140155,-0.04689533309895083,0.1990259818823581,-0.13794159049555607
337742,0.04565083994908586,0.01614091085106053,-0.08175861205447849
289735,0.0749526763436154,0.038429619738275335,-0.07666728724033653
415318,0.1623720434205511,-0.005166699186295504,-0.06779655380696431
133758,-0.06680846254885923,0.24190802632151903,-0.15817938358010175
365720,0.14742577853531225,0.00275215226709688,-0.0686841099918023
206547,0.009920533632789788,0.11834893567348652,-0.09863175769314993
277421,-0.2817178685730072,0.08552681089138131,-0.15707535174005238
482933,0.09998194554025609,-0.021657285695913686,-0.07457956568407406
257312,0.1563962672198519,0.04665739711845625,-0.0654824453377887
472515,0.18410516748924838,0.0014629625909025057,-0.06920185173971274
112077,0.19687157249149764,0.14914342881119058,-0.06227122895712295
415323,0.1438094890754439,0.002396178836234164,-0.07195040728421366
493772,-0.06673771552900354,-0.007544050338346264,-0.10688600829980385
173632,0.407188488071847,0.13881971081778782,-0.027610824379295795
448512,0.19199061083667351,0.0028063825563872935,-0.06557452220723431
346538,0.06259283060825137,0.013615347673879973,-0.07953388845411372
48879,0.05234827226384375,0.2378851524922691,-0.13259624736393325
498937,0.08437520037720828,-0.02448810236446347,-0.07810736811324702
379767,-0.04955233332104783,0.021706951834653543,-0.10107797059246404
345292,0.26708635500350486,0.001697496356018069,-0.050931415933324065
330553,0.004205515396318941,0.032480655983522656,-0.09233543016623445
296471,0.3512234474540241,0.01682503091520121,-0.042543571365439015
468968,-0.05038082673793453,-0.006014513834480047,-0.10056301205204238
336948,0.021109244407419937,0.022933403578218065,-0.0884755638773197
524144,0.0519474274216077,-0.01929473554371197,-0.0869856407241956
344529,0.1067867748411879,0.022426679644692707,-0.07454971377154453
174925,0.08320313665700227,0.0830058972929433,-0.06447002976013988
477353,0.015623216492352526,-0.013359842528714735,-0.08881485712739894
256919,0.13152882283763134,0.043044943159839366,-0.06930658939105966
465321,0.15987430991636362,-0.018772538225138025,-0.06702079651374201
431729,0.12003325754165553,-0.0058772611589459345,-0.07278430270129828
384525,0.1323960094743406,0.017148109411421752,-0.07585693694553952
86132,-0.00784799982673351,0.17516497825626237,-0.12223123813023304
484959,-0.008784228619502517,-0.01423511793259323,-0.09401330540797562
240485,0.27103979074102397,0.03308846938974752,-0.04757618976761635
211793,-0.17824192944552603,0.13750470593226988,-0.14081597369272675
305367,-0.0560829967506247,0.05151433427642771,-0.09970211984548358
477358,-0.00849386462556605,-0.012847570127201391,-0.0941670541620517
476952,0.015627391313111274,-0.013543953946485679,-0.08871319256563708
411402,-0.1923155117183912,0.004710879251687727,-0.1267028777215953
355384,-0.1219094671155924,0.003897198946675659,-0.10584219291255396
311720,0.1366903621230235,0.021465183755523504,-0.07183278249294288
372485,0.3146607652671981,-0.013528653411117308,-0.04777770086911437
475350,0.024603774088062132,-0.011384433405297201,-0.08766021819996843
387299,0.250764516703453,-0.007767337438172595,-0.05415958567204954
498185,-0.11494258864257961,-0.008592545478511376,-0.11809913978778308
329335,0.07894290078771458,0.028610213857897568,-0.07800411028721185
70932,-0.05298887340970115,0.27478621509695544,-0.1925970270447091
121650,0.29087909489346775,0.12653269569599343,-0.04207674906427167
260522,0.11998004014755491,0.029602763288831713,-0.06805873668194978
426522,0.14583589501115726,-0.00290087800435207,-0.07167890613469498
233036,-0.35770811943715886,0.11688393150023113,-0.17309193363252706
262961,-0.035171753551506695,0.06566672822563888,-0.09225793392715673
198540,0.03461709918354292,0.07659539922506797,-0.07638960841390659
371380,-0.10570795526407845,0.021262683662906623,-0.10809153766856472
300602,-0.1999318975616875,0.010484876243842534,-0.10566779368725743
391336,0.07567053028549793,0.0051092185316685135,-0.07789572360486877
438519,0.16555461242938518,-0.013008109532785056,-0.06685692941014695
272550,0.006413526978377056,0.04478312718269077,-0.08763973356219454
383724,0.1322762629465036,0.017172717502358326,-0.0758457721581374
228908,0.1637981927913033,0.06759062130130708,-0.06243928397224115
270946,0.0239820277493415,0.054762666668053815,-0.08662311317242521
338179,-0.10044857176340641,0.033848534219529824,-0.10637004829879484
356130,0.09938794524074596,0.0207555249698073,-0.07602491140388902
495723,0.15751958582390146,-0.03114471739872987,-0.06738577745761419
385719,0.15590685636501547,0.005391976480702332,-0.06878309712696852
499740,0.06884079386189294,-0.025816908041580697,-0.07895979193333034
297770,-0.07142592030146783,0.050540897549723005,-0.10234604301646663
263032,-0.329264475779925,0.0910143032197483,-0.1457966395048056
293416,-0.2626275926511646,0.05806292216570158,-0.14370287786847297
355787,-0.12995008093375252,0.004631533836785023,-0.10817557161860403
383012,-0.234603847029271,0.0006371920527554198,-0.12108986328511062
434926,0.1286568535506581,0.0004901044306776792,-0.07447697226183216
455320,0.1595324364222405,-0.019974820397611087,-0.06675114862263622
429365,-0.03765376553852195,0.009044780057211751,-0.09943875925842602
100446,0.2610697876182865,0.15964351370479654,-0.050450109548811184
174096,0.1828936872573738,0.09239366582791425,-0.05780090464429544
