,MG_H,MG_FE,C_MG
207321,0.10923677671865782,0.07669453678821403,-0.05352907823181053
222931,0.07443050576950488,0.08823877325666861,-0.07259031456760281
322113,0.17387872834066306,0.024143945058231447,-0.02364436938276701
421367,-0.04276220169903869,0.008205784804644643,-0.12137559539611972
330141,0.052953248971990136,0.045970745456314,-0.08288111506730805
488111,0.20280505043595895,0.006599078975026207,-0.01190527072148323
434970,-0.05854477680254326,0.002960709645933042,-0.12486427965148696
199729,0.07371098197559636,0.10559598385829505,-0.07371503050234882
163710,0.1271247992026626,0.11553796534071556,-0.05410567799624791
256099,0.21712745375112052,0.03961824558339855,-0.004071744730441251
346110,0.18737407091026498,0.015784570891174105,-0.01702010509104157
398520,0.15172864740937725,0.01113510736151882,-0.03459728803126354
486136,0.0854215098904648,-0.01788700862574276,-0.06109763174665673
285695,0.24265825462457075,0.025861849662861647,0.011275773490346641
316896,0.24616832520150211,0.013188162267941173,0.013437700252904528
365016,-0.25231608610509976,0.031535311785672315,-0.2031061619325059
522550,0.030203213584146005,-0.023316242188063625,-0.0894166869939411
200933,0.066438984405172,0.12142753873863238,-0.08465990849723526
388927,0.1293206399314487,0.0034756286038468698,-0.04489205995578821
260957,-0.016343674810520608,0.06617971989939983,-0.11121065216643723
372108,0.20228607160127252,0.00815093620103105,-0.009731374866222053
468578,-0.0889185098595067,-0.006625888504005806,-0.13989649321017678
198915,0.13179257430854627,0.06361937355472999,-0.045428369336580746
522555,0.01129630039004351,-0.023013717925236554,-0.09691683329052425
187290,0.22061009600256157,0.0643072898708435,-0.010235227722634938
272440,0.4658202434456518,0.0568952635646815,0.11116315073959576
495373,-0.06321989657445831,-0.006318135787720891,-0.13203702130703457
444515,0.18669500957493101,0.0027210639512524337,-0.019377925198372087
383430,-0.3048147794647771,-0.0025369379823863003,-0.20347141367778931
478554,0.009599007197268654,-0.016230592089306786,-0.09725128355830889
236973,-0.08916223500731646,0.1286700773159416,-0.16293177920489416
261322,0.11581950407158152,0.06060479298539979,-0.053150854414574525
305395,-0.16557785117751403,0.015078216382006487,-0.15461713017185016
432541,0.06463349900171181,-0.0076275160251143,-0.07100861576212944
503761,-0.011476902692163608,-0.01565225378401269,-0.10845859194174218
480120,0.16204410377060835,-0.014930556085648555,-0.025637698372850404
325732,0.0904744270969625,0.02360786671430805,-0.06225861532490855
324121,0.13854277759376785,0.03349730343606985,-0.041102954179050286
292972,-0.07640883750059156,0.04265621152555826,-0.13331285837604578
173652,0.3489217033867493,0.08902978243249099,0.04280480434203171
379757,-0.00638813551658373,0.023776410530515994,-0.11057077739041263
287361,-0.029363012527659348,0.04373844674936538,-0.11444411663783621
474171,-0.056268951176820195,0.0016652860829020136,-0.12877249822307452
193677,0.27858653248302356,0.054192011380949395,0.02279747128790688
484182,-0.10474846514135076,-0.007852339234812628,-0.14818783138471403
313713,0.1728626742194457,0.024919019300761597,-0.02425845103761426
222906,0.17177481838490533,0.05117971877201041,-0.027026648166410705
165266,0.2986447079272035,0.058629416990746974,0.025610012199956456
295771,-0.06757679620628913,0.03481401137886443,-0.12888710428657346
399355,0.004080976398214924,0.006074546406225598,-0.10180905192667358
426177,-0.08305920413242013,0.004637568841971806,-0.1373400250242004
430531,0.11096158652208202,-0.010119082897411508,-0.04841242496764776
211703,0.18248363849056667,0.06700678042028531,-0.023087503165212436
421326,0.13238184762809013,-0.007884228050976522,-0.04010647565214728
315722,0.12843734283769845,0.036819183584790235,-0.04783607575870878
450188,-0.12992386500665173,-0.008765416567960704,-0.1519003913101001
516934,0.09791428823581333,-0.031083496277112377,-0.05340425822229548
424164,-0.035644504724344855,0.012150074551013364,-0.12096697233756773
255757,-0.016723126968013542,0.07162714865316483,-0.11254348807430445
280540,0.04714192615273026,0.06477566652323738,-0.08254834555792176
232901,0.20016667735026578,0.047467419971121916,-0.01373976072669561
324137,0.06884046988230033,0.05241484272945438,-0.07844121907924231
313770,-0.06630418802464037,0.021860450584899063,-0.12511551898509204
325729,0.10874894472714405,0.02196793845303638,-0.054597003981456636
457739,0.07716784765125694,-0.020972873585449248,-0.06447715147794135
228200,-0.19103420589182923,-0.047418758799525146,-0.11200369960467227
170124,0.08270278552180438,0.11061122508707799,-0.06765914616465071
363760,-0.0215630404082262,0.015422680489578684,-0.11221722608644655
168484,0.22726911179706955,0.0927979567667333,-0.008982231284101472
376471,0.3805455020797792,-0.01464823794424408,0.08064432343453543
