,MG_H,MG_FE,C_MG
487328,-0.056025463787562915,-0.19789701491549527,-0.04365463114151273
333014,-0.35965201801167135,-0.05992449938030853,0.5707523004132562
447742,-0.09621006870727988,-0.15498968012308706,0.19814592910099083
399775,-0.2123770527791786,-0.11986840517012637,0.3817376128375974
56223,-0.6406807205941841,0.2938733239011112,-0.2554606447962079
255847,-0.41003380856252714,0.08594887447990313,0.6238601869603093
259391,-0.29834990832996006,-0.09279526215442771,0.5202078958069613
327318,-0.024006384144261952,-0.1411591893157041,0.04433149280873938
231306,-0.007616517753776311,-0.11313462391948616,0.09369811295161042
470521,-0.004811385478634513,-0.17373302999687806,-0.12221550450018771
222504,0.002579715924993408,-0.10569784354888867,0.14755892954463748
367742,-0.09670752865701458,-0.12144069041464801,0.2555680032009718
187676,0.07873596724534275,-0.12955182232993556,0.0998608243222081
460968,-0.197031064226352,-0.1517487557185387,0.332527968960359
332924,-0.03776034508886657,-0.12297262911642501,0.10168370386668858
279891,-0.5604337941767503,0.25908802320939295,0.31644131991298863
440969,-0.20163069632860606,-0.147813624097947,0.31294747346717605
294147,-0.12295241523964331,-0.08984943438247424,0.2585185514999597
304952,-0.15208645652953473,-0.10784839299307183,0.32739737046610373
185344,-0.10984885989486327,0.003092133516815629,0.3195019833839802
342919,-0.0219403740945433,-0.15193235815472098,0.04063012032095824
247040,-0.43636211296965227,0.014112541622092245,0.6790553232596741
408568,-0.1946434125766358,-0.12798785046642241,0.3369657872877623
135295,-0.0015935615667214836,-0.02953453366708257,0.14312862826680603
409381,-0.24749865362906198,-0.13165555791571776,0.41894879889374237
156852,0.13617217117788155,-0.09985550172006546,0.024560931748936282
308968,-0.21170761825059198,-0.10702735444590179,0.4217657291485535
237732,-0.11420657503413072,-0.11987783159709293,0.1810245819906084
383758,-0.1512037949563541,-0.1104312366311625,0.320556006855524
186543,-0.10184569003374433,-0.007761581278918961,0.32054115683791173
231369,-0.21608218490895106,-0.016533207771932373,0.3662526069912865
236541,-0.10410515606067486,-0.09275017108050397,0.3479158346506321
333350,-0.14456058942632263,-0.13055626600281992,0.33198821328282424
330531,-0.06608568575109765,-0.14818661937707744,0.17616025397215737
452136,-0.08307878522318797,-0.17802011986484856,0.17013011256734772
263328,-0.07020509268384496,-0.10568168181654777,0.21016698157952518
225671,0.10997981738715742,-0.17597676754248612,0.05784172322514902
462563,-0.17279402029688382,-0.1399006284931535,0.28887906628754495
307344,-0.11452895876222034,-0.09728282364215117,0.269682221561104
233347,-0.12542564198598263,-0.07300107333667298,0.3515295484666045
374555,-0.13944212664064162,-0.11776068507764054,0.2872672155955073
357758,-0.15351636102466265,-0.10075967113413176,0.3310539614234096
507324,-0.027929606436895658,-0.19897608213218598,-0.1078955613085677
308131,-0.07330505619804979,-0.14323546406916776,0.17530683423790228
304523,-0.039594924292763865,-0.12299142139529981,0.15246494610696143
374131,-0.06930071393671995,-0.1623508255531994,0.11558534981434476
466574,-0.2131776205008126,-0.1374753424450727,0.34942901125885806
420156,-0.14558735686189828,-0.13140810743669498,0.30446761629583063
432176,-0.22650111938378922,-0.12594451497994713,0.35714093990337126
508113,0.05484083859094981,-0.1481658909090738,-0.22665299657061508
160914,-0.04215102368985468,-0.02336258259753852,0.21353159930610113
366518,-0.017717852791319523,-0.15593998935797365,0.03487768953710073
232516,-0.03279456041509244,-0.10682701537513695,0.21827236844545056
280136,-0.09146502306961736,-0.11539410945378281,0.23673505852165566
398079,0.1489095381804214,-0.21249703239566964,-0.4275076674576807
475301,0.08553756255551911,-0.17558674525648207,-0.3307022276010979
186137,-0.08891245342366687,0.02858277640426725,0.16165539628279402
230910,-0.016230400327963298,-0.10328700442878509,0.12566736793789204
112858,0.07143355738600858,-0.05657075506553853,0.1524187339439001
519760,-0.1535324711517704,-0.1522293178372209,0.2848648132074427
332916,-0.013535207563095427,-0.1387054220299624,0.08287494839911372
284594,-0.29281364109017427,-0.10386083666235699,0.5371930897398873
473378,-0.22673153840057386,-0.13796225662196898,0.3845788437854868
418944,-0.10160184343146063,-0.1428313697148322,0.23289338347113053
480123,-0.014929509269820444,-0.18090545374514883,-0.08825432351390827
324093,0.07089578576690245,-0.1783535895754505,-0.05169286342689348
484522,-0.015304659993567293,-0.18151348874359566,-0.09594724670437699
506941,-0.0868165096441539,-0.17566216988367217,0.14208613067987347
376943,-0.09686313147516087,-0.11977656264543304,0.24028060991735717
242167,-0.20220070012207628,-0.028745269556768427,0.4030722885080842
315305,0.03225228986355594,-0.14800276083548064,0.05427524094616104
334156,-0.15808774046739313,-0.11250415731697697,0.3483686215482029
228195,-0.2617946678235709,-0.03204186393571551,0.5526162788578233
135702,-0.017339901451164,-0.018457527931261198,0.204341223325267
370126,-0.0560089655001768,-0.16522715773076274,0.058890571087107026
505376,-0.21176881547115578,-0.13977701541617538,0.3694744620910557
380912,0.012995828662939956,-0.14872865717655237,-0.04652735407828282
484955,-0.14099740286155085,-0.15388005827012172,0.24364240750090288
474103,0.0796091290857851,-0.15864184218606145,-0.33857210055065545
466596,-0.28090930733902103,-0.13796059965573396,0.4561966233176883
241482,-0.5501417343703081,0.1988472368489682,0.38729905580177815
411312,0.015317173419539037,-0.1626320730188142,-0.09879809673389459
261777,-0.23279351979482035,-0.053968222527602056,0.4464110992489814
508977,-0.21327165389759808,-0.14174293103584368,0.3658356862003782
472923,-0.01627863887564614,-0.18075276842240992,-0.0869707775081167
457364,-0.18086533521871428,-0.14247881773618978,0.30332780384918223
514519,0.010316935765320473,-0.19044663197657985,-0.1748190267856638
483747,-0.11488442131472372,-0.1822632704635893,0.22958387460876872
195695,0.012367632712879136,-0.12634082947031883,0.09346371593392389
501389,-0.27356747659248765,-0.15925068598631067,0.4110267312834056
413267,0.20767790593065308,-0.22047221350365118,-1.1977078424853664
302978,-0.23513715990223363,-0.10012303403910999,0.4857356692669178
302535,-0.09092232232455275,-0.13568322696258522,0.21580202951669689
311381,-0.23940935282467596,-0.10072619843455904,0.4923836781725976
186111,-0.029494391845617758,-0.0657713200492912,0.16894895092727044
419718,-0.0007274447485288973,-0.16359414018404017,-0.014812372615037366
251370,-0.22290971291866143,-0.028019518974489788,0.3674957928231324
421325,-0.018659298222362092,-0.15312156061921203,0.05229292562198404
228097,0.03691631264978949,-0.11733068201880205,0.11980668901389414
424549,-0.12807258350213566,-0.1588978389359587,0.24229230715029107
524574,-0.21317712433636,-0.1533463839312752,0.3498232699418782
317332,-0.08151700477446633,-0.14472347846666112,0.16450171302681568
434193,-0.27941254266010723,-0.14371021380339052,0.45283995021257506
510141,-0.08827355478733821,-0.17579965025788558,0.13181931751822357
459711,0.04770923057550065,-0.13834321800811594,-0.19723978697271755
317432,-0.396150149328744,0.010471812415776549,0.605442575219393
165320,-0.06022075819023367,-0.058007633531744505,0.32904445431012935
35285,-0.08873424566871117,0.22788134661168707,-0.2796642184814338
170126,-0.11830716070748848,-0.07715243065721414,0.20543212453187498
394955,-0.15069067617932427,-0.13601164757895265,0.27100452721127904
222201,-0.4130918020088478,-0.3168781216100016,0.8266136869572777
182988,-0.24228207038186453,0.13175553668883358,0.342601933168658
412067,0.2061819647518975,-0.22158146257362668,-1.2303890758873712
421017,-0.37089634982286357,-0.09828173067429474,0.5322039375188613
351728,-0.0537126726026968,-0.14950379572600586,0.13789907073045884
406115,0.012838330416513064,-0.1519851364568609,-0.033774395552966886
470124,-0.0200010011173034,-0.17340695306230877,-0.02048122791369595
274936,-0.09398931743644828,-0.11845557411039818,0.24958946995565368
517359,-0.14674352979103764,-0.14982715715355002,0.269223487689802
175340,-0.09306418628269444,0.044891290886716756,0.19794679602475823
479381,-0.23452136590000386,-0.1457194548565846,0.40192119023774375
268681,-0.533982385735826,0.19193480421750142,0.4019382463600367
247395,-0.2723437323260614,-0.059729343812310876,0.546561678588149
354964,-0.18022317334119103,-0.10680129945710505,0.37165097706695355
372118,-0.012608700924412441,-0.15085091807216863,0.04229248737859366
508908,0.0678890664376602,-0.1400132124135432,-0.3713235267802398
324950,-0.15132738227171905,-0.13555316474128948,0.3383848109814309
292199,-0.3105618226427025,-0.14005094467180407,0.5832447899052104
236506,-0.0035600497913505437,-0.11249723535322144,0.09306341615204981
507737,-0.07145500818399644,-0.18022895356036078,0.11415146184006351
510931,-0.06243362701482561,-0.2072696042430205,0.024516297795004034
308120,-0.022775472652365836,-0.11926917147212322,0.13313687726524087
258107,0.002292283902032893,-0.13481760496684905,0.10064435945811902
517376,-0.2140685291733732,-0.14442790237060954,0.3658169097642905
306951,-0.15580880709471298,-0.13196997237896724,0.32985949368689704
183337,-0.08903499621219325,0.03766337626451162,0.143441421914734
488969,-0.19388041480014653,-0.1586799774237201,0.3407755432247329
343383,-0.2581928492972394,-0.1253294414757714,0.48221326372492246
254080,0.088733289920371,-0.17050841364813263,-0.05598225061607404
500992,-0.27271375156329164,-0.1523589726689385,0.44882966901239585
338987,-0.26968764469530765,-0.12458120033377484,0.49809985815159963
329750,-0.14921029018925863,-0.13500947443024608,0.3368698426158371
228110,-0.021018014308014955,-0.10440951022336686,0.11514079548084308
474581,-0.23716463033875862,-0.14817763606775192,0.4038392867839876
171356,-0.18845182669348662,-0.0791959558256198,0.4400345789385631
510918,0.008843735330535693,-0.19000337514147567,-0.18981006644097367
418626,-0.3925536005203371,-0.09926285046518796,0.6068601953799467
128476,0.05172587146166159,-0.05849413583101304,0.21199964218873102
420548,-0.12793963850983334,-0.1582261170011944,0.2413796083942286
346549,-0.1444205951344689,-0.14417880424377844,0.278746841187894
424602,-0.31327250460877687,-0.13448364251458012,0.5127649280270921
346952,-0.1523754686464544,-0.13744772836024366,0.31010799175436043
254128,-0.07942436714402394,-0.10959371364612566,0.20745392622937925
516975,-0.21384783573461322,-0.15175197905132362,0.35211908154374716
84017,0.1412776046852217,0.08340430532244895,-0.19507563321848945
259743,-0.10999476783202294,-0.08003911929227447,0.2978089899386649
266519,-0.04306995805133597,-0.12428743881471883,0.15636733381674153
39681,-0.04458627369622377,0.2486426368486237,-0.07546954421144038
467726,-0.037012604551192124,-0.18842854445135918,-0.05936912358231243
350560,-0.16299773206552268,-0.09390334621787362,0.3397227946488385
209665,0.12205901342529583,-0.18426176096247543,0.08922842936891597
507750,-0.12012830651273892,-0.16483393564541482,0.23198492783154617
