,MG_H,MG_FE,C_MG
1379,-0.4772539929667786,0.37167704757476927,-0.37457801052969886
4991,-0.42140566658884376,-0.10786456306804965,-0.016669469325578834
9333,-0.14257039291895374,-0.32386833375709323,0.03970010423185992
2686,-0.78815452161986,0.44032960824566025,-0.4371565856188482
10142,-0.15174024024464505,-0.37496845914881816,0.0843227713022322
8139,-0.1982755537816195,-0.30829308321936777,0.03865068535564975
3375,-0.41792014047615006,-0.02705422814093522,-0.06662150073749407
10153,-0.19437273637734184,-0.2151937951630286,-0.04002910418791303
6563,-0.3149366422583671,-0.18706322443613047,0.034788781402860736
6111,-0.08598906353564288,-0.2925995058567246,0.08512679604637835
9752,-0.20194654748995872,-0.2421513336985654,-0.00892765893943151
7318,-0.106183745585512,-0.2517395593372578,0.02063873668433369
10155,-0.19894775302480855,-0.23561934795112333,-0.05971599633783037
8524,-0.1230088513329077,-0.23980779187885998,-0.010552110923831598
4696,-0.7455584092525899,0.3597040458341626,-0.3633699919605541
8929,-0.1413152878335536,-0.29340040180826155,0.01528822568698937
9004,-0.38194915899746734,-0.20557470822804297,-0.008572739088491321
6936,-0.2365489675531071,-0.27646548370462215,0.06172827572980416
6943,-0.24789726540384618,-0.3020552608419979,0.06454659586172423
1373,-0.4570312300054532,0.36764488096685866,-0.36706930533817916
10579,-0.2747509384648494,-0.20813501800400966,-0.04399440601686366
6122,-0.18053844005159328,-0.25984872084414956,0.06971973915385864
6545,-0.269413933326177,-0.25272022087837676,0.04955939555469158
6913,-0.0784670395827272,-0.20837565729695318,-0.004626216613590417
883,-0.3903986885015636,0.45010383442413543,-0.3978067685552072
9365,-0.25226355832231495,-0.2126362391318359,-0.01846042839311468
3702,-0.15258374988972245,-0.2222908451226292,0.08192018212788864
5310,-0.12107686805961415,-0.253419970348785,0.07559941122667849
4574,-0.3998865414691039,0.04153808536641351,-0.11519658485363243
10145,-0.1686527381404899,-0.20976743484925178,-0.061638320124944884
9731,-0.13646813473649771,-0.19908276378756495,-0.06858857799580545
9332,-0.14257039291895374,-0.32386833375709323,0.03970010423185992
9738,-0.15432985788047232,-0.317189843211873,0.012562367449359207
6136,-0.26355710895743667,-0.3125375994609086,0.10469988723367155
10572,-0.24891910169284542,-0.277862477948621,-0.012602672727728859
1353,-0.4002865536765521,0.3513538558079694,-0.34156662762696377
4886,0.0058822571301359525,-0.03916038250441534,-0.021510199297464443
6946,-0.25531019621097834,-0.32494732137255095,0.08981387748531172
7352,-0.2628533878966195,-0.2699001574750817,0.06421436059231256
9762,-0.2336070448125559,-0.26533702004841986,0.0016384181052269686
5292,-0.008712181033285601,-0.09587622090018365,-0.012270426493814922
10171,-0.25132645617083005,-0.25780112219859364,-0.010593711172066589
5819,-0.4827782558034012,0.045745476729947165,-0.13823429175219143
9312,-0.02217474621371791,-0.2635186802473234,-0.0191886986605834
6154,-0.30800804632303497,-0.20547274222945738,0.018337004365664433
4121,-0.2612374534386537,-0.3769121970944851,0.19171657249206248
6116,-0.1279662446412179,-0.32492477003133124,0.09967264333057255
