,MG_H,MG_FE,C_MG,N_MG,C_N
357728,0.09483173242767219,0.021708417699640326,-0.08004147183641323,-0.3274838129976607,0.2474423411612475
518572,-0.02764517511303909,-0.0029437232497202016,-0.07921749784946575,-0.3928754964396497,0.31365799859018395
267315,0.15092253225465213,0.04603198405966552,-0.07149139342368863,-0.3200517330257172,0.24856033960202856
445384,-0.15048888376396005,0.09728460158478222,-0.10804301951668246,-0.47172084090238775,0.3636778213857053
234981,-0.12644101452031994,0.11076711097468314,-0.09963779702245695,-0.49328332714994805,0.39364553012749115
359713,0.14244575026067036,0.022349274843740594,-0.07520872178394675,-0.2946650391410023,0.2194563173570555
463376,-0.10276376504389427,0.07917732319257752,-0.10275586830099644,-0.4608841579265176,0.3581282896255212
471337,0.07088585419060447,0.07010045811176953,-0.09841981308868666,-0.39766723430099626,0.2992474212123096
495321,0.2299079943133691,0.037326279517996275,-0.08341863506545316,-0.338843582149613,0.25542494708415986
348155,-0.007080062079062384,0.0404511416170312,-0.08542864378123528,-0.3870644053210435,0.3016357615398082
519767,-0.0010332850347944313,-0.01702917820195462,-0.07338173435644563,-0.37615355410861134,0.3027718197521657
462562,-0.040777508633555525,0.08232228179887757,-0.10138856602145055,-0.43691738090621374,0.33552881488476316
402114,0.03930184570557933,0.06023438095587714,-0.09374855979454375,-0.3494646728115483,0.2557161130170046
456978,-0.11749128431470797,0.08355148921070384,-0.10400642982068815,-0.4643041092005154,0.36029767937982726
224196,-0.1905382345590023,0.052690541578856304,-0.07534535823070451,-0.5129912002832222,0.4376458420525177
323370,-0.07004947389029993,0.031043873802885327,-0.08218865717612565,-0.4193234693014839,0.33713481212535823
479744,0.07772381556770722,0.04727503745250737,-0.09097200178304246,-0.3850906138534871,0.29411861207044465
191761,-0.052874889081627824,0.14433569267100368,-0.10824961767141567,-0.47149806707770126,0.36324844940628565
318171,-0.07054239860954428,0.03563091950968529,-0.08277931553158302,-0.4212870074869566,0.33850769195537356
490934,0.15540521452045136,0.03762382807821299,-0.08630821530463324,-0.3597728470520152,0.2734646317473819
464185,-0.13384201196216766,0.08671218213362958,-0.10573550461462031,-0.469376216483062,0.3636407118684417
447041,-0.3834269964540855,0.10459476593173744,-0.11753689523058575,-0.5537826571493596,0.43624576191877384
321378,-0.1018476098732675,0.034052028968932405,-0.07983141900436662,-0.4348358017870923,0.3550043827827257
437369,-0.09033579958923174,0.09424667940043238,-0.10773112900175613,-0.45220428343870434,0.34447315443694826
258110,0.16604949096511362,0.042075099483295866,-0.0671989167470834,-0.31015637583569616,0.24295745908861277
332132,0.08373384320645744,0.032784562763730596,-0.07847187357713835,-0.34517629941085254,0.2667044258337142
296116,0.15103912378236073,0.029019189103205417,-0.07083101702640379,-0.3127493950296558,0.24191837800325203
457325,0.06274813420698261,0.07964971037039907,-0.10139039697147956,-0.38665353547715825,0.2852631385056787
450936,0.0034141306476424345,0.08796030190808794,-0.10596317817574473,-0.410690070086592,0.30472689191084723
266867,0.3528363357362809,0.021615166314030376,-0.03797483244004929,-0.20022620279130315,0.16225137035125387
437342,-0.042361489969623925,0.07961090069133385,-0.10415942862965814,-0.4198420051609069,0.31568257653124876
415760,-0.06666175721679256,0.08419386494467888,-0.10360965262251205,-0.4385314641536786,0.33492181153116657
452942,-0.008619543853775762,0.08026870200506461,-0.10240513136966775,-0.4153010883205284,0.3128959569508607
483724,0.16794164509601406,0.0474268888867915,-0.08774271786152212,-0.35297177726994095,0.26522905940841884
440175,-0.11584587383563175,0.09632337107301081,-0.10863037664704517,-0.4666026458463628,0.35797226919931757
504138,0.18390744924320704,0.019677746340106717,-0.07912602967281615,-0.3467117278462909,0.2675856981734747
433732,-0.02237127212407348,0.08903372224782867,-0.10680217204154734,-0.4036983672981678,0.2968961952566205
204189,-0.1658361631246197,0.14108418441411222,-0.1096671956955407,-0.5204839869548188,0.41081679125927806
407411,-0.26833109068469524,0.04645115288033125,-0.10146735114052913,-0.49212353297643047,0.39065618183590134
402925,0.0034830531098999427,0.048740700740857186,-0.09411380666758787,-0.35142390308845495,0.2573100964208671
468148,0.019003077511764176,0.0717958828459102,-0.09882114205374662,-0.41315081584496915,0.31432967379122256
287854,-0.42893181753530174,0.18218416160446782,-0.13141226365417824,-0.6037550773338533,0.472342813679675
258117,0.139242275116481,0.05431506801834739,-0.07313027991051478,-0.33617478766854897,0.2630445077580342
343833,-0.32788211108903886,0.07484679853964576,-0.10201752242286949,-0.5439583492760536,0.4419408268531841
179733,0.05577662445508051,0.1663968232971194,-0.10109758635340363,-0.45277098315723024,0.3516733968038266
411301,0.07967416631177435,0.05233846781620364,-0.08534247102779972,-0.3083755092592898,0.22303303823149012
370986,-0.14766228354524688,0.035238390030364164,-0.08604557248715564,-0.4443546288497796,0.358309056362624
333311,0.17428437350938197,0.02129434698636362,-0.06928340118878434,-0.295184508813828,0.22590110762504367
87294,0.11236268673121053,0.2243634077282929,-0.11250974607212709,-0.44211025324334396,0.32960050717121686
144860,0.29245668555170007,0.09858495127101016,-0.0601050262583353,-0.2880026000153897,0.22789757375705436
355756,-0.017707887919928413,0.03491159066861513,-0.08456673097360666,-0.3914436666360417,0.306876935662435
411722,0.0003113352259636683,0.06588452851623708,-0.09866672175819548,-0.36628285147677225,0.2676161297185768
408126,-0.008484883399135928,0.055836038535070756,-0.09691278583035384,-0.3654846530236892,0.26857186719333537
480928,0.139616733713512,0.04648755460854323,-0.08890592765180547,-0.3677497606815694,0.2788438330297639
482124,0.16141685368938047,0.05114591521659098,-0.08907783634241787,-0.3561741610952308,0.267096324752813
458538,0.02015468398197519,0.08244867497999152,-0.10356090040163214,-0.41173439393490474,0.3081734935332726
280125,0.11348375927717966,0.03679675540854513,-0.0757998741313998,-0.32997172263194174,0.254171848500542
170550,-0.02220750767510642,0.14344395770492502,-0.09476465476380111,-0.5021538864000025,0.40738923163620133
258571,-0.07904539082946005,0.09361750058957194,-0.09714258312580731,-0.45502238184157806,0.35787979871577075
