,MG_H,MG_FE,C_MG,N_MG,C_N
422898,-0.015608665923019018,-0.002992208690562919,0.3878277685674667,0.3969317164269991,-0.00910394785953239
353377,-0.2598927717633374,0.042817858259788066,0.3658586616207242,0.16190976084945452,0.2039489007712697
446143,-0.1428122081389576,-0.004148512605383875,0.373739650563717,0.3161629524854963,0.05757669807822072
410536,-0.13556806719088837,0.011722435792839742,0.37393795149970765,0.305263762617646,0.06867418888206164
110507,-0.23505131620513456,0.12500300131309186,0.3574725573448827,0.08052162860481879,0.2769509287400639
59710,-0.3473790964037351,0.1679836499183185,0.31980219653547265,-0.027043282175538808,0.34684547871101146
243734,-0.16983759862021142,0.09862335764062119,0.3661296172449253,0.1863910174834621,0.17973859976146322
357356,-0.20178798904298254,0.041498966545932575,0.37007930279960355,0.2194632546671432,0.15061604813246038
238933,-0.17172711344727218,0.1005664820031881,0.3647045863788704,0.19215142157820908,0.17255316480066127
25471,-1.905260618583032,0.3921970393566059,0.27323790336857146,-0.4099475236023622,0.6831854269709337
502565,-0.19966488011485187,0.001355804393957022,0.36732884108850095,0.26499923165418904,0.10232960943431192
492196,-0.29886287623859015,-0.004242067936478022,0.36498893655954906,0.17759304146230037,0.1873958950972487
425362,-0.2053749919793212,0.015499596189376186,0.37005908900814455,0.24621796200051962,0.12384112700762495
346113,-0.08232109885621558,0.035808103558086946,0.37864915440286484,0.31194256824963024,0.0667065861532346
206592,-0.39235398620668516,0.09276831322286283,0.35018723621148273,-0.01698980234242964,0.36717703855391237
207672,-0.06400644845020634,0.05868494372019893,0.3811720976430557,0.2788978147373583,0.10227428290569746
306976,-0.2745044451938993,0.06853329527885949,0.3613576901919415,0.12176997638985035,0.23958771380209115
285820,-0.4627453217778365,0.1664532190805223,0.3291966232691207,-0.14467020820328041,0.47386683147240116
203315,-0.1521130751167503,0.06399453091945315,0.3749510726509323,0.2216817460706792,0.15326932658025308
288602,-0.3680045243361633,0.0207980578993609,0.36827017240968546,0.06964534947191853,0.29862482293776693
368125,-0.10505355395044573,0.026254722602466515,0.37432235162429556,0.30500073085742785,0.06932162076686768
183267,-0.07223815936933745,0.057392147405530114,0.379494085041175,0.2857682171366823,0.09372586790449261
414201,-0.32382011105011727,0.005695847821577782,0.367587217656609,0.13737358370748715,0.23021363394912184
215714,-0.14402859714287491,0.058608028523454814,0.3761507414422048,0.23185555837807825,0.14429518306412653
468500,-0.010679882015792522,-0.0064130037214894416,0.3861849359897535,0.4062770659063094,-0.0200921299165559
415749,-0.1628869086489955,0.007920306599420529,0.3726391572898268,0.28812028103208087,0.08451887625774596
266514,-0.11705275323155337,0.05380485248406794,0.37734390219251357,0.27394420210246884,0.10339970009004473
410112,-0.06452373970695627,0.01851251654207188,0.3788322125813053,0.3467138504340722,0.03211836214723307
