,MG_H,MG_FE,C_MG,N_MG,C_N
323737,0.06523343950572227,0.03672366042015062,-0.0656530307453259,-0.021985159870185608,-0.04366787087514029
478947,0.036566782656210085,-0.019698234364992073,-0.08508396345076416,0.0051014415167332725,-0.09018540496749744
292137,0.061018656077223024,0.05453669313983518,-0.06826824261441422,-0.03529527529457563,-0.032972967319838585
262922,0.11313995918113617,0.06502711321539562,-0.05870106367637327,0.007468871496795204,-0.06616993517316846
149759,-0.05653064923315962,0.2509787705428589,-0.14935985358632953,-0.188955069276219,0.03959521568988947
294104,0.194734785536752,0.03876872843153045,-0.04212801654743531,0.05570781398814317,-0.09783583053557848
240534,0.06316979607497034,0.06521173299844406,-0.06152315470861564,-0.0507654156456523,-0.010757739062963345
401332,0.08659532290580879,0.008399651264723418,-0.07071507287572457,0.016501079947669153,-0.08721615282339372
500941,0.06285555891744848,-0.028769688703283725,-0.08320958964394815,0.027893682808497328,-0.11110327245244547
506913,0.18854396783825583,0.0002544139053986816,-0.07634880978312776,0.056207761277236395,-0.13255657106036417
388081,0.32669063239121343,-0.039118659126993194,-0.008997624788952274,0.1964783207113514,-0.20547594550030368
232921,0.11171935486263712,0.07934519595204376,-0.061908262871474065,-0.014892261677472499,-0.047016001194001567
460151,0.019944288601486945,-0.010645706755953607,-0.08596355025528396,-0.01473800333579962,-0.07122554691948434
472958,-0.01299820164096473,-0.01757516361852731,-0.08409725421200645,-0.02346284689426958,-0.060634407317736866
193283,0.24396032411461843,0.06306907230257874,-0.023178856978014223,0.048780320757897955,-0.07195917773591218
294911,0.16959331245306172,0.037757140105894565,-0.050557579527258964,0.035853528916326954,-0.08641110844358592
406108,0.19794140328928403,0.0029252619499147425,-0.05491561474535056,0.07571268416163132,-0.13062829890698188
474576,-0.08464666363995915,-0.006579820408059794,-0.08207329419393786,-0.07082464273818101,-0.011248651455756847
58835,0.1708739212729128,0.24576179408476398,-0.12121249794742278,-0.13719662784488007,0.015984129897457282
330169,-0.0608836017074236,0.015727373893782787,-0.06141496140780253,-0.07748292546845936,0.01606796406065683
448931,0.10107445553923704,-0.022738708021789775,-0.06555636134082071,0.05346916741010453,-0.11902552875092524
174832,0.4024207218253494,0.15066652394031632,-0.019966825120882825,0.08563057955843512,-0.10559740467931794
274574,-0.09183792560356444,0.07849754935751391,-0.07428650725779234,-0.12054147944486834,0.046254972187076
178465,0.30687322596543726,0.056841504604404625,-0.011969394864988159,0.1121873601843037,-0.12415675504929186
320116,0.14965931186642548,0.03125973663332461,-0.05214671025436807,0.034983643587284424,-0.08713035384165249
488123,0.14651530049771438,-0.013656019152227222,-0.07377531486410488,0.06836571951878967,-0.14214103438289455
217718,0.1184977603805042,0.06670201600984332,-0.05408514473276431,-0.0004923625540711185,-0.05359278217869319
490158,-0.012163092208492507,-0.017180898438857225,-0.08769019981294458,-0.028052999443734995,-0.05963720036920958
161292,0.1868331980699373,0.10653035196107175,-0.051491094003890875,-0.007276418826879044,-0.04421467517701183
302918,0.137939373338848,0.03405109738463524,-0.05050945553878183,0.026404442262568467,-0.0769138978013503
458967,-0.04387759766453095,-0.009170476114663498,-0.08067535259123267,-0.039445526324753094,-0.04122982626647957
414171,-0.06425075569202557,0.0009541617260226398,-0.0736416268675609,-0.060732229670411184,-0.012909397197149716
187289,0.21782690048476522,0.08516990271198549,-0.03865086391672773,0.036217243830832635,-0.07486810774756036
