,MG_H,MG_FE,C_MG,N_MG,C_N
494955,0.006929203214008677,-0.030815000140435252,-0.07743126301009103,-0.009683084538947902,-0.06774817847114312
343006,-0.21440550176492443,0.042793883189962606,-0.07442663917138506,-0.15761613665017118,0.08318949747878612
445348,0.026464047422740097,-0.011676267340037558,-0.07251525634008395,-0.009422187178670844,-0.0630930691614131
440531,0.10376444112854802,-0.025558413932375706,-0.06886249983891815,0.05138155394817945,-0.1202440537870976
369740,0.05443478696009714,0.005814450525392513,-0.06966039995335832,-0.008159682100576146,-0.06150071785278217
262144,0.0256584896385927,0.04812381075642975,-0.06594966730474595,-0.0598705604239468,-0.006079106880799157
371731,0.09899967403926753,0.008447448842561503,-0.06491172850153931,0.018964147913988386,-0.08387587641552771
311400,-0.19026269107096372,0.014306820311352192,-0.05333782020066097,-0.14651258779011994,0.09317476758945897
229688,0.24135462157703233,0.03962540835230366,-0.028143678074168677,0.07994908950304666,-0.10809276757721534
173274,0.2612587084652392,0.062208671418913786,-0.02390862111140013,0.048157900832403455,-0.07206652194380359
412557,-0.006514054563609788,-0.0021016377287522243,-0.07568414187623788,-0.03719544710700187,-0.03848869476923601
464904,0.22105475348933393,-0.004835083042883631,-0.06187502262692843,0.08381781985534023,-0.14569284248226866
279370,-0.07504342550012787,0.04953998591086754,-0.06379644608710168,-0.10429021583175606,0.04049376974465438
453369,-0.05293946795093705,-0.005952918460623097,-0.08007546749940445,-0.05721347067195811,-0.02286199682744633
421327,0.12394211431691707,-0.012093037744014129,-0.06837736998697184,0.045333689061532706,-0.11371105904850455
268552,-0.003439346344398732,0.03823201633237623,-0.06076016002341463,-0.06112039912649076,0.0003602391030761293
478942,0.054158736338385464,-0.03056714355467708,-0.07378092843685709,0.018609830760811914,-0.092390759197669
474950,0.02244401749157151,-0.021704819871044903,-0.07466253570134787,0.00013593157027807362,-0.07479846727162594
390967,-0.05030307232086426,0.013977639745792601,-0.0752168298249957,-0.07309321493717402,-0.002123614887821673
342117,0.1543270733540289,0.00808699164978563,-0.05308985616807285,0.04376956985918837,-0.09685942602726122
355708,0.18888150071346385,0.010902531994210596,-0.054609284423745824,0.06593370351127428,-0.12054298793502011
421732,0.09056793593942492,-0.010267542142983796,-0.07140762306198761,0.025798190647926794,-0.09720581370991441
219645,0.4058658546354918,0.05981127768239125,0.006233615444509177,0.16412595218854437,-0.1578923367440352
396529,0.11008677990369316,0.0038637203140198945,-0.06997477432277278,0.026034370640614826,-0.09600914496338761
425743,0.049851403830991035,-0.012864933086496784,-0.0713267781770508,0.0015375942250664687,-0.07286437240211727
245715,0.14180617597142772,0.04970953902874928,-0.051300188708261335,0.01038274758243593,-0.061682936290697266
288528,0.09259545364718591,0.03662481089330666,-0.060594240607180924,-0.01664596260972362,-0.043948277997457305
361441,-0.35276976297445484,0.0752098560719141,-0.09997465133068195,-0.2250006403265623,0.12502598899588035
527753,0.016465862817123974,-0.033190501445455836,-0.08096222623316046,0.0027358833863881625,-0.08369810961954863
250079,0.2883696264271631,0.025165838260456153,-0.01631265803830756,0.11373715450016586,-0.13004981253847342
389673,0.36003271151011385,-0.02368220060358095,-0.0025533182492475937,0.20164102537645812,-0.2041943436257057
451357,-0.004823285214346618,-0.013296694990752735,-0.07725351576460075,-0.025793240250717043,-0.05146027551388371
373358,-0.019203036904947277,0.019531534289768122,-0.07242850781188116,-0.06323643465421155,-0.009192073157669609
236947,0.0148043226193239,0.06679645047531915,-0.06940021294611759,-0.0814555762350003,0.012055363288882723
246077,0.29472283285228046,0.024813495774678118,-0.011782995620962522,0.10666149628051119,-0.11844449190147371
496533,0.0984804702020627,-0.042581664658102966,-0.07416772818005157,0.05855810165422258,-0.13272582983427417
150103,0.13998135385689536,0.11789009558277644,-0.07768306494537636,-0.055115854680629114,-0.022567210264747235
312647,-0.38407035497936515,0.1521335006529465,-0.13710596009927967,-0.2681718944989807,0.13106593439970105
184126,0.07213165358028727,0.11991232744074387,-0.08527683230216133,-0.07603789512537654,-0.009238937176784808
179692,0.19770644856965958,0.07131525695304503,-0.044075387922217546,0.016447032422171742,-0.06052242034438929
360537,0.06742132565389782,0.01570776251388082,-0.0682124248916782,-0.005263773610353427,-0.06294865128132478
451715,0.17690962361086499,-0.00905902431740016,-0.06554570968745273,0.06121458105289759,-0.12676029074035033
398499,0.2428280093627634,-0.008761925167884432,-0.03900509553942855,0.12028115050446431,-0.15928624604389285
117707,0.10126536405080062,0.16287597935605036,-0.0947750278077088,-0.11206328265067614,0.01728825484296733
486548,0.031402390160449906,-0.02706748059358855,-0.07392253799988874,0.013764737610181398,-0.08768727561007013
486127,0.1279325048248117,-0.03940200623620277,-0.06955908455788462,0.065972988974109,-0.13553207353199362
519360,-0.017274795177087028,-0.02183676591149427,-0.08226665293603164,-0.034476756383910095,-0.04778989655212155
510980,-0.09906356382805762,-0.010570087240121054,-0.0875711841498715,-0.07934044255989842,-0.008230741589973084
214518,0.11442322895638207,0.057516901032993874,-0.05766626696074575,-0.013436342024933767,-0.04422992493581198
447344,0.04437389842351927,-0.011908863432539635,-0.07551712840057219,0.0027633532611596318,-0.07828048166173182
387740,0.055130700530533434,-0.001964589082133962,-0.06833430407679063,-0.008419313261092687,-0.05991499081569794
306504,0.1980744718559283,0.018652956509767393,-0.04248820935625014,0.06236867786311817,-0.10485688721936831
433737,0.07488104929907084,-0.015030083702288949,-0.06880244416168008,0.019884055789511815,-0.08868649995119189
244854,0.3884390695474396,0.01832464950472462,0.01713799993153703,0.18970518308809753,-0.1725671831565605
447331,0.10355590560227959,-0.026507950364892924,-0.06956137222411177,0.04851068051038823,-0.1180720527345
363042,-0.3598807940698477,0.07398449564688914,-0.09451843339723864,-0.2254183746354514,0.13089994123821275
204079,0.2682546768445555,0.035421809479724536,-0.018649067796855295,0.09307401403734239,-0.11172308183419769
289310,0.1715841401236193,0.02515369455363836,-0.044569714735928107,0.04833725044306669,-0.0929069651789948
464977,-0.08641768984258787,0.0008989786338078481,-0.08382403374450208,-0.08003216611898999,-0.003791867625512091
266550,0.005180587529078879,0.04278445186329374,-0.06113351565193155,-0.06341207755537197,0.002278561903440418
405759,-0.01641952295360991,0.007559463901582644,-0.07737673706568389,-0.04742259466914746,-0.029954142396536432
264110,0.16247698405957564,0.038814472091026744,-0.046040494088131906,0.02897443484620038,-0.07501492893433229
381735,0.07752068266733016,0.006938480564083832,-0.0727717113320955,0.011340373426805286,-0.08411208475890079
496132,0.09838864977624105,-0.042399935823575166,-0.07408687015302418,0.05817987334302392,-0.1322667434960481
442920,0.15224257273094374,-0.014992993454143178,-0.06877882420282729,0.07014748192827044,-0.13892630613109774
397347,0.032877873000657094,-0.001954460534005241,-0.0709442302827942,-0.006040279211945238,-0.06490395107084895
336125,0.11901512221720552,0.013945858864760033,-0.06393009565950322,0.008679644452118565,-0.0726097401116218
453725,0.13706270721184888,-0.021869165812198887,-0.065555925955449,0.057630309177718,-0.123186235133167
293851,-0.40323513157784563,0.16586532292519618,-0.1490673931011569,-0.28327399663223474,0.13420660353107783
518550,0.024326252076903924,-0.03031797380473465,-0.07796954802481251,0.0008203834056317617,-0.07878993143044427
482193,-0.14972230491486718,8.837639647985007e-06,-0.08005243777533924,-0.10770079266357721,0.02764835488823797
213308,0.15349479324953028,0.065679270458687,-0.05468159397991228,0.004509305197494928,-0.059190899177407205
220880,0.2683001163780969,0.04395660574325702,-0.023425724651805202,0.08944669081045126,-0.11287241546225646
304925,0.11349510156286673,0.035031258057444864,-0.0657954559321031,-0.001573308011215524,-0.06422214792088758
169644,0.36112529513940855,0.0890889361773275,-0.017457060214379483,0.09394929303947175,-0.11140635325385123
322543,0.04312021057727417,0.023117261370662785,-0.06782765879005394,-0.019615530025357618,-0.04821212876469631
259086,-0.5659542368957451,0.20013630961647444,-0.1719332871524517,-0.3334899493527532,0.16155666220030152
488103,0.23296502862140153,-0.009631094241045052,-0.06364022971703034,0.099988204929403,-0.16362843464643334
