,MG_H,MG_FE,C_MG,N_MG,C_N
22177,-0.15536459326602922,-0.06664982580207501,-0.04855345260641317,-0.24544170642782273,0.19688825382140956
22987,-0.19470878989048887,-0.0035056730748088683,-0.09012739799971928,-0.3440664087508848,0.25393901075116554
9369,-0.1836120898032657,0.13685642125972264,-0.08982576637147849,-0.561803460572084,0.4719776942006055
11366,-0.16371196705810406,0.02142867973975207,-0.0493995171965427,-0.3730718039511013,0.3236722867545586
15760,-0.11827595570811707,-0.08441222902274215,-0.032279903910178334,-0.20072144113051,0.16844153722033164
9276,0.17858980559501356,0.06932213521206394,-0.06892190158368688,-0.29238216154779706,0.22346025996411018
18225,-0.3485808347635945,-0.014590985463159734,-0.056298625043413486,-0.38324096332486396,0.3269423382814505
14160,-0.12887121137787824,-0.024857921395017205,-0.04168599837852832,-0.2893193684451587,0.24763337006663041
9326,-0.03964175330700979,-0.05049960608134741,-0.013656248402500397,-0.2279884636971932,0.2143322152946928
15739,-0.04169546052267226,-0.06632334320264062,-0.04754677224041704,-0.18766254069009308,0.14011576844967605
14151,-0.0930432091153293,-0.04904439343961101,-0.03636419133697079,-0.23967633844489228,0.2033121471079215
24554,-0.06308668954159881,-0.09577852309334353,-0.07238060973956782,-0.17552198677748243,0.10314137703791462
21741,-0.024849810115398194,-0.06827301823124424,-0.07392582783881722,-0.17501098129051035,0.10108515345169312
8102,0.04917985481651655,0.04632092203011507,-0.06443424770831352,-0.32756164897380907,0.26312740126549555
20107,0.13754786659961704,-0.07284656676055506,-0.058372294634196076,-0.10137117304255315,0.042998878408357075
12931,-0.02202758984099164,-0.119534297163587,-0.008045995686582427,-0.13128967028575717,0.12324367459917475
22947,-0.03726187383375297,-0.1094915313231153,-0.06416516205866166,-0.14688936112107204,0.08272419906241037
12499,0.12915182772670114,-0.06075959937799005,-0.022034166967069307,-0.12545797726824506,0.10342381030117576
9861,-0.5303321789837808,0.21311918480692227,-0.21582958574193534,-0.7292855912810262,0.5134560055390909
12524,0.0024208854938239295,-0.10702056821936451,-0.02546193934277274,-0.12987014367282101,0.10440820433004827
10172,-0.19150938498420586,0.06746765124321827,-0.09010012832871864,-0.4546831821646655,0.3645830538359469
16489,0.21167748542877365,-0.07760839980719728,-0.016245174824553732,-0.06472008158204676,0.048474906757493025
18955,-0.08608930696680918,-0.04897856096861387,-0.05221051584827903,-0.23623706618356616,0.18402655033528711
11669,0.25840952989994825,-0.026750580119127454,-0.0035550605642211686,-0.11015934491237775,0.10660428434815658
21321,0.07204708195694973,-0.09138196809998037,-0.06667367900109887,-0.1086309125857785,0.04195723358467965
17373,-0.15909884120753354,-0.028794815816085256,-0.0633225976317803,-0.28471878824316016,0.22139619061137986
24154,-0.0651028575132379,-0.09438184818822326,-0.07260729967675848,-0.1764781477872176,0.10387084811045913
23715,0.10966307744763493,-0.06744752034146409,-0.08675315790359714,-0.13433416913821297,0.04758101123461584
10919,0.018445665863177543,-0.09358356281828287,-0.023201556946056676,-0.12729249822174366,0.10409094127568698
19685,0.2523280211563646,-0.09086325271436818,-0.020884998251342574,-0.028839218045214332,0.007954219793871758
11344,-0.08341216692471333,-0.08499831338015627,-0.027592310417676486,-0.18742351241368116,0.15983120199600465
5420,-0.4450572176268662,0.22883518134989783,-0.22625891308772644,-0.7607134769224779,0.5344545638347514
20148,-0.058102248353509016,-0.06926568724987839,-0.08033094178285272,-0.20182289689225485,0.12149195510940214
16517,0.06731482945641282,-0.070968770350782,-0.0664298446255441,-0.13833415330785223,0.07190430868230813
11319,0.02298552248940022,-0.10815896986824144,-0.03034571145837772,-0.10502236768283271,0.07467665622445499
25751,-0.04182218085492849,-0.10742157961059705,-0.06549874680389621,-0.150731984782152,0.08523323797825577
13753,-0.10058848351088027,-0.07116382635448906,-0.03892758509284468,-0.20801934092754543,0.16909175583470076
10960,-0.14343925561146623,0.004081223592368871,-0.05161403679495838,-0.3408047606844268,0.28919072388946837
22550,-0.05440609543810765,-0.1082153450819848,-0.08117308464168635,-0.15107841857911725,0.0699053339374309
