,MG_H,MG_FE,C_MG,N_MG,C_N
13323,0.004440958944152929,-0.1370707948053357,-0.03832210535353147,-0.14548003436612697,0.10715792901259552
16977,-0.18502810533953823,-0.10183611916251303,-0.05265644359406843,-0.24121356609812267,0.18855712250405424
15347,-0.08142184065097077,-0.177526079514377,-0.01550565490208873,-0.13909850990194983,0.1235928549998611
12511,0.06551436025467974,-0.133371298655873,-0.01815318389239544,-0.11637695751663624,0.09822377362424081
12594,-0.2744523065750437,-0.10489653949045508,-0.0014749911594665321,-0.29137478713013154,0.289899795970665
8913,0.002648167213495621,-0.06496700789816807,-0.04304192861034258,-0.21713929772210566,0.1740973691117631
13732,-0.052499869706566886,-0.13129855494521123,-0.032714960002391304,-0.16980950138653556,0.13709454138414426
14167,-0.17020832778849296,-0.06363071510310683,-0.06212618828876024,-0.27881489693897765,0.2166887086502174
9757,-0.17370574841776662,-0.060528855128081205,-0.017342666664316997,-0.29467782541260945,0.2773351587482925
12115,0.03566277077101922,-0.09960674374567656,-0.03322359844537881,-0.16958421274317004,0.13636061429779123
8529,-0.08278672331290514,-0.2151010301510321,0.055567143345366124,-0.08202322558635898,0.1375903689317251
14563,-0.14896873890517398,-0.11417773482949561,-0.04959615490865363,-0.22743194671008815,0.17783579180143452
16949,-0.07785820962384227,-0.16729255979343366,-0.05048526099030645,-0.14317896068992572,0.09269369969961927
5341,-0.1765208687534984,0.13054931762114794,-0.12291363669924313,-0.47124968756428676,0.3483360508650436
16963,-0.13241838117621632,-0.12860650616968408,-0.04874842636332441,-0.20547573161908825,0.15672730525576384
8518,-0.024313895080152692,-0.18734484004242397,0.0558829004964823,-0.10621264929673294,0.16209554979321522
7688,0.11370382857840991,-0.06049914417182903,-0.005824559652540029,-0.1826527608090142,0.17682820115647416
6559,-0.21503177117417216,0.10850325541677269,-0.08879775430464326,-0.4642515539527655,0.37545379964812226
9673,0.2315231449816375,-0.09322480365765806,0.016006992365944467,-0.09093916087189366,0.10694615323783813
15772,-0.1795009130543865,-0.09161293256609786,-0.05709996693002731,-0.25163963334911776,0.19453966641909048
17345,-0.05998306538271068,-0.16220850102990078,-0.02981571765350339,-0.12766436976815213,0.09784865211464873
16165,-0.1482543967615683,-0.10275194657677773,-0.06810179211154666,-0.23164617471203555,0.1635443826004889
8119,-0.03645231250764141,-0.1310945825086164,0.023583027957427054,-0.17032585220269503,0.1939088801601221
8476,0.1877595250225834,-0.0428107758888929,-0.01096537615963103,-0.19580640750454908,0.18484103134491806
16518,0.05067429910309531,-0.13454908443591676,-0.04432466932253432,-0.12044713369820922,0.07612246437567491
6083,0.10830713124727276,-0.05908188148199292,0.001801855920275,-0.20376843202089415,0.20557028794116916
9742,-0.12617098414989716,-0.10659718111147795,0.013776604106811058,-0.23704525854193262,0.2508218626487437
5316,-0.09159175713390798,-0.07704956371125889,0.010111435110311415,-0.2674146707783805,0.2775261058886919
14864,0.3464565902847926,-0.15730464700723545,0.025015073607439653,0.034825187703956595,-0.009810114096516942
10896,0.12680989158626743,-0.1350894942149714,0.017771571353214527,-0.08368383507232041,0.10145540642553494
6127,-0.13301810990141397,0.024543046689195047,-0.05137628596206795,-0.37085863295406385,0.31948234699199585
10138,-0.1065686351375146,-0.173735546177077,0.025232367106013787,-0.14866890155455417,0.17390126866056796
15341,-0.05990479300121067,-0.18794144722600303,-0.011529904278240757,-0.10749729651969427,0.09596739224145351
10955,-0.15535286670230414,-0.08175354723017643,-0.02255499780644976,-0.26306017900538525,0.2405051811989355
6844,0.2855919265584599,0.05979575936434339,-0.03724630308035304,-0.258853782248207,0.22160747916785392
6091,0.0739645742390192,-0.12676739743053173,0.044420528030244474,-0.1512163646397411,0.19563689266998557
13354,-0.13767082112269893,-0.02327346792992606,-0.08026031772252668,-0.3137883067570971,0.23352798903457042
8576,-0.24357030953084038,-0.10735240174874555,-0.013870311399511809,-0.2707783085196316,0.25690799712011975
7478,-0.6199029780768137,0.21358957670677392,-0.19343428933974105,-0.589351472593479,0.3959171832537379
14185,-0.23300068569343596,-0.06966040164177648,-0.05644775703989102,-0.3023234563858716,0.24587569934598058
6687,-0.6657434893101583,0.26976398591861095,-0.23283363635051157,-0.619722596641166,0.38688896029065445
16137,-0.04545035356134742,-0.12405355854726541,-0.046501049636073606,-0.1686379617758866,0.122136912139813
10126,-0.05372530322083066,-0.13428467617527934,0.002888219776020426,-0.15524412023787196,0.15813234001389237
15765,-0.1493846073441225,-0.1227323102954888,-0.05863498166552103,-0.20855479003045768,0.14991980836493665
17347,-0.06555814350799996,-0.18919988931039994,-0.021528855546893544,-0.10902757613199343,0.08749872058509989
6087,0.08955892556278787,-0.07743078413107819,0.008289620869683614,-0.18595724715993328,0.1942468680296169
2626,-0.5848027292208158,0.3348331465788822,-0.2657659960989538,-0.6567336632908913,0.39096766719193754
10560,-0.1782625316179761,-0.07018315723140556,-0.008623148410829506,-0.2816563860658087,0.2730332376549792
12257,-0.5036234617684257,0.03198624475767664,-0.08552713092316555,-0.45552801898640594,0.3700008880632404
13743,-0.08451880377396678,-0.14685733181578575,-0.02637139501836265,-0.1640084589137995,0.13763706389543684
6129,-0.1392647438768695,0.0042470594106141235,-0.059927049386731185,-0.33627168574136523,0.276344636354634
16955,-0.10303935465928439,-0.13230260936558588,-0.04455923046673223,-0.19107862277147153,0.1465193923047393
16580,-0.20114130304642064,-0.10995703950445986,-0.04058654734857814,-0.2504260770528627,0.20983952970428454
14132,-0.04587156267715915,-0.15561357065188514,-0.018863970502227323,-0.13078341933083015,0.11191944882860282
7806,-0.35342920102238423,0.07075923366064713,-0.11535890573058788,-0.4593685267531971,0.34400962102260924
10930,-0.06928797835854263,-0.11852403613937253,-0.014661549836645499,-0.19034807514619062,0.1756865253095451
17362,-0.13051995141643002,-0.1251330750995224,-0.058012970895080146,-0.20624850330139988,0.14823553240631973
14996,-0.2676765473572377,-0.11523156005823687,-0.05015465668527924,-0.2758697458230274,0.22571508913774818
6536,-0.152048417412745,-0.01715014150819666,-0.045565783077856886,-0.32359830215517615,0.2780325190773193
16560,-0.12562737076568103,-0.14985903548011104,-0.043838871942605356,-0.17136323486217564,0.12752436291957028
13308,0.08210326140966542,-0.11690717726685035,-0.04476895362450825,-0.13197528701294925,0.08720633338844101
15351,-0.1000579762276558,-0.13650643505607224,-0.042931942977782106,-0.18381251471843477,0.14088057174065266
14963,-0.14445564242065734,-0.1342609486988812,-0.03633430130505477,-0.20376509443325547,0.1674307931282007
16960,-0.12440950339000455,-0.1394301893367973,-0.05310741968514436,-0.18347595885111517,0.13036853916597083
7784,-0.27058271774841275,-0.15769660804282348,0.04506009351294024,-0.2441360297558997,0.2891961232688399
11299,0.12462134652194708,-0.15758118461136078,0.013005092631060991,-0.06972339827721122,0.08272849090827221
14530,-0.03512046476331157,-0.13469377812990263,-0.05043440409265838,-0.16047487145635062,0.11004046736369223
9371,-0.22197379178474672,-0.05094756000287787,-0.03554473457736315,-0.30806573094752754,0.2725209963701644
12949,-0.112575998920475,-0.11670233139083937,-0.030753725620804737,-0.2112673973777437,0.18051367175693894
10928,-0.059041421247206204,-0.10665523423570744,-0.024468496263854937,-0.1956462424372656,0.1711777461734107
9860,-0.5302145328018715,0.09113014513057871,-0.15444427833887253,-0.5134895475160992,0.3590452691772267
10909,0.05427366707863002,-0.07916645925439939,-0.03495614250764389,-0.18966274132992025,0.15470659882227636
7464,-0.5654640355304889,0.18792670379548126,-0.18357518840155918,-0.5707501542473331,0.38717496584577393
8264,-0.5575457229530513,0.1567673810765322,-0.16333781797263358,-0.5546088385235034,0.3912710205508698
8557,-0.18152920574214607,-0.10722217442587473,0.021018970781369495,-0.2507799855383508,0.2717989563197203
14967,-0.164583844940837,-0.05208185795873568,-0.07764902150795588,-0.2894362934419617,0.21178727193400582
7718,-0.0456755829893752,-0.10959138160017054,0.007892776965612483,-0.2000205655445283,0.20791334251014076
10127,-0.05372530322083066,-0.13428467617527934,0.002888219776020426,-0.15524412023787196,0.15813234001389237
14123,0.016255427599867204,-0.18456369276226378,-0.018542774743511525,-0.09029397224271589,0.07175119749920437
7033,-0.4476309104238445,0.07256541786925064,-0.1272254720359044,-0.4838722041652739,0.3566467321293695
13718,0.027952815084792526,-0.0959064197043776,-0.04378282511143505,-0.17113896731245298,0.12735614220101793
11767,-0.1906157148334233,-0.032548248836674204,-0.059423401624169064,-0.31884853777510247,0.25942513615093343
12994,-0.2712721439303596,-0.10881228212867189,0.002747544295731874,-0.28830659190778785,0.2910541362035197
14520,0.025276067022492677,-0.11734012616719243,-0.039217675736387264,-0.136618833397627,0.09740115766123973
13302,0.11990463767459009,-0.1403422602301876,-0.02891947290037336,-0.09863663341595322,0.06971716051557986
8492,0.10917259473428097,-0.08111935373491456,-0.010803157244504952,-0.1640612336453639,0.15325807640085895
7716,-0.0326048018481896,-0.1337084381410294,0.0018161081619882426,-0.15704448738261173,0.15886059554459997
8123,-0.06113594701867658,-0.10920961476480723,0.0025382996417681325,-0.18926699181185486,0.191805291453623
10155,-0.16182276511021224,-0.07577618678712056,-0.003492028066973296,-0.2737132971425602,0.27022126907558686
16525,0.020425466921121335,-0.14887273547447905,-0.07227286407652284,-0.13021877387501618,0.05794590979849336
9318,-0.015969988962683552,-0.1584399749316804,0.04012801375389795,-0.12772388210872393,0.1678518958626219
16943,-0.0578943393073804,-0.14124832448299524,-0.053828571705916706,-0.1611266854247173,0.10729811371880062
12911,0.06699349221528386,-0.11151388056140754,-0.031600390586579805,-0.13807003420072034,0.10646964361414052
8630,-0.4308320183431957,0.09705597624827428,-0.1253075127169812,-0.5003291843757418,0.37502167165876066
7317,-0.043466624869816436,-0.08302583820555388,-0.017900028442589394,-0.2086042331765442,0.19070420473395483
16953,-0.09630578096929561,-0.14048168421722712,-0.058648760223837124,-0.1824434142109198,0.12379465398708267
9779,-0.2438833153437038,-0.047917296657058184,-0.04195677092751629,-0.3210455011175072,0.27908873018999086
8106,0.02297392845904606,-0.04334852912204916,-0.03015241494053497,-0.2383564294218122,0.20820401448127723
10130,-0.07725712572887165,-0.14154936417122327,0.007604267133603848,-0.16346509418888844,0.17106936132249229
16574,-0.1807330511626436,-0.098614547911143,-0.052671692491989,-0.23990548023289998,0.18723378774091098
17365,-0.13800255408635803,-0.12696366046598992,-0.06521973545024773,-0.20418334681899952,0.1389636113687518
7416,-0.3888021773732859,0.04617561106157719,-0.08809922541610998,-0.4558340968208607,0.3677348714047507
6150,-0.19696354397754048,0.11663868679251929,-0.10347577140746486,-0.4619135737770882,0.3584378023696233
10172,-0.22037942005597935,-0.07435672672883864,-0.021520236938169346,-0.2833104674705218,0.2617902305323524
10944,-0.1169759141598382,-0.1554460460045595,0.006162201048082683,-0.18167831975933896,0.18784052080742164
7858,-0.5383558904580433,0.14677475965867404,-0.16240198474534895,-0.5465021662917157,0.3841001815463667
13719,0.027952815084792526,-0.0959064197043776,-0.04378282511143505,-0.17113896731245298,0.12735614220101793
15326,0.0034438854020518396,-0.18100653390230179,-0.03517231801878129,-0.09139849138892558,0.05622617337014429
14568,-0.17059905326200744,-0.12050585060492003,-0.0350248643487458,-0.22645567131995695,0.19143080697121115
7862,-0.5536477984161393,0.16207207375506882,-0.16837393264296996,-0.5561807946412097,0.38780686199823977
17353,-0.09073280851052108,-0.16320329081441415,-0.055978714507271196,-0.15563447606396968,0.09965576155669847
8528,-0.08278672331290514,-0.2151010301510321,0.055567143345366124,-0.08202322558635898,0.1375903689317251
15735,-0.03704460292084457,-0.16568327680403971,-0.029067218359947904,-0.11954609735910121,0.09047887899915331
8239,-0.46004396839790684,0.05836354197445959,-0.1236417412990316,-0.47514200143284213,0.3515002601338105
14536,-0.05734216301884055,-0.15283426589211227,-0.014834178515756476,-0.14630875845276045,0.13147457993700395
9419,-0.38238516973611947,0.02431691151491172,-0.06749431257233118,-0.4366860130380372,0.36919170046570604
9334,-0.10739106264247171,-0.11303407324196751,0.016333172340781965,-0.20659009861063587,0.22292327095141784
13772,-0.18901839240414042,-0.1476778194570737,-0.002116600496722687,-0.20117939479856672,0.19906279430184404
17361,-0.12244159921892818,-0.13389303094406266,-0.06711513349066593,-0.19026360978715434,0.1231484762964884
8262,-0.5499765732164893,0.14814855753706124,-0.15942955674398318,-0.5493838748581105,0.3899543181141273
9744,-0.1275164023376096,-0.17674674908109955,0.0414547890747909,-0.16645883082572763,0.20791361990051854
13763,-0.1555445488631153,-0.11194493139959401,-0.05623343488507679,-0.23337525792658453,0.17714182304150775
10162,-0.1865143079422232,-0.10720740131317084,0.012894701154801652,-0.2493244347507099,0.26221913590551155
16174,-0.1814797348155601,-0.11877442374521338,-0.04112293664503622,-0.22250384737859122,0.181380910733555
16122,0.025929082299912493,-0.13840970722540843,-0.04491831787277918,-0.13211306220607755,0.08719474433329838
15711,0.08318244908943939,-0.04529371412529129,-0.08925533196874556,-0.2015275629849249,0.11227223101617935
13338,-0.07863589605798077,-0.11075374680305172,-0.03800370496694609,-0.19439794145655698,0.15639423648961087
16144,-0.073221919360108,-0.12269747250515722,-0.04063929280960131,-0.18095019284958955,0.14031090003998825
8187,-0.2738348330650088,-0.14685869204635654,0.05632749888707894,-0.25793457390327035,0.3142620727903493
5340,-0.1765208687534984,0.13054931762114794,-0.12291363669924313,-0.47124968756428676,0.3483360508650436
14464,0.3433958532654025,-0.1607240852994753,0.029245411040804248,0.03996140010493149,-0.01071598906412724
11702,0.09990341174470085,-0.10274877026552282,-0.03149049027485648,-0.14742315951427695,0.11593266923942047
12952,-0.13302048201463723,-0.035308894072249464,-0.06693091111126359,-0.2936480425344284,0.2267171314231648
13329,-0.02930680049587256,-0.15214880038339745,-0.020712240018170416,-0.1428534599911654,0.12214121997299497
12927,-0.025045941888772304,-0.09431065960182149,-0.052290825045278835,-0.19699213266639487,0.14470130762111602
16546,-0.07679014017663495,-0.13984698132458623,-0.04670531195349782,-0.169231811722668,0.12252649976917016
2519,-0.15261967798798393,0.21617165101740082,-0.17640096243515807,-0.5535478449931945,0.37714688255803647
12929,-0.03173002192222891,-0.16281900280998696,-0.012995508279803204,-0.12778395181501534,0.11478844353521213
15363,-0.14369201953568522,-0.12381875771753506,-0.047571300295022434,-0.21573436348076203,0.1681630631857396
12555,-0.14316721272872293,-0.03496173695150431,-0.07830230824685974,-0.2994695900341733,0.22116728178731357
6060,0.2143381855235969,-0.09452407622927628,0.030432528599430186,-0.11858172112015535,0.14901424971958555
8905,0.0458671133032586,-0.01670554338192512,-0.03420350345400816,-0.2713790912936829,0.2371755878396747
10105,0.07192550149377748,-0.11269529048988954,-0.005578094139750439,-0.13720574259973456,0.1316276484599841
17373,-0.17219697002250337,-0.059495850705476416,-0.0876026457106737,-0.2788469968976195,0.19124435118694577
6530,-0.14039831023126284,0.0074975777565560175,-0.08073395410423456,-0.3382071699128938,0.25747321580865923
16567,-0.1521025137006685,-0.10142404765316258,-0.07582328653696055,-0.23446201012457193,0.15863872358761139
12935,-0.06129504884539278,-0.18551938977027138,0.002036017680928502,-0.11354186900171562,0.11557788668264411
9429,-0.4180400036202331,0.04560888554035447,-0.1089704517584088,-0.45636279117492295,0.34739233941651415
8654,-0.5155943755584137,0.09481033592109245,-0.1457679312279797,-0.5137983413945063,0.3680304101665266
15333,-0.03808993825059426,-0.11946990610318844,-0.06507592495499931,-0.16751806637768332,0.10244214142268401
11349,-0.12878469473777004,-0.1053258928475643,-0.006207746322509283,-0.23327702269893863,0.22706927637642935
10651,-0.4874415428911799,-0.009057586330511791,-0.07107614822048525,-0.42669269310776003,0.3556165448872748
15352,-0.10640689729483037,-0.1354296354555897,-0.042986061795476635,-0.1905949167681708,0.1476088549726942
7468,-0.5807234938355093,0.19085545475797194,-0.18540614430712576,-0.5738361576000319,0.38843001329290616
6922,-0.08785573468694198,-0.06414242934862104,-0.009405904723217437,-0.25667238002608467,0.24726647530286722
10571,-0.21429692079010276,-0.012920161373408845,-0.06117832895006581,-0.3418475531939337,0.28066922424386787
16945,-0.06409435154590958,-0.1423510369984898,-0.024404966556569152,-0.15488411047196332,0.13047914391539417
16538,-0.054770017658998804,-0.07802758304300571,-0.08174102903540592,-0.2212809378380145,0.13953990880260858
13345,-0.09644493304635639,-0.12576924012577007,-0.025128457843816523,-0.19130506172848105,0.16617660388466451
12970,-0.19257118615921498,-0.09688321998312265,-0.03577843960635846,-0.2555694236917355,0.21979098408537706
14553,-0.10987222924997374,-0.1581655507501437,-0.01879779383650597,-0.16594405160500458,0.14714625776849863
8564,-0.21233446328492095,0.007881125606480271,-0.0330784901868269,-0.37218122771014855,0.33910273752332165
9705,0.06036529094400926,-0.050076680343600966,-0.03037380254042627,-0.22073719317813123,0.19036339063770497
16149,-0.08531877723328414,-0.14156456986517324,-0.06343972155830625,-0.17545761334532622,0.11201789178701996
