,MG_H,MG_FE,C_MG,N_MG,C_N
350497,0.24649815037830458,-0.007269488095690391,0.024724422078713615,0.1413867249447497,-0.11666230286603607
281341,0.04350070853717215,0.04916752462108546,-0.0637799187554462,-0.05123257166513587,-0.01254734709031033
496148,0.03229585134960738,-0.029265035860914237,-0.07667678396390337,0.020609191244583998,-0.09728597520848736
312573,-0.07868895019566541,0.026202149906767863,-0.08296097488032947,-0.09534742165796936,0.012386446777639892
237358,-0.034285877321968285,0.0899231845525797,-0.08709740500684415,-0.13299277300118456,0.04589536799434041
415377,-0.08803888253242045,0.007661673191053098,-0.0993315321779166,-0.07399893656056153,-0.02533259561735507
467020,-0.26234273538641634,-0.003278719034154387,-0.11842160483840619,-0.15824116598153076,0.03981956114312457
505358,-0.010378216874854337,-0.012258105082771163,-0.09133224832578575,-0.029124159152927008,-0.06220808917285874
516145,0.049678145633930214,-0.03363387924569162,-0.07371854092332417,0.035513575682676705,-0.10923211660600086
369421,-0.2702754781457047,0.047180743112367196,-0.11666278942393099,-0.18739299236096613,0.07073020293703514
223301,0.18574284330648566,0.06435785446647999,-0.013039626147895694,0.015027303656451496,-0.02806692980434719
166159,-0.04911240780645743,0.07462368681116527,-0.07969795983272268,-0.15721231328876692,0.07751435345604424
509363,-0.027286138224309177,-0.010469959196582258,-0.09679246802443328,-0.03690571947081935,-0.059886748553613936
466513,0.18492490132869907,0.011022291296569925,-0.03234403285948856,0.05464473125470315,-0.08698876411419171
215760,-0.04397361731473278,0.08472661872186218,-0.08268139295293644,-0.11645466141073857,0.033773268457802125
148867,0.27262857053406303,0.07180096948108941,0.015142614284116562,0.05849535713141468,-0.04335274284729812
285707,0.1867422791366662,0.020076083869504963,-0.006881337012813765,0.07690714704188861,-0.08378848405470238
256532,0.06987881372180262,0.05587236369018596,-0.057110379792550556,-0.04059161278670181,-0.016518767005848745
347747,0.02929918690026532,0.006984650015409804,-0.06561218390419346,-0.022723433926614307,-0.04288874997757916
253683,0.2737946276168644,0.02974085484683822,0.03426906312149919,0.10660224421201175,-0.07233318109051257
196481,0.2556026559790237,0.05241728514296695,0.020228338199127782,0.07374134849015546,-0.053513010291027674
