,MG_H,MG_FE,C_MG,N_MG,C_N
248153,0.06668884300486444,0.12575327667450703,-0.0956220365985243,-0.2171984952368073,0.121576458638283
219307,0.019104517120193294,0.18075431469531125,-0.14106787873180385,-0.2110144718013551,0.06994659306955125
330937,0.1414123743455394,-0.010465142504275299,-0.027102546097199684,-0.009187263039092314,-0.01791528305810737
459004,-0.183438940796607,-0.04803390339834265,-0.07098149052931041,-0.1753763279333393,0.10439483740402888
243724,0.14503450879665664,0.1440166255159103,-0.11224473233413658,-0.1960305311663009,0.08378579883216433
212496,-0.05483323516483286,0.18918318672743048,-0.13756581449615152,-0.18338030787609017,0.04581449337993865
374195,-0.13855503596181382,-0.03757852037997152,-0.038311559957171726,-0.1630628805963917,0.12475132063921998
331393,-0.12547670901575284,-0.017805185921069125,-0.02742218551451353,-0.16488203461102205,0.13745984909650852
264103,0.2863858523958392,0.09200856340913707,-0.06504423513963015,-0.08180024276082776,0.01675600762119761
352929,0.17526905362998899,-0.017742877696585918,-0.03037730794760296,0.018342762813523844,-0.048720070761126805
201726,-0.43520991816707866,0.1610578781871076,-0.11933318796615511,-0.18240756694150684,0.06307437897535173
339729,0.18410443239056531,-0.014832974016230738,-0.024137389718210084,0.019101691136680643,-0.04323908085489073
443847,-0.35540046965771077,-0.018038550120310748,-0.05581793970398424,-0.27959294082910857,0.22377500112512433
412544,0.06783782196138881,-0.04960279985227281,-0.06365002210582668,-0.014333819048097919,-0.049316203057728755
509751,0.033681528505005075,0.0327241067988512,-0.130001228780176,-0.12272207786744038,-0.0072791509127356074
407337,0.10200152660482122,-0.04455193808214651,-0.06078118816492856,0.008320817784145812,-0.06910200594907437
240878,0.27772606047159476,0.1275774656313991,-0.09494472579483906,-0.09356651132332544,-0.0013782144715136224
294506,0.3042139893121824,0.032618197870168564,-0.026227376101865263,0.004537235838638798,-0.03076461194050406
500559,-0.030151455509598368,0.041824053006397785,-0.13421546722731267,-0.14691529545641835,0.012699828229105675
503013,-0.254496144499514,0.005763396367034934,-0.13010185210449754,-0.24050297545201466,0.11040112334751712
515327,0.11040126246522179,0.02167305179628104,-0.12062500195912444,-0.06481501573322068,-0.05580998622590376
482102,-0.19182557395294245,-0.022585573475343734,-0.06832730709980875,0.07460127509048979,-0.14292858219029853
173295,0.19178142193457237,0.10123821578850228,-0.06761428907941221,-0.07573657056564359,0.008122281486231384
282952,0.0686124702161507,0.034973989685166164,-0.03942187373736685,-0.10966156389904619,0.07023969016167934
523743,0.10558023362112373,0.0294409807457697,-0.11527092137657748,-0.09652506807657459,-0.01874585330000289
482109,-0.21494020813655715,-0.011102929854154675,-0.08059952845515331,0.037978608702032124,-0.11857813715718543
270515,0.24893974497000887,0.07304267129845349,-0.05555275707207122,-0.07746561163520571,0.021912854563134493
467706,0.24694123378886618,-0.03318113261428962,-0.06249102438565479,0.08402873007737005,-0.14651975446302484
492144,-0.0886891219197697,0.024778050288802547,-0.1253175586460285,-0.09531433080171238,-0.03000322784431611
324126,0.2016918310789049,-0.0007012216205353194,-0.027584078927221534,0.00958638670598086,-0.03717046563320239
524167,-0.03287122931809249,0.03248041310955082,-0.11591681899366826,-0.156479559682796,0.04056274068912774
320543,0.10547414283920359,-0.018663440439983817,-0.023761841485311574,-0.026373561964786324,0.0026117204794747495
162922,0.09434030957307622,0.10299435739213068,-0.07991161409657727,-0.12745852729318596,0.04754691319660868
203714,-0.31379961594581074,0.13807704403360987,-0.10971579281641708,-0.15097278397893665,0.041256991162519574
519360,-0.0035633675006522354,0.027888890319193286,-0.11206446385169434,-0.14938369063432297,0.03731922678262861
249729,0.15225715266058462,0.11946135222757219,-0.09444669035973427,-0.17539153795755977,0.08094484759782548
499359,-0.037448774250987645,0.04216334399251017,-0.1345602246456406,-0.14525982379789762,0.010699599152257017
236929,0.10024417728997793,0.1495921980296576,-0.12577873671990797,-0.22387625777202158,0.0980975210521136
479362,-0.013867475142061469,-0.04364028542408087,-0.092190537484503,-0.08246995787280316,-0.009720579611699837
377005,-0.17885608876140474,-0.035261353665474976,-0.044851894318845426,-0.18848976253158856,0.14363786821274313
212850,0.0769056033831054,0.15883216944531126,-0.08554979201716209,-0.03022638868840896,-0.05532340332875312
439724,0.16521573320636074,-0.05033719534417927,-0.06440973911250569,0.05241559814669239,-0.11682533725919808
497771,-0.09354896562817085,0.04743391518981059,-0.13318319962577368,-0.17325551187898042,0.040072312253206704
462537,0.09868509316195315,-0.053931728427080716,-0.08305453879400142,0.011260193271689256,-0.09431473206569067
446546,0.05370930110886802,-0.0437083712873013,-0.07865738888361051,-0.030876501847768672,-0.04778088703584184
221761,-0.06296774964514573,0.184514575940422,-0.15472090408182582,-0.29247595752478495,0.13775505344295913
