,MG_H,MG_FE,C_MG,N_MG,C_N
25763,-0.08468993787761217,-0.11887083508660556,-0.0795270859480787,-0.13268832411184808,0.053161238163769386
13367,-0.174481169823498,-0.039839013817185104,-0.03705174905589789,-0.2655668445968682,0.22851509554097027
22525,0.06806449360234794,-0.11577873242234009,-0.0482399838763276,-0.06265431587142926,0.014414331995101668
24537,0.008212629423551812,-0.08438208853541748,-0.08612963853455828,-0.1287672710921751,0.04263763255761681
17347,-0.04962016504465458,-0.14339927112666614,0.0020207925217216108,-0.10399733342821907,0.10601812594994067
10077,0.20032798017106804,-0.025511421535664297,-0.035179260976666904,-0.11907240365436284,0.08389314267769593
10484,-0.10173358612327443,0.015999412953396866,-0.035217910421030896,-0.17716346882873668,0.14194555840770579
14053,0.4098548272221747,-0.03659334879407672,0.0002733024716330412,-0.04628583786664475,0.046559140338277794
14481,0.29695499132787534,-0.07563849213269519,0.0009100805033808168,-0.05162269802125494,0.052532778524635754
11761,-0.1775701476667938,-0.02252782487943905,-0.11506648081515108,-0.27049039349994874,0.15542391268479766
12591,-0.2745473035403721,0.021318746919003817,-0.06681082137303046,-0.36048136518856405,0.2936705438155336
24174,-0.13203778378977413,-0.14961720857297084,-0.045149426243623614,-0.13235985052539315,0.08721042428176953
14165,-0.150030125515408,-0.08216198038665169,0.004075625736005367,-0.21265294482765013,0.2167285705636555
12071,0.22082252720436743,0.036396546672021385,-0.04250222196317324,-0.19238423350567058,0.1498820115424973
22962,-0.09586227068097526,-0.07391603396492855,-0.0823947184297286,-0.18618701954544947,0.10379230111572085
24531,0.03538921931061277,-0.09372911974392649,-0.07593912410788231,-0.11171356427233804,0.035774440164455724
17785,-0.1884572168408159,-0.13831149368228485,0.030825520333633172,-0.18826805416309478,0.21909357449672795
14194,-0.25521029611518414,-0.060725221159676795,-0.01532666576469277,-0.2856117888798984,0.27028512311520564
14909,0.15707512318391173,-0.06673844810804325,-0.0039019077803231217,-0.11244019042398892,0.1085382826436658
12125,-0.004629168319762491,0.09243699994151233,-0.12351552240986848,-0.34438429883516836,0.2208687764252999
18511,0.1349692554322911,-0.03672749836841391,-0.04789684479364234,-0.1237218115187061,0.07582496672506377
7300,0.04528884512211221,0.04418095686784239,-0.06143922707390702,-0.285217526042105,0.22377829896819795
19329,0.04668040241069278,-0.12991264249337303,-0.00444821284316578,-0.061936782143254675,0.057488569300088894
12497,0.14714116493652998,0.02325788392004227,-0.08339128971919911,-0.22003989276836275,0.13664860304916365
19361,-0.10296351158432993,-0.06370744178734626,-0.048485479664853254,-0.1993053917074304,0.15081991204257714
22553,-0.0566984541034377,-0.11582607628168637,-0.04889840958861086,-0.11559991157663559,0.06670150198802473
20109,0.15090638717030092,-0.07637011169698421,-0.036703922737388,-0.07604624988730034,0.03934232714991234
12587,-0.25846425798151446,-0.06339225436672166,-0.03981339524896593,-0.2805513530190084,0.24073795777004248
20547,-0.039522985467053746,-0.11355742770769586,-0.02931747573785045,-0.11942692404045338,0.09010944830260292
22540,-0.009863117024454514,-0.1123888233763913,-0.05404485175808499,-0.10941550825900763,0.05537065650092264
