,MG_H,MG_FE,C_MG,N_MG,C_N
13356,-0.19322714343896474,0.10409230003621178,-0.12375750810094982,-0.43205182602865144,0.3082943179277016
19348,-0.09049633640450257,-0.06978913952027363,-0.05181221494090417,-0.18129463723818484,0.12948242229728066
26157,-0.10492727764303293,-0.07678901273200277,-0.05193949182668796,-0.19093176977454024,0.1389922779478523
24571,-0.18629050506840183,-0.11225184544927874,-0.022411447340860452,-0.177660610184611,0.15524916284375054
22170,-0.19846532905920128,-0.09035745550601128,-0.00832988612847474,-0.21286252979197445,0.2045326436634997
14558,-0.18833068320521854,0.16160927712767506,-0.12750849752374674,-0.4671746748533415,0.33966617732959475
25743,-0.03152831797285198,-0.06656784900155796,-0.05879351670660436,-0.1662092738116699,0.10741575710506554
17312,0.07714083153771312,0.026538988855549193,-0.06230023904738134,-0.24519655059361584,0.18289631154623448
15324,0.0011282303777098589,0.021252139351802653,-0.07147706468662789,-0.27267906758741295,0.20120200290078505
16910,0.0830751713827943,0.03638495001273733,-0.05182354023298616,-0.26911290489780815,0.21728936466482202
16080,0.2054094661252995,0.039626078489876565,-0.042095692175599636,-0.2301692431582453,0.18807355098264567
12906,0.0038180186582770855,0.15024515390912707,-0.15915791142409325,-0.42340406277965537,0.2642461513555621
13733,-0.06747612376436363,0.10985930094630336,-0.11711498925410199,-0.3982802382110859,0.2811652489569839
13298,0.058514152934656644,-0.0008387632773532924,-0.07563453651440313,-0.27421370341481466,0.19857916690041152
12951,-0.17358310022251683,0.11911408949423835,-0.14615092883751962,-0.4417370366380315,0.29558610780051187
22909,0.12940034339599452,-0.00675342573087262,-0.04840413360655438,-0.17184780246798975,0.12344366886143539
21770,-0.20088342857973343,-0.07261430427403523,-0.004347707135951201,-0.23402070164514963,0.22967299450919842
21725,0.04713559135908628,-0.03923858862305747,-0.04333708488483036,-0.16900062947652494,0.1256635445916946
18151,-0.10685179710421466,-0.052063419850783874,-0.02593947313372355,-0.2233595969255689,0.19742012379184534
22953,-0.09029953041456566,-0.13073350670334613,-0.004381482178228799,-0.1288376524339468,0.12445617025571798
10929,-0.3371997510824412,0.3918348478873583,-0.1553894610212287,-0.661506772757678,0.5061173117364492
20520,0.06746318880280612,-0.09307932263515294,-0.034994506099289745,-0.09076352685707126,0.05576902075778152
13406,-0.5152261954931054,-0.03294897268821084,-0.10036890037520008,-0.3738031166606539,0.27343421628545383
25753,-0.08363569893581371,-0.06582696729666199,-0.060439047254253,-0.1896679875778682,0.1292289403236152
11710,-0.11864527551269108,0.27244228156807015,-0.189887367624924,-0.561112219153229,0.371224851528305
18135,-0.02423593317813341,-0.02113940945032726,-0.043339750414898265,-0.22359260588204571,0.18025285546714745
22587,-0.2884200175150431,-0.15069778329764144,0.009051565252404803,-0.18188894514256154,0.19094051039496635
24546,-0.05341634515661813,-0.10053477978093872,-0.05608898568605263,-0.14250964288913742,0.0864206572030848
13350,-0.15866711526220545,0.016464202686985646,-0.1109260004916881,-0.3298159495867193,0.21888994909503118
16980,-0.2876713351263063,-0.11059492907174781,0.016340765388778766,-0.22907236026900774,0.2454131256577865
24957,-0.11116703585766359,-0.06083120340015581,-0.047231467367923566,-0.20855453133012886,0.16132306396220528
