,MG_H,MG_FE,C_MG,N_MG,C_N
222521,0.10999461101842803,0.07130176318105835,-0.07097224271343597,-0.02065592886195068,-0.050316313851485286
277365,-0.05401203972628625,0.05911710417851157,-0.07796825500246947,-0.10054429226041416,0.022576037257944687
515762,-0.027182663887358124,-0.007020316608403937,-0.09543866843115725,-0.047732669390681104,-0.04770599904047615
256552,-0.00554647957883655,0.03574892104591575,-0.06467643865793987,-0.06859224809521301,0.003915809437273141
251687,0.26309659978357963,0.0338975023492675,-0.07229168592900304,0.08787051313515304,-0.16016219906415607
324477,0.33355929876471757,-0.0004336351410546557,-0.08015742405092513,0.15616337777388034,-0.23632080182480547
442224,-0.28359750035196424,-0.00143172456046059,-0.06826502751620611,-0.17041387774852113,0.10214885023231501
281788,-0.14928930244123179,0.04285339028599841,-0.05232373277984842,-0.1384769072982897,0.08615317451844129
316133,0.08226506246555831,0.02797008328175614,-0.08993943360485351,-0.013222115710757945,-0.07671731789409557
440520,0.15359027960798569,-0.010483471791115057,-0.08988203804584786,0.05306106438016531,-0.14294310242601316
335395,-0.1686921478640796,0.035347366469614755,-0.06742796806994036,-0.1430230243675334,0.07559505629759303
398178,-0.09772603037949754,0.0027601332579261645,-0.07499370494728566,-0.08876800221734452,0.013774297270058855
404137,0.07150794480924527,0.005848631049961681,-0.08960568139459779,-0.010288761321239737,-0.07931692007335805
299725,0.11368769979535433,0.03224381468172073,-0.08039618843555561,0.0035631091095203044,-0.08395929754507592
521745,0.049680177197310084,-0.031573323990036574,-0.08857455090167746,0.012627519683445707,-0.10120207058512315
405356,-0.008558906635559034,0.006709737289325002,-0.08144811586323442,-0.04807387122863495,-0.03337424463459946
443730,0.10515846215287963,-0.015607477191997551,-0.0884959815035905,0.035293412328856744,-0.12378939383244725
251335,0.06655663881658545,0.04439115485746212,-0.07483961175723622,-0.04052528283798423,-0.03431432891925198
373407,-0.21515810544390432,0.02371643781043678,-0.07639434610329357,-0.15743127436728008,0.08103692826398651
328493,0.2618100204238839,0.015138180854280092,-0.08031209756075078,0.10378252151284795,-0.18409461907359873
162910,0.12491523699663089,0.09498590562210596,-0.06423531926116471,-0.03674574921914772,-0.027489570042016992
265678,0.30208332397614823,0.021857109692841326,-0.07367937618524159,0.12170201448147072,-0.1953813906667123
153762,-0.07179355538742796,0.1371011339748268,-0.08746099507595698,-0.18328688444790817,0.09582588937195119
227786,-0.15318456046963222,0.11835123369939457,-0.08482233831035432,-0.20316283134663585,0.11834049303628152
452928,0.11673949092328904,-0.015905848386715007,-0.08738013568004037,0.033775697297251925,-0.1211558329772923
148060,0.29451208743262414,0.08323607987510162,-0.04386842028030741,0.04995497432563861,-0.09382339460594602
206140,0.03344582959367591,0.07144341630364158,-0.06995994505184006,-0.07539791431273021,0.005437969260890151
382882,0.3240373371351287,-0.02352865600456744,-0.08376008398189033,0.17062399257299732,-0.25438407655488765
251737,0.05769562214507335,0.035672201884489996,-0.07095500217484238,-0.034797710507514096,-0.03615729166732828
334194,-0.16880524675662525,0.03624464962121168,-0.06726447685751247,-0.14390357777398408,0.07663910091647161
240558,-0.03433328772835561,0.07686490434213919,-0.0720796074910035,-0.10893100370711775,0.036851396216114246
