,MG_H,MG_FE,C_MG,N_MG,C_N
265731,0.08981723140877602,0.1201943860138038,-0.08550770085747705,-0.03464370921350878,-0.05086399164396827
512974,-0.0657448864874104,0.05738275209582727,-0.10549393418194346,-0.07377521883584519,-0.03171871534609827
434156,0.0071001814769694116,0.04893573607446383,-0.09360624310908201,-0.03211247492760433,-0.061493768181477684
370895,0.2720780616232257,0.0631598897585911,-0.04398038060639642,0.12247345835517215,-0.16645383896156857
491343,0.06623736670416838,0.045817943012924287,-0.08770752058945733,0.009506128555939797,-0.09721364914539712
455389,-0.12623831327052504,0.06695985878089358,-0.10621718683608361,-0.1086789063774444,0.0024617195413607906
303351,0.01751336254154918,0.09067777020773284,-0.09315587370965951,-0.05695971058086792,-0.036196163128791585
502540,0.07402529673374056,0.04710297033682727,-0.08451137739521676,0.011788321660218842,-0.0962996990554356
494167,-0.03391785757608219,0.05170003098947214,-0.09946068588409289,-0.053701489402873934,-0.045759196481218956
408911,0.2021512828052374,0.07345052536869126,-0.06293077805750677,0.060887384365145486,-0.12381816242265226
454990,-0.13553287231318428,0.07251707049190168,-0.10955154208802118,-0.11807944334262216,0.008527901254600984
301792,-0.1557599717781048,0.12619555246469233,-0.10450179300493051,-0.15344817853103127,0.048946385526100755
384173,-0.0649459107069839,0.07595504776899366,-0.10249078493385384,-0.08217740295359528,-0.02031338198025856
300113,0.174020663925406,0.09823216493887296,-0.06781521222173846,0.029940986076597564,-0.09775619829833603
525746,0.05163240073859476,0.04310914003815049,-0.09010633569723095,0.004662375919238786,-0.09476871161646973
109812,-0.34324667767005623,0.22291021006748613,-0.14535786818266627,-0.29313045943267046,0.1477725912500042
235273,0.32168114635201245,0.09381057792775857,-0.03366812585148443,0.10882981245331597,-0.1424979383048004
514552,0.02754450530118285,0.031105465985727658,-0.09078057202502429,-0.0074199947329136005,-0.08336057729211069
264929,0.09884596682863406,0.11586761736656498,-0.08258887197274778,-0.025685458008954734,-0.05690341396379304
442541,0.07014873615230562,0.05842359309279245,-0.08646913720049965,-0.001387237198536187,-0.08508190000196346
104204,-0.3132040241465015,0.23469440545813214,-0.1488391786691653,-0.2915528008039,0.1427136221347347
278088,0.27144536262918273,0.0994838756849202,-0.04602743324415526,0.08368887990779839,-0.12971631315195364
402543,0.058766749428552575,0.07123142850315461,-0.0893139155571479,-0.011284047187195903,-0.07802986836995199
255331,0.08758305764966419,0.12573279318401434,-0.08504343409519666,-0.0391016794265334,-0.04594175466866325
114544,-0.024753035599277322,0.2450210384912866,-0.11407568895505363,-0.22820341880413303,0.1141277298490794
518592,-0.13796242398553726,0.04416527064542464,-0.10729707242650965,-0.1001113686560475,-0.007185703770462154
281345,0.039736348388998824,0.10647395273171038,-0.08975600836253558,-0.051589403730030285,-0.03816660463250529
526973,-0.05694387561769743,0.051935913556596734,-0.10372723855087476,-0.06552926476096702,-0.03819797378990773
442556,0.0077071086507715745,0.04562239550850053,-0.09263295763098539,-0.02968999316542409,-0.0629429644655613
351791,-0.1417244469266986,0.10123634461339259,-0.10442968359331078,-0.13150872550164394,0.027079041908333157
224892,0.23444773324091875,0.12241694387235236,-0.056676529749445814,0.05026369492493463,-0.10694022467438044
420498,0.2618745522113067,0.057970718506257735,-0.04605434815218118,0.11664587607943583,-0.162700224231617
426106,0.2201529248260643,0.07491627532311088,-0.0594074935543549,0.06505710416954391,-0.12446459772389881
269403,-0.19965119327571026,0.14000208379554155,-0.10614753106728739,-0.1749590659017837,0.06881153483449631
480512,0.19912870380455208,0.06617117456660587,-0.06557518208222565,0.05464258294618149,-0.12021776502840714
36476,-0.006211186181294686,0.34706974261250906,-0.15297751582324,-0.28543667300048275,0.13245915717724274
332189,-0.13662641419946855,0.10510417301750327,-0.10162630582459889,-0.13595227847149446,0.034325972646895575
299714,0.16494653110530627,0.10063222761263148,-0.07045911754017674,0.025266343768589772,-0.09572546130876651
396525,0.13804886986563378,0.06919077936044592,-0.07561205711091118,0.02795089079241775,-0.10356294790332893
252132,0.08066235204300366,0.11760701682910052,-0.08537954658133204,-0.03338669550977493,-0.051992851071557114
220959,-0.025467172257415426,0.11527645855791743,-0.0898586432251278,-0.10723567414242599,0.017377030917298197
103018,-0.39076485275217115,0.2661659439942717,-0.16792053701156334,-0.32742129724539043,0.1595007602338271
428503,0.2399287077067937,0.06694018873191096,-0.05226043498363145,0.08609812892650498,-0.13835856391013643
465709,0.21715499510418945,0.06919457761549294,-0.06061469852997309,0.06784868453650039,-0.12846338306647348
338564,-0.03589575419069109,0.08383097826296702,-0.09919161698599512,-0.08250647941979058,-0.01668513756620453
335726,0.12199246406347335,0.09001033034510159,-0.08101637270313947,0.006690192503867445,-0.0877065652070069
172541,0.035853728135760175,0.1762103585467918,-0.08909431149866015,-0.10365090563717663,0.014556594138516496
467336,0.09099550411129464,0.05096292013391705,-0.08310024345608277,0.02386169405138741,-0.10696193750747018
365702,0.23323454967293264,0.07166204417041572,-0.05409871349908965,0.08076384292909558,-0.13486255642818523
254126,0.10569285736194894,0.1138996355506666,-0.07964199075131978,-0.016910688255281914,-0.06273130249603787
431368,-0.04712821902747042,0.06597034705900898,-0.1003819659899132,-0.07871826744677504,-0.021663698543138155
466576,-0.0752346529658536,0.06482501628002998,-0.10531231725708065,-0.07578228079495772,-0.029530036462122933
319761,-0.020467939275459125,0.08160974443940994,-0.09662854755232414,-0.07815686403305397,-0.018471683519270157
430654,-0.3999056960617891,0.08284622133684966,-0.11393757438406621,-0.22909598356134325,0.11515840917727704
