,MG_H,MG_FE,C_MG,N_MG,C_N
235689,-0.07194460337030076,0.058826406602348114,0.4052273787528915,0.2945756350826423,0.11065174367024924
283788,-0.3252197685041352,0.09625242754011837,0.38301379956898685,0.07490754584191095,0.3081062537270759
374974,-0.24687554887490926,0.040431559687857443,0.3896657564231337,0.1933172913385272,0.19634846508460646
470518,-0.05457695540435231,0.002357812782417021,0.40937550251312177,0.3805058785944861,0.02886962391863568
99750,-0.4073485301780402,0.2899486263942985,0.3565610940531924,-0.27243091262135943,0.6289920066745519
204134,-0.1832313662888535,0.12980033170351007,0.39084394242477416,0.1482972679886677,0.24254667443610645
475740,-0.12777473724566457,-0.011372267856184531,0.4025861595097875,0.3424388120134261,0.06014734749636144
189657,-0.04278398555336227,0.06047409608213779,0.40755305113668344,0.3087302774382905,0.09882277369839293
274551,-0.19462784234026562,0.04768500172836973,0.39513924868771044,0.20858893425987507,0.18655031442783535
311372,-0.2562958050842814,0.061803530006463325,0.3896233060818398,0.1611634789784183,0.22845982710342155
383311,-0.05651093209315921,0.025678349069448873,0.4082736747639146,0.3545135941030965,0.053760080660818055
315752,-0.1912250878029865,0.035663279500372125,0.3951373047116268,0.22317086595703647,0.1719664387545903
516177,-0.2304534237902099,0.004283533748216162,0.3912121997830849,0.24238765830374895,0.14882454147933596
276651,-0.5937013599325066,0.20552234972415173,0.352845623493553,-0.1965520728517235,0.5493976963452765
437322,-0.0728039598053494,0.004203586839025872,0.4070704952767564,0.368150789749073,0.038919705527683424
205349,-0.22992608599649872,0.12872680066567477,0.387106539529223,0.09044870270783545,0.2966578368213876
317743,-0.16233211199980976,0.04230151709583929,0.3978509296856677,0.2562113483760513,0.1416395813096164
248467,-0.011275192149383885,0.03528654352151309,0.4118927834374453,0.3520291423477323,0.05986364108971298
156478,-0.12418691433727652,0.10431282675741888,0.3974502543342657,0.22282943823760223,0.17462081609666344
249749,-0.20167007456555175,0.07508438410271878,0.3925406852343767,0.1708590737038807,0.221681611530496
332946,-0.1694441925334742,0.027084823243019834,0.3970744958272078,0.25942665896559036,0.1376478368616174
425301,-0.013958783186758352,0.004306168930407797,0.4149197830136785,0.3991209992092582,0.01579878380442029
350515,-0.07672436195105631,0.024610396702806958,0.40612146557006196,0.3355843694799228,0.07053709609013914
278946,-0.1864304412437407,0.059485002249605845,0.3942044292476768,0.20733664285305672,0.18686778639462007
345330,-0.12423188794157619,0.04735009037638299,0.3998931846337481,0.2866147086420831,0.11327847599166502
214553,-0.23838964138402025,0.09361004092096942,0.3889598073389164,0.09544332541531661,0.2935164819235998
466199,-0.30743515971241353,0.009789941238391664,0.38684591390541007,0.16708829687272198,0.2197576170326881
400534,-0.12698117262675787,0.016542155828970756,0.4011502784758524,0.31629878676767154,0.08485149170818079
246113,-0.12191399101068595,0.062495185594772296,0.40157474936515547,0.25040135322465884,0.15117339614049663
382581,-0.26551279438772113,0.04487965275197886,0.389098281339921,0.17461338578677488,0.21448489555314615
310118,-0.10387951879050353,0.041669392748600986,0.4027588569972723,0.3023336876351256,0.10042516936214677
488520,-0.054336737728916694,-0.004674794159866498,0.4096338360913651,0.3828921679400205,0.0267416681513446
492612,-0.35228643473833315,0.006657101501527485,0.383963746239994,0.1341752805030836,0.2497884657369104
500137,-0.11415492498712142,-0.012545015261627976,0.40375351312853747,0.36374472426660903,0.04000878886192841
370990,-0.29927767996681137,0.04875327039694022,0.38686977133125405,0.14943750720932195,0.2374322641219321
248134,-0.16591503281121306,0.09691335097741577,0.39471370796288535,0.1983420525776455,0.19637165538523985
332087,-0.0028970159798691222,0.00612741615566083,0.41545202069392534,0.3974008998349285,0.01805112085899685
285750,-0.19064916043871127,0.04653571355004399,0.3952735333934928,0.21691503740497786,0.17835849598851491
358193,-0.3104908924990085,0.05799628099313081,0.3855908653771234,0.1265740308179631,0.25901683455916036
193335,-0.19260537421511087,0.14861624255685574,0.38849975204527626,0.11658145216492517,0.2719182998803511
