,MG_H,MG_FE,C_MG,N_MG,C_N
216876,0.29566706947099586,0.11252109105707267,-0.11968182064996119,0.08098118231461948,-0.20066300296458067
224582,-0.12876867205000153,0.1638059408121974,-0.1721277433992638,-0.18631909578631722,0.014191352387053435
334960,-0.019995855456114667,0.09252362393834995,-0.1667002683658731,-0.08117438402245339,-0.08552588434341972
172134,0.057200022042377334,0.16580606935148365,-0.15659199413252692,-0.10321876842548186,-0.053373225707045044
502542,0.066846825366029,0.04298242253883659,-0.15656369806649661,0.0042606893330252305,-0.16082438739952187
174962,-0.06231585095926656,0.2062485641447575,-0.17166915042851877,-0.21011558719083157,0.0384464367623128
124516,0.09026624816435708,0.18458622856871404,-0.15222826060922331,-0.08458508635237542,-0.06764317425684789
419721,0.15820525914951844,0.07039688718123462,-0.14760277618806336,0.026318127997123936,-0.1739209041851873
431746,0.04589828741345169,0.05814301696429604,-0.15813393653060007,-0.015100688231560591,-0.1430332482990395
409027,-0.28534806024238984,0.07535011354402693,-0.17264029824531385,-0.19408404624176723,0.021443747996453377
247661,0.38092627492750003,0.09103826593085018,-0.09729900688880738,0.14813023511250117,-0.24542924200130856
257732,0.0838200257467888,0.11532657924523709,-0.1541541463285501,-0.03789325618332663,-0.11626089014522346
393353,0.015886586689784873,0.07473160774610643,-0.16389483872762756,-0.051652957167151625,-0.11224188156047593
221054,-0.4326951561253489,0.14997788167792492,-0.17972379630165958,-0.2776091108409775,0.09788531453931792
401731,0.11568832917217735,0.06478665522882787,-0.15196431451918885,0.008928605501957829,-0.1608929200211467
437825,-0.27497522446039585,0.07061293233601101,-0.17619507052168432,-0.18271704514798964,0.006521974626305327
210083,0.2675120877233253,0.11599804541673406,-0.12451383662316468,0.05694637187683882,-0.1814602085000035
360538,0.07208052961186352,0.07310586601828353,-0.1552435358988759,-0.01491338571984404,-0.1403301501790319
252911,0.1721611891173699,0.09878645553921131,-0.14065995290323707,0.01443293275483215,-0.15509288565806922
358554,0.005776225921671946,0.08537095549056974,-0.16496094547669946,-0.06937095712943402,-0.09558998834726543
306516,0.15842613816100298,0.08811816609066478,-0.14629431229859322,0.01299166878165009,-0.1592859810802433
296503,0.21816640838884763,0.08684124172775859,-0.13314098295770938,0.055643285414975846,-0.18878426837268525
265356,-0.011762883480560902,0.13080643799033703,-0.16638315396823808,-0.09744796974642331,-0.06893518422181477
276974,-0.08572510644497526,0.13013964383152404,-0.17011986676225188,-0.13200227430356654,-0.038117592458685345
226237,-0.35765081780478974,0.21847325402054024,-0.20732397832959243,-0.29160762185835426,0.08428364352876183
314911,0.18548557199907442,0.0934450389802028,-0.1405160281555175,0.021197403804865095,-0.1617134319603826
445713,0.19682335046588875,0.06921736518823593,-0.1408439583516621,0.050096520926366406,-0.1909404792780285
414134,0.0916099219113337,0.06333886901145025,-0.1551994917156448,-0.003292811227199266,-0.15190668048844552
402532,0.10063483185884266,0.07119442307165945,-0.15537660976426904,0.0015920048991225205,-0.15696861466339157
236559,-0.02675652705783154,0.1469674229166578,-0.16461743016000632,-0.1255956501063892,-0.03902178005361712
445728,0.12906717905927742,0.05750597540017942,-0.15026015860652178,0.028111638664996413,-0.1783717972715182
213069,-0.5067363121130355,0.3356766788186394,-0.2741687969220512,-0.35294692057317323,0.07877812365112202
290920,0.14046535447686664,0.09162052605657331,-0.14940286480128664,0.0015986451421679537,-0.1510015099434546
171720,0.10356190532993083,0.12999768437737236,-0.1439366828707587,-0.03668815370572037,-0.10724852916503833
435397,-0.16054038074965185,0.05803886564515018,-0.17329158214851617,-0.13212722965722254,-0.04116435249129363
