,MG_H,MG_FE,C_MG,N_MG,C_N
417297,0.2671298646983858,-0.029205339100732197,-0.09951443976483662,-0.15978140131426377,0.06026696154942715
206887,0.24348642902749335,0.06383712359492105,-0.09532667483468746,-0.2143422528259183,0.11901557799123084
456096,0.27040965447062965,-0.028723996063303225,-0.1003904696325359,-0.16686473544806088,0.06647426581552499
366518,0.15242589766151923,0.010303563602559546,-0.09162341678650439,-0.24697329127625145,0.15534987448974708
497756,-0.0008881742458939417,-0.0069008954316744225,-0.07798041873361881,-0.301525091026824,0.22354467229320518
400510,0.19196904180116106,0.001557637979797355,-0.09450054673156687,-0.2372012832612015,0.1427007365296346
300482,0.3007542982141345,0.01289426366033225,-0.10067696772237136,-0.16690887252717182,0.06623190480480046
476184,-0.11515930083089736,-0.007032426794260541,-0.057977510512843125,-0.3460760563761242,0.2880985458632811
243300,0.19927438455826083,0.0528470629742136,-0.09231823965308127,-0.23958632465718596,0.14726808500410468
101269,0.20253232691447196,0.16308008508626148,-0.09031144460097149,-0.29422378984341063,0.20391234524243915
321311,0.17918622024754036,0.016517400735411997,-0.09147336546991978,-0.2449518929819362,0.1534785275120164
232139,0.051743732197800665,0.04036378884459336,-0.07262341240600226,-0.2878344433015441,0.2152110308955419
502168,-0.050120762115152546,-0.004096103898395369,-0.07239612579685561,-0.31806762830048746,0.24567150250363184
155332,0.05545725742806091,0.15735483745860515,-0.07742634548278748,-0.352969486231856,0.2755431407490685
387752,0.00855528400885319,0.0185694140924516,-0.07775427318252219,-0.3045806838229767,0.2268264106404545
466105,0.22788306556037605,-0.003204252770298316,-0.09834049872460829,-0.2184813088072327,0.12014081008262444
324492,0.2602840944613358,0.0069697613546036985,-0.09682479529689003,-0.19380994358971063,0.0969851482928206
468915,0.1833203250551639,0.0021945094103993368,-0.09524447992651117,-0.2431770650530256,0.14793258512651442
407338,0.0691489186007789,0.000972552564272422,-0.08574665088040476,-0.2627408781359247,0.17699422725551994
336154,-0.0035245317871935174,0.039507827972827425,-0.07523638817444443,-0.30530131081790635,0.23006492264346193
396569,-0.054497843617678246,0.016887608047452374,-0.06730934152160165,-0.32241106765282096,0.2551017261312193
219798,-0.19460514169816026,0.11582693592283202,-0.050066604462185166,-0.38265065211461124,0.33258404765242605
508208,-0.2101317039003764,-0.012799858123106356,-0.042476240693031964,-0.3857341648922852,0.3432579241992532
274556,-0.018654621977390016,0.0671650467558039,-0.06867779527456941,-0.33150280104182644,0.2628250057672571
289347,0.024918758700348806,0.04201464090772071,-0.07715138950243106,-0.2965445361793593,0.21939314667692822
365803,-0.19520157590675638,0.027518319110820144,-0.039391936657584004,-0.3902468602879411,0.3508549236303571
455329,0.12084625768717275,-0.021799025595449245,-0.09054042035802343,-0.22205648492175345,0.13151606456373002
471813,-0.22808812576994245,-0.005042971014211778,-0.03858673020721634,-0.3930639995963042,0.35447726938908786
282970,-0.07323998341695469,0.0572591868196352,-0.059577021198662636,-0.33616155645738344,0.27658453525872084
309787,-0.13473457103011588,0.04441649187607524,-0.048649220892838324,-0.3759902956983474,0.3273410748055091
431397,-0.16605200419777355,0.007391329831434118,-0.04956283371690934,-0.37624548895709664,0.3266826552401873
446552,0.013499630931548604,-0.0022469838857732717,-0.07962388070148789,-0.2902041434273202,0.2105802627258323
164089,0.20731214066306516,0.099036680168108,-0.09040989078787216,-0.2569465112298276,0.16653662044195544
450516,0.17278076890136543,-0.007423372103602638,-0.09456426114973504,-0.23642301589692,0.14185875474718496
206961,-0.04339127308084674,0.0933486842420511,-0.05329061122799393,-0.35964741235072306,0.3063568011227291
484569,-0.051329322737806674,0.00036463770147769636,-0.07178919683216518,-0.32340290879483025,0.251613711962665
256130,0.08357471811566158,0.03138322745995863,-0.08101606816610157,-0.26545514786235314,0.18443907969625156
274207,-0.22409778510938844,0.13390858699185548,-0.05491961943226009,-0.43177052040584124,0.37685090097358115
243775,-0.09700056373575175,0.09706313742913339,-0.05563934443088461,-0.3850610516272166,0.32942170719633196
284098,0.22444662467437115,0.02709702952723278,-0.095416740803792,-0.2077312784456461,0.11231453764185409
460543,0.0568832719431424,-0.021448192941412758,-0.08364345277236943,-0.25891141863659417,0.17526796586422475
