,MG_H,MG_FE,C_MG,N_MG,C_N
422938,-0.2856020884440091,-0.1315103918289252,0.5474618907862272,0.44793950082326917,0.09952238996295801
318893,-0.19550170822419896,-0.1335611877773229,0.5282677768199865,0.49569656579078936,0.03257121102919719
453764,-0.3404850452274532,-0.12318977107800816,0.5983086792622252,0.40740572432843103,0.1909029549337941
126159,-0.38917071205503967,0.2913931504639295,0.30098917187463436,-0.19338187023598846,0.4943710421106228
509746,-0.29150496357349986,-0.15414210549115492,0.546775321735501,0.4607007414656516,0.08607458026984943
302111,-0.24591561270655288,-0.11188403605414077,0.5451289105202286,0.46445909761388293,0.08066981290634573
262500,-0.23123800376340956,-0.09532105517343797,0.5569934570926663,0.4499364935743406,0.10705696351832578
496985,-0.3899152427562323,-0.12328771120305926,0.6393604837580809,0.38044267128812465,0.25891781246995615
160487,-0.24666956429860387,-0.01605204333992305,0.6448188671933622,0.36474847653708453,0.2800703906562777
222924,-0.2840934723069635,-0.04510308130939328,0.6192189842880143,0.3694373949984459,0.24978158928956834
279288,-0.20358640169259642,-0.11059633209592076,0.5382267768975608,0.4780056021484903,0.060221174749070516
295718,-0.2616092200471322,-0.10594433860126862,0.5576294791180789,0.44176124738909783,0.11586823172898114
249336,-0.28465083910833855,-0.03210642896614824,0.6152696551957508,0.34325993644526154,0.27200971875048935
208173,-0.3674250302171735,0.122352714266862,0.6192631042610769,0.11532620874018712,0.5039368955208898
288573,-0.36751067511510266,-0.005244067418970155,0.657430610800947,0.2829656438903211,0.3744649669106259
519351,-0.2968314733591859,-0.15485964882661674,0.5642088610278155,0.4529567272813555,0.11125213374646004
504533,-0.2607422591519214,-0.16773008551858704,0.5100547476956072,0.48578135087999197,0.024273396815615245
298171,-0.3676035941562827,-0.03244460670371613,0.6544901261780025,0.31058935597091225,0.3439007702070903
448116,-0.216180596417631,-0.15091034358415384,0.45250912728315623,0.4720215231583313,-0.01951239587517506
242197,-0.4173534748997897,0.01788846177129,0.7423424051041334,0.20073792023457396,0.5416044848695595
387734,-0.27432063086448255,-0.12591683820294988,0.5607370399639584,0.44005141862367814,0.12068562134028035
474123,-0.22340255954265856,-0.1528167323501567,0.4695650952045749,0.46795319823327725,0.0016118969712976272
442529,-0.25265203407966375,-0.15416484320960372,0.5089425263570118,0.4814923437343911,0.027450182622620667
390503,-0.1972851060933952,-0.13990487651438338,0.4843125853148088,0.4909801754519959,-0.0066675901371871515
201728,-0.2966621669143153,-0.01233856602672917,0.6316416842003576,0.3457379678533217,0.28590371634703593
251732,-0.2855021517965257,-0.04733230054107826,0.6011842766014587,0.3625723241238072,0.2386119524776515
160168,-0.4092775823484096,0.1815300589804525,0.5173137194207126,0.04140379622188439,0.4759099231988282
166167,-0.39891237475195873,0.18253622211819187,0.4567864619551615,0.020892784369463346,0.43589367758569814
316938,-0.3026415419158584,-0.09892089959427242,0.5965556282264676,0.4272595615572278,0.1692960666692398
283713,-0.24928073689663602,-0.0950333802422294,0.5649502293313805,0.43946116289882414,0.12548906643255633
268980,-0.3752888929739985,0.006927796890475069,0.719728876811234,0.24602581018016373,0.47370306663107026
434517,-0.21959405407155602,-0.1482375683999802,0.4606382960837254,0.47094028412783223,-0.010301988044106841
260167,-0.36149747808412214,0.028355081323570397,0.6086103906375052,0.2364712452647922,0.37213914537271303
446168,-0.3481314220956127,-0.11809733655634361,0.6175289902808371,0.3966956481119391,0.220833342168898
173687,-0.24284376055609597,-0.037248741472268615,0.6350653463731113,0.3906755048443066,0.24438984152880477
479708,-0.18074548345760194,-0.12497481979969732,0.4186617936880105,0.4549578217133302,-0.036296028025319726
475742,-0.28728158818968164,-0.14733159490116823,0.5473949354557164,0.4564305358199856,0.0909643996357308
420960,-0.32588720233654705,-0.10500919908902909,0.6021163351197681,0.39164078746404074,0.21047554765572737
332581,-0.3839800950480163,-0.05111147062874638,0.7007976311421324,0.3237217224346771,0.3770759087074552
448524,-0.24078345385144256,-0.15853396170788953,0.4894116394479809,0.47967992554170347,0.009731713906277445
373369,-0.35337951998672096,-0.08269408605072831,0.6304394253029865,0.3602879504545804,0.27015147484840607
303400,-0.41943726677461013,-0.023837143555996754,0.7587248671562903,0.25136988664988225,0.507354980506408
482941,-0.2805771482711977,-0.15122055318911362,0.5396178972491907,0.4613401900059486,0.07827770724324207
218938,-0.2838681858770867,0.006700521885365518,0.6305223729271874,0.29229542370429284,0.3382269492228945
307280,-0.1748910924454822,-0.1354411424965484,0.5231829168909606,0.5061689293471067,0.017013987543854026
234156,-0.3333809061602809,0.024832107651236113,0.6303485139041061,0.2321834531924285,0.3981650607116776
252199,-0.42681120957600927,-0.01440854704942296,0.7720479189428086,0.24110034996379623,0.5309475689790123
204146,-0.3016598755132928,0.03748861305106399,0.6671761768265356,0.2457328286448523,0.4214433481816833
443337,-0.2750554972243558,-0.13403171931271265,0.5302910939072214,0.448710147254724,0.08158094665249735
513758,-0.3133854466296214,-0.14915523714046391,0.5908190509016369,0.4323392540879559,0.15847979681368096
182485,-0.2284709767787147,-0.03626173003173208,0.6218958127357643,0.3837767308467758,0.23811908188898845
310501,-0.2128383763542388,-0.11391551486364727,0.5302749614897553,0.46776157356297726,0.06251338792677802
91747,-0.389375568078177,0.34203793472810634,0.36175474245953715,-0.3390406883351272,0.7007954307946643
407739,-0.2857076183694439,-0.1253796296061082,0.554598098902802,0.4420430529387247,0.11255504596407731
309436,-0.5087198726239465,0.13544266400553895,0.6354112463137747,-0.04471576205826022,0.6801270083720349
318533,-0.276636481863789,-0.10476538608414396,0.5953597633879748,0.41928591941192067,0.1760738439760542
73248,-0.2878342257879603,0.20122173228542523,0.5378936827051467,-0.030373899811499183,0.5682675825166459
410956,-0.317416954330501,-0.1100535238153717,0.6054802218190434,0.4017352890466891,0.20374493277235423
437305,-0.18911766438161126,-0.14095649809211483,0.45103496037201146,0.4857552377935529,-0.034720277421541434
