,MG_H,MG_FE,C_MG,N_MG,C_N
380111,-0.24851847490746848,-0.3186319765207928,-inf,1.6363367072405397,-inf
479005,-0.34880927532812916,-0.08909440312464656,0.30633864485338946,1.1308626962940072,-0.8245240514406177
185348,-0.18635417043769725,-0.09616925293534995,0.24875209258134925,1.2626376493300524,-1.0138855567487033
318073,-inf,-inf,,inf,-inf
198518,-0.1643460073485273,-0.18727828037827726,-0.930206181089373,1.4583902626498333,-2.3885964437392064
455332,-0.21383218268950357,-0.17126163700113808,-inf,1.3874345811402005,-inf
412117,-0.2500374526275326,-0.18657769087509019,-inf,1.4577135102981233,-inf
258695,-0.5642001674475665,0.28736649837078043,0.485321864933032,0.3604776180248187,0.12484424690821329
459761,-0.22383112923023843,-0.10034846024464135,-0.34986642586293315,1.2256030887981122,-1.5754695146610453
388134,-0.24780657862492936,-0.22747915481376485,-inf,1.4616417377560986,-inf
448166,-0.2655920002106231,-0.10379817564393151,-0.640255586361257,1.2411398498273316,-1.8813954361885887
474540,-0.1581930834783349,-0.16678038266401693,-1.3672364598483326,1.3518692845567626,-2.7191057444050952
493728,-0.0898390444816398,-0.24252645860062155,-inf,1.4827145877361518,-inf
489746,-0.1417990242975597,-0.21900011584663576,-0.8957076378167588,1.4078750998534937,-2.3035827376702525
242077,-0.24778615991781425,-0.5075657374777043,-inf,1.9410030107700944,-inf
424129,-0.264947717742206,-0.163986069447435,-inf,1.3949599935451922,-inf
466509,-0.10461677090912647,-0.15396132413266717,-inf,1.4166853817643337,-inf
271095,-0.5618924010986641,0.2991663240137761,0.4642385281754756,0.3196475819827822,0.14459094619269341
462159,-0.21111932872777078,-0.09434944588068134,-0.4429442694991243,1.2231116485887836,-1.666055918087908
416190,-0.34547999271598073,-0.081246263056445,-0.032610673535939216,1.1494347820132473,-1.1820454555491864
486159,-0.18289285258757074,-0.13567853981211211,-0.4388830637133352,1.271634138254538,-1.710517201967873
472172,-0.26247402442537027,-0.12042292352406442,-0.15560445885198837,1.239046344419894,-1.3946508032718823
491746,-0.1328565273002767,-0.21928313341345404,-0.8622776591061081,1.4058631625430245,-2.2681408216491326
217320,-0.15894915534190482,-0.18848424742021536,-1.5257417073938042,1.4524086132012282,-2.9781503205950326
492148,-0.14173830415821487,-0.21366681403342358,-0.6465164236164064,1.3918110795524594,-2.0383275031688655
504567,-0.20730557083345214,-0.18138792290187397,-0.10538355415870942,1.2911781850862611,-1.3965617392449705
456935,-0.1933280932463509,-0.14983752117406032,-inf,1.3412242702276214,-inf
152494,-0.08736162095083132,-0.1469053728618831,-0.8961684449055497,1.4341376368730827,-2.3303060817786325
313350,-0.2480916003949264,-0.24044231998545232,-0.42679984761024825,1.451561776631241,-1.8783616242414891
510562,-0.2063939754460692,-0.20871376923063398,-0.24606910245617075,1.3460523471205352,-1.5921214495767062
366916,-0.18205724656322642,-0.24928587542656094,-inf,1.522236678795655,-inf
266546,-0.2037370005798531,-0.17480022519223726,-0.14860449656625668,1.3668724750007233,-1.51547697156698
408947,-0.25997095912858575,-0.15808529821970435,-2.030188336569732,1.3407916429736613,-3.3709799795433932
457692,-0.36073803690176387,-0.49673626832715856,-inf,1.9143318214832994,-inf
523348,-0.17784381275761207,-0.29446416853297025,-inf,1.49213796010381,-inf
459718,-0.15812161354469573,-0.1556827291782841,-inf,1.3968186177041166,-inf
455404,-0.37206149764668484,-0.05691298038230752,0.21906105924914124,1.095723254986377,-0.8766621957372358
476986,-0.28890277631737793,-0.09686204343096003,0.1238821949823107,1.173145083954961,-1.0492628889726503
482926,-0.09753751674488464,-0.19140505063911645,-inf,1.4162080790942737,-inf
440562,-0.25541285348868764,-0.0832887282830029,-0.668531249806654,1.210081347739543,-1.878612597546197
120460,-0.048133871616277586,-0.18943753084027173,-inf,1.5233770898126886,-inf
456922,-0.16634478487924786,-0.15330771517273492,-inf,1.3719752549013102,-inf
374601,-0.3769886750257313,-0.12486469632708391,0.23988454300203763,1.213804410932199,-0.9739198679301613
475701,-0.12679416570671492,-0.27427371952656054,-inf,1.6093653845186178,-inf
424981,-0.3150445288082988,-0.09109154360715943,-0.13036679099791104,1.1900529948714713,-1.3204197858693822
244499,-0.18873572067603658,-0.35648317476243985,-inf,1.708578524806724,-inf
409381,-0.3327244063550916,-0.13173479432373678,-0.10871375801495953,1.2489781024732562,-1.3576918604882158
505334,-0.08154659325094572,-0.28559608149816396,-inf,1.5133638055189234,-inf
513749,-0.1654627000188499,-0.26251058805363203,-inf,1.4540480534513218,-inf
470146,-0.19222117961492488,-0.16328656337100794,-1.4327889045080227,1.3437666819950294,-2.776555586503052
410533,-0.2757732699409985,-0.18929963246852,-inf,1.418506193066194,-inf
171652,-0.17748284889400068,-0.44490490916180464,-inf,1.8849587395448317,-inf
124055,-0.07568781408719526,-0.23235715181602068,-inf,1.6084925071410103,-inf
